"nick","date","comment"
"Ran",2013-03-31,"tell us what you think"
"Saci Targaryen",2013-03-31,"610 felt rushed and dumbed down compared to the books no ars whitebeard i thought that hbo would respect the book more now that they are doing 2 seasons per book edited by saci targaryen 01 april 2013  0209 pm"
"Lord Godric",2013-03-31,"710 a strong start with many great independent scenes but felt a little slow at times"
"Ser Jake",2013-03-31,"great episode no belwas though tormund is fantastic cant wait until next week edit i gave it a 910 edited by ser jake 31 march 2013  0908 pm"
"Tewks44",2013-03-31,"fantastic tv adaptation i feel much more enthusiastic about this season than i did after watching episode 1 of season 2"
"Warden of the North121",2013-03-31,"i gave it an 8 the jonwildlings scene was a little disjointed at the beginning plus ygritte is annoying as hell but its like that in the book too but other than that it was great danydavosmargaery scenes stood out to me"
"Darth Pipes",2013-03-31,"910 while not perfect i was very happy with this episode and think its a promising start for the new season the highlight was the tyriontywin scene which comes off as strong as it does in the book the lowlight is robb the oathbreaking hypocrite"
"Howie Reed",2013-03-31,"liked that they compressed the selmy plot line looking forward to next week"
"~khaleesi~",2013-03-31,"810 dragons are amazing davos barristen cant wait season 3 is finally here"
"Tom son of Tom",2013-03-31,"710 i had a feeling they were gonna skimp on the battle at the fist other than that the episode was fairly strong the tyriontywin scene was amazing great acting edited by tom son of tom 31 march 2013  0921 pm"
"ebevan91",2013-03-31,"im giving it a 1 because i absolutely tv show margaery so 810"
"Dalan",2013-03-31,"tormund is fantastictormund is fantastic glad to see they kept daenarys language ruse about what i expected some great stuff lots of good stuff some cringeworthy stuff810"
"Bastard of Boston",2013-03-31,"loved this episode i gave it an 8probably bumped up a point due to my nerdboner  my computer desk is levitating right now i needed this back in my life kind of a slow episode but thanks to rans review i was prepared and even optimistic i appreciate the drastic ideology change from last year where they felt the need to visit every single character arc id rather get prolonged exposure than the more erratic pace where youre not truly able to sit in it i sat all up in this episode guys my ass print is right there next to the yuckmouth girli cant decide what my favorite part was  tywintyrion or dany in astapor as much as i love tyrion i love tyrion more when its not so easy for him its refreshing to see tyrion not be in complete controland even a little humbled astapor looks amazing and the high valyrian scene was better than anything from season 2 qarthgotta highlight an invented scene  marge with the orphans in flea bottom love seeing the curtain get pulled back in regard to the character great job establishing her as the peoples queen setting up the stuff between her and cersei  sure to be great and giants god i love this show"
"Greyjoy67",2013-03-31,"better than i expected considering the pessimism on here but then the reviews have been so positive810 which is what i wanted for an opening episode tywin  tyrion is one of my fave chapters in the book and they nailed it thats like two points in itself i digged the davos stuff as well that was more or less straight from the book tarly stuff was good jon snow joining wildlings worked quite nicely arstans joining dany was a bit rushed but okay some good foreshadowing with roose bolton and co that i liked as well stuff that was added  margaerys stuff worked and they played her off against cersei nice and early which i was glad to see somewhat predictably the only part i really objected to was shae  ros hopefully they dont crop up too much again it seemed like they were building some sort of storyline there too  i guess well just have to accept that one for what it is id have preferred some dontos but whatevergood episode found it quite cinematic at points  dragon scene white walkers armies marching etc it was cool i can see how theyve improved visually  i found season two claustrophobic at points and theyve improved upon that in this episode"
"Greyjoy67",2013-03-31,"610 felt rushed and dumbed down compared to the books no ars whitebeardnot dumbed down the arstan thing was one of the first things i knew dd would cut down on and it makes a lot of sense"
"Bayard",2013-03-31,"only started watching poor sam he did send the ravens nobody could say that he didnt do his job sadpng classbbcemoticon alt  the first important thing i can see in the intro only 2 cities in slavers bay no yunkai back in 50 min edited by bayard 31 march 2013  0924 pm"
"Stallion That Mounts Texas",2013-03-31,"i gave it a solid 8 its about what i expected as the first four episodes or the setup for the rest of the season 1 love how they introduced barristan from the start but i do miss strong belwas the assassination attempt by the warlock was awesome2 i love natalie dormer as marg i love how she making herself right at home and positioning herself to be queeen3 i love how cersei is powerless to stop the monster she gave birth to she is bound by her love for joff and will suffer any and all insults4 the unsullied are outstanding cant wait to see them in action"
