"nick","date","comment"
"Ran",2011-06-12,"howd you rate it"
"John (Snow) Doe",2011-06-12,"5 fucking cock block"
"Mr Bean",2011-06-12,"my first ten we got walder frey2 we got aemon targ1 even if they did shorten down his three tests we got tyrion telling his back story 5 and we have the dancing tent and another decent fight 2 the only negative is this very wtf shae thing okay shae what and no halfman killing but ill move past that considering everything else"
"Asarlai",2011-06-12,"there were several good moments but nothing to outweigh the depressing dany and ned storylines"
"Ran",2011-06-12,"my first 10 as well amazing"
"Nihilist",2011-06-12,"210 we spend more time introducing shae then on the battle that puts the starks in the advantage the pacing and general choices on what to show given the material astound me the scene with tyrion playing a game went on for like 7 min longer then the time we get for both battles combinedwtf more thorough post later after i have rewatched i did think the acting was very good i just question the writing editing and decisions on what to show edited by nihilist 12 june 2011  0936 pm"
"Spanky",2011-06-12,"lol at the super loud minority 1010 probably the best episode of the entire season so far"
"Fippy Darkpaw",2011-06-12,"walder frey needs his own spinoff series and comedy tour he had more great oneliners in 5 minutes than everyone else in the series combined edited by fippy darkpaw 12 june 2011  0946 pm"
"Hot Pie 4 life",2011-06-12,"the ending was a 10 the rest a 5 they skipped over a lot and were way too much into shae"
"TamTam Rapley",2011-06-12,"long time lurker first time poster i joined specifically to post my displeasure with this episode 110 im never watching this show again they butcher two important and relatively small scale battles compared to the future battles in the series if theyre gonna do this to small scale battles then i might as well quit watching right now because i dont want to watch a terrible blackwater episode i might as well not set myself up for disapointment i didnt even get to enjoy neds death because i was fuming about that the fact that i got screwed out of two major battles i cant believe they pulled a rome on me this is even worse then when they had a seven episode buildup of a fight between pompey and caesar and then just show the aftermath you just lost yourself a viewer hbo edit thanks for the useless time wasting tyrion guess what scene edited by tamtam rapley 12 june 2011  1008 pm"
"Noir Dove",2011-06-12,"1010 amazing im glad a show spends more time on characters and their personal stories than 10 mindless minutes of hacking fyi martin is writing blackwater himself"
"YoDaddy",2011-06-12,"very happy again as is my standard how does it do in following the books i rated it excellent the whole tyrion guessing game thing was a huge bore for me though and it felt like it brought the episode to a halt for a bit i gave it an 85 i have liked these last two shows far and above the first seven after reading some of the previous posts i see what pleases me doesnt sit well with others it really shows that people are diverse in what they want from the show"
"YoDaddy",2011-06-12,"5fucking cock blocknot sure did you enjoy it"
