"nick","date","comment"
"Ran",2011-05-15,"so whatd you think"
"Keltess",2011-05-15,"so whatd you thinki wish they would have completed little fingers quote about whorehouses being a better investment than ships whores never sink with the rest and when they are boarded by pirates the pirates pay in gold like everyone else wouldnt have taken more time much more humorous is this an attempt to give a character we all know is slimy no apparent sense of humor the books were extremely funny at times a little comic relief would not be amiss also loras and renly did i completely miss this in the books though loras was extremely devoted to renly my gaydar never went off opinions anyone"
"TomRag",2011-05-15,"best episode yet also renly and loras were most certainly gay in the books although it was portrayed subtly"
"GSP",2011-05-15,"no that lorasrenly scene was never in the books theyve been doing a good job with a lot of these could have happened scenes that serve to explain a lot in a quicker form than how it went in the books renly in the books did not seem to be half of the wuss the series is making him out to be i always pictured him as being a lot manlier than the boyish loras there was no indication he was squeemish over blood for one he seemed like he was supposed to have been a competent warrior in his own right not elite by any means but no joke the series also made it very clear it was varys and illyrio down in the basement that arya overheard the books seemed to me to suggest that was who is was but left it a little ambiguous iirc i guess i can consider that confirmed when next i do a re read this episode finally did some justice to what a giant of a beast gregor is you can see that sandor was a big guy but he looked miniscule next to his brother"
"Xray the Enforcer",2011-05-15,"also loras and renly did i completely miss this in the books though loras was extremely devoted to renly my gaydar never went off opinions anyonere renly and loras yes it is in the books that they are gay lovers grrm has separately confirmed it its somewhere in the so spake martin database that said lots of people have missed the different cues as to the nature of their relationship  you are not the only one smilegif classbbcemoticon alt "
"End of Disc One",2011-05-15,"first 10 of the season fantastic the robertcersei scene was a bit odd as a reader but otherwise no complaints"
"Abaddon",2011-05-15,"im struggling between an 8 and a 9 voted 8 but i will probably replace it with a 9 later i was worried about ned stark chuck norris but the final sequence worked really well for me i was holding my breath during the fight and it was just electric loved jaimes expression of being torn between surprise that he wasnt beating ned and irritation that the guardsman interfered the transition to the eyrie was abrupt but lord its gorgeous did not like the external view of the mountain as it just looked fake but after that everything else about the scene was stunning lysa and the breastfeeding of sweetrobin were appropriately creepy i practically lold at the expressions on the faces of tyrion catelyn et all as they watched her gross"
"YoDaddy",2011-05-15,"after being thoroughly dissapointed in last week i am ecstatic over this one it seemed to convey a lot of the story without all the crazy shifts from place to place which reads well but hasnt translated to the shows for me for the first time in the series it feels like we are getting to meat and potatos of the story now if we could convince hbo to go with 90 minutes i gave this show an 8 the series so far has been only about a 6 in my ratings but i feel like we are about to be getting into the really good stuff from here on out"
"Lord Godric",2011-05-15,"i feel like every episode improves over the last and this one was the best of the season by far i gave it a 10"
"skins7778",2011-05-15,"i give it a 9 the fight between jamie and ned was great i was on the edge of my seat through it its funny i thought the same thing when i saw jaimies expression i actually enjoyed the add on scenes especially the littlefingervarys scene lysa breast feeding was super creepy and sets her up nicely as the nutjob she is i was excited to see one of my favorites in bronn but we didnt get a blackfish sighting im not 100 percent sure but i thought he was introduced prior to the ascent to the eyrie was he not"
"tybeechris",2011-05-15,"i guess i am in the minority i didnt care for this episode very much i thought the scene with robert and cersei was kind of worthless and filler i dont see why they have introduced this lost baby story and if anything it makes her more sympathetic which just seems so out of character from the books maybe it is a red herring so that she will not be suspected in roberts death but i still dont like it i wish they had spent the time on sansa to show more of her inner conflicts they need to show her still believing in a little bit of a fairy tale so that when she leaks the escape plans it is more heartbreaking for us i guess they needed the lorasrenly scene to show him as a viable king candidate but once again i think the time could have been better spent at the eyrie or on sansa oh well as long as the ratings are good so that we can get 5 more seasons i will be happy"
"Carldog",2011-05-15,"i like to wait a day before i vote but gave it a 9 great episode best one yet"
"nim",2011-05-15,"an hour never goes by so quickly as it does during this show gave it an 8 as always tyrion delivers his lines flawlessly and whoa was not expecting full frontal on theon also like that bronn already comes off as a very fluid and savvy fighter sean bean still annoys me edited by nim 15 may 2011  1135 pm"
"thistlepong",2011-05-16,"im wavering between six and seven theres a lot more sexposition shoehorned in jaime won my partner over a little with his reaction to the interference the action scenes even the wtf faces at the eyrie tell the story more effectively so far"
"GrimTuesday",2011-05-16,"an excelent episode to be sure id say a 9 mostly because i feel that they made a mistake by not drawing the tornoment out and using it to introduce characters who while not of much importance in this bookseasons are considerably more important in the coming booksseasons"
"Lord Godric",2011-05-16,"i give it a 9 the fight between jamie and ned was great i was on the edge of my seat through it its funny i thought the same thing when i saw jaimies expression i actually enjoyed the add on scenes especially the littlefingervarys scene lysa breast feeding was super creepy and sets her up nicely as the nutjob she is i was excited to see one of my favorites in bronn but we didnt get a blackfish sighting im not 100 percent sure but i thought he was introduced prior to the ascent to the eyrie was he nothe was one of the people to greet catelyn but the blackfish has not been cast and will not be in season 1"
"TheEvilKing",2011-05-16,"9 from me not quite perfect but still very enjoyable and a big improvement over last week"
"Daenerys",2011-05-16,"first 10 of the season fantastic the robertcersei scene was a bit odd as a reader but otherwise no complaintsi absolutely loved that scene first of all it really humanizes both of them while allowing that they both have faults secondly it gives you a good sense of just how long theyve been enduring one another and how things could have grown so cold between them thirdly it spells out exactly why the dothraki invading would be such a dangerous scenario something i actually wondered about previouslygreat episode best yet i give it a solid 9slightly offtopic question why is danys child considered so dangerous when theres already an existing more direct targaryen heir in viserys is it because they all know veserys is so weak he wouldnt be a serious threat i never understood that from the books and i never got it from the tv series either"
"Hyper",2011-05-16,"a 9 from me best episode yet the jaimened fight  although different from the book  was very well done as was the cerseirobert scene only nitpick the eyrie location looked a bit too extreme for some reason i never pictured it that way  and never on top of such an extreme mountain top something half the height would have looked more realistic but the effects work was great  wonderful sky cells bowdowngif classbbcemoticon altbowdown  edit i forgot to mention the great effects show as arya comes out of the sewers into the blackwater docks gives a nice look at the keep and that location should become very important at the end of season 2 smilegif classbbcemoticon alt  edited by hyper 16 may 2011  0244 am"
"TheEvilKing",2011-05-16,"slightly offtopic question why is danys child considered so dangerous when theres already an existing more direct targaryen heir in viserys is it because they all know veserys is so weak he wouldnt be a serious threat i never understood that from the books and i never got it from the tv series eitheri guess because its a possible male heir for viserys that seems important in determining whether to support a king also if viserys is killed during the invasion then the targaryen sympathisers can still rally around the new kid as a candidate for the throne"
"Ghost Cat",2011-05-16,"i never clued into the relationship between renly and loras until my 3rd read through im not sure we really needed to be slapped in the face with it either i too never read into renly being so weak kinder perhaps than others in the kingdom but not weak or afraid of blood thats what bothered me it does seem that things done subtly in the books are whacked about our heads in the series i wasnt keen on the eyrie except the sky cells that was beautifully done how are they going to handle the door if the series gets that far even though this lysa is skinny shes got the crazy down pat loved hound vs mountain and nedd vs jaime those were well done i gave it an 8 it had a 10 from the nudity but then the renly scene brought it down"
"valacirca",2011-05-16,"lol spoiler they say its impregnable give me ten good men and some climbing spikes and ill impregnate the bitch"
"Loras",2011-05-16,"i loved this episode rated it a 910  my highest rating so far i actually really liked the departures from the book renly being afraid of blood was quite a nice nuance to his character and i felt it put his relationship with loras on a more even keel than the way i felt it was portrayed in the book i think that this will have a good pay off further down the line and is nice set up for what transpires in the next few episodes the other departure that i love is the redefined relationship between cersei and robert the fact that they had a son which died  im happy that i called cersei being sincere in the episode 2 thread the scene between them had been hyped a great deal in the media but for me it really payed off with cersei gaining a greater depth than she does in the book the eyrie was beautiful the set designers on the series have done such an excellent job of giving each location its own distinct feeling and the eyrie may be my favourite so far although i am intrigued by the moon door and how that part of the story will play out the new title sequence showing the eyrie was great i think next week is going to be a riot with the scenes set in this location jorys death was horrific sadgif classbbcemoticon alt  i didnt feel the same emotional connection to it as i did in the book though id have loved to see ned crawl over to the body as the final image ser barristan continues to impress what excellent casting his scene with ned at the beginning of the episode was another stand out in an episode full of stand outs i wish that sansa had been developed further in this episode an opportunity missed i think the actor playing bran is doing a fantastic job but the character is starting to grate on me finally a note on the fantastic chemistry between gillen and hill  im looking forward to their interactions so much as the series continues"
"Max Stark",2011-05-16,"great episode i liked it much better than episode 4 and rated it somewhere between 8 and 9 mostly because they focused on kingslanding and stopped this weird scene by scene story telling of last week i liked the scene between robert and cersei seemed to be authentic and quite interesting what they thought about their political marriage while loras shaving renly seemed to be toally unnessecary also the fighting scenes were done quite well all in all it felt complete even without dany and jon dont get me wrong i like their acting well enough but it was a wise choice to leave them out of this one by the way funny thing even without a single targaryen on screen the dothraki threat seemed to be much more present and real than in all of the last episodes together"
"ABeauty",2011-05-16,"i really liked this one with the exception of seeing more of alfie allan than i really wanted or needed to the added in scenes were all very believable in my opinion and confirmed things that were only hinted at in the books aside from the robcersei baby bit the scene between varys and littlefinger was delicious i cant think of anything here that i disliked  lysa was how i pictured her i never had her as fat in my mind and there was definite ick factor my bund wondered how they got that poor kid to film that even with a fake breast bet theyll show that at his wedding it seems to be really building momentum now so fingers crossed for the final 5 episodes"
"Arbor Red",2011-05-16,"i thought it was a great episode and the pacing finally felt about right i particularly like what theyre doing with jaime in the series in the books you dont really get much from him until book 3"
"M'lady Cynthia Rayder",2011-05-16,"i thouight it was great too i just finished reading got yesterday so a few things puzzled me the lorasrenly scene was one of them so far i have yet to know that they are gay from what i heave read also i had no idea they had a relationship so that was a shocker the theon sex scene was great and a full frontal view wast bad either lysa and he little boy wow thats just crazy just how i pictured it in the books i would have liked to see a bit more sansa as well others mentioned that same thing i also wonder why the mention again of the dead baby between robert  cersei it builds a bond between them but of course as a new reader to the series i wonder if this is setting the way for more to come"
"cypselus",2011-05-16,"best so far by far a 9 it had action was wellpaced quite funny and no dothraki the new scenes were all compelling in their own way especially the robertcersei scene i thought the fights looked a little cheesy but that is a small thing my wife asked me why no one thought it strange that jaime was unmarried apropos of his incestuous relationship so i had to explain the kingsguard the show hasnt made that rather important bit of exposition clear"
"Huan",2011-05-16,"i thought the pacing and feel of the episode was the best so far no quick switches between locations due to only have two locations to switch between made me realize that as good as the show is it could have been even better if theyd had more time eg 12 episodes for the first season echoing what someone else said i wish theyd had ned crawling over to jory at the end of the episode but otherwise i thought the fight outside the brothel was very well done my feeling on the fact that the scene was in full sunlight is that theyre trying to achieve a unique atmosphere for each location and rain doesnt fit for kings landing  its all bright sunlight and glare to contrast with darker colder and wetter winterfell or the wall"
"Lady Luffa",2011-05-16,"i guess because its a possible male heir for viserys that seems important in determining whether to support a king also if viserys is killed during the invasion then the targaryen sympathisers can still rally around the new kid as a candidate for the thronei think that they are bigger threat now with the child because not only is it an heir to the targs but also to the dothraki with a child the bond of marriage has become a real blood bond much harder to break than for example a childless marriage edited by lady lufa 16 may 2011  1021 am"
"julandro",2011-05-16,"we 5 episodes i have to say that from my point of view hbo if they are cut into the sex scenes i fear that the chain has been limited and did not want to extended longer let us not deceive us i expected more"
