"nick","date","comment"
"Xray the Enforcer",2012-05-22,"continue discussion of ep 208 remember keep it classy and civil"
"Pellaeon",2012-05-22,"good episode i love the tyrion bronn varys part but the robb talisa part was boring"
"Rockroi",2012-05-22,"from the prior threadi hated that they gave robb the lines that eddard is supposed to have told him about a man being brave when he is afraid ok they left the lines out from the discussion between brandon and eddard at the beginning it is shame but i can live with it but giving this to robb talking to this random volantene is just wrongi actually thought that this worked just to point out the obvious the show has the luxury that martins pov system did not namely adding firsthand context to robbs embarrassingly bad decision to reneg on the betrothal here the show wants to give us more facetime with robb and they want to paint robb as the decent honorable and courageous leader with a streak of romanticism instead of having a relatively simplistic story of robb vbeing wounded and then bedded and then of course having to marry that woman who boffd him this story has a more gradual movement slowly and surely these two people continue to grow together and inexorably find a bond and to do that you need those moments of honesty and revelation ie i am revealing to you something deeply personal please do not betray by trust in doing so having robb talk about ned his father to a woman he obviously loves works in that context i dont think its a failure at all but a very good rearrangement of neds wisdom and its a good excuse to show how ned still influences his children as is the whole robbvolantene romance she is becoming his personal ros nowcant agree first roz is a wholly invented character while the volanese woman is a representation of jayne and is replacing her roz does not replace anyone while roz is basically a catchall to give us context to scenes we otherwise would have no link to she is a relatively empty space she adds nothing to the story and provides no insight the volanese woman meanwhile is a deeply effecting character to the story as she and robb are slowly meandering down the path to certain disaster this has huge ramifications but its more in the series we have the opportunity to actually meet robb and interact with him in the books we knew him only second hand through cat and to a much lesser degree through bran martin has said several times that if he had it to do all over again he would have given robb a pov okay with that said robbs love must seem genuine and real or its a failure robb cannot just get married offstage as he did in the book and just explain it away after the fact no we are now with robb so if he suddenly marries a foreign woman  well we better know a reason why that reason why must be real and genuine to me the show has done a very good job of making that relationship seem genuine by contrast nothing about roz feels real she is grossly tacked on to the show and is only there to provide a placeholder so the audience knows what is going on and  and it does not help that the actress playing roz is  decent but not very good ie if you are going to have a scene where a character cries the actress may actually want to actually cry also he was terrible to catelyn much more than is the bookswell theres a reason for that in the books robb confronts cat after robb himself has fucked up and married jayne so he knows that he needs top forgive cat to get her forgiveness and help also in the books cat frees jaime after she is told bran and rickon are dead i think the show is rushing the cat storyline in an attempt to take timepressure off the next season sos is a huge book as i have stated before a certain pair of weddings take place at page 585 and 684 respectively thats appx 23 of the way through the books we still have another 300 pages to go after that therefore robbs words seem more cruel because he does not have the mitigating circumstance of his mother having to mourne bran and rickon he is free to be more honest with her on her horrible act again cats actions lose so much empathy because they were done without the context of bran and rickons deaths that is a harder sell and robb is not bound to be kinder to his mother without it"
"legba11",2012-05-22,"i forgot to add my killed the thread post in mk i have they just thrown lf knowing about arya out the window they have this great scene with a significant plot development and then it just disappears in a puff of smoke"
"insertname",2012-05-22,"the same can be said of tywin if he did know she was aryai assume this wasnt the case why leave her with gregor but if he didnt know exactly who she was why did he make no move to find out who she is there arent exactly many northern highborn girls running around ready to be captured so tywin should at least be a bit intrigued who she isbut nope"
"legba11",2012-05-22,"he clearly did not know lf even tested his knowledge when he lf found it out with his comment about daughterssss i loved how tywinarya ended it was a meaningless arc plotwise but developed both characters better than martin ever did and it ended perfectly after weeks of soulful conversations clearly a bond forming tywin casually tosses arya into the meat grinder because she serves no purpose for tywin lannister that moment so perfectly defines his character with 5 seconds of effort he could have put her in a good position working somewhere decent in harranhal or even dispatching her with a couple of peon guards to moat caitlin for a small ransom she is a northern highborn but no its not worth that 5 seconds of effort so he gives her to the worst human being on the planet lf however did know who she is he also knew tywin did not know i dont understand how he would leave harrenhal without such a valuable commodity its like seeing a copy of detective comics 1 at a yard sale and not paying the 2 they are asking for it i understand that storywise they cant let lf get her because her story doesnt go that way but we should have seen lfs plot to grab her get foiled"
"Arkash",2012-05-22,"does anyone else think the fact that they put the horn among the dragonglass means it will have some importance later on "
"Grey Robb",2012-05-22,"regarding tyrion and the chain or lack thereof i put a few context clues together from the varystyrionbronn banter and i believe they are scraping the chain entirely in favor of another method i think tyrion the highborn plumber of casterly rock will devise some scheme with flushing rather than flinging a majority of the wildfire into the waters of blackwater rush the scene with bronn shooting the fire arrow made it seem as though he could have been using it to set the contaminated river ablaze i still think they will probably fling some wildfire and use ships full of wildfire as battering rams but i think the crux of the plan will be the river itself not necessarily as ingenious as the chain but it serves the same purpose of trapping and eviscerating stannis fleet its probably a lot more budget conscious as well and would still be creditable to tyrions ingenuity just a thought"
"WillWork4NinjaPowers",2012-05-22,"my guess talisa will tell robb she is jeyne they story she gave is that of her grandmothers robb will meet her family talisajeyne is in on something with roose right now there are knowing looks whenever they pass each other in the tent i think they werent planning on jeyne actually falling in love with robb she was supposed to just be a spy passing on info from roose to tywin roose is so adamant about ramsay going to winterfell because that is part of the plan for the boltons to hold winterfell for tywin there was no weasel soup because in the tv version roose gets to take harrenhall without a fight since he is already partnered with tywin mandon moore will try to kill tyrion pod will save him no chain but wildfire from the sewers trapping the ships not sure if there will be a renley sighting arya gendry and hot pie run into the brotherhood"
"legba11",2012-05-22,"the bay of wildfire seems quite plausible and really not much of a change i think we will definitely see renly though likely it will be loras maybe as tyrions last image before he drops unconscious even possible as the last shot of the episode"
"DurararaFTW",2012-05-22,"the bay of wildfire seems quite plausible and really not much of a change i think we will definitely see renly though likely it will be loras maybe as tyrions last image before he drops unconscious even possible as the last shot of the episodeif they were gonna do renly they wouldve given him an helmet and an armor with a striking color renly has a rich uniformthis season but not exactly one thatll catch your attention from the top of a hill edited by durararaftw 22 may 2012  1144 am"
"rmholt",2012-05-22,"does anyone else think the fact that they put the horn among the dragonglass means it will have some importance later on it waas true to the book it is minuscule compared to the purported horn of joramun and worse compared to drngonbinder plus it cannot make noise sometimes a cigar is just a cigarperhaps the original weasel will reappear with it and use it to destroy the others"
"legba11",2012-05-22,"well see i can visualize a fading tyrion looking up seeing loras in the green armor which we saw plenty of and a stag helm which we have not seen and mumbling renly as he passes out and the credits roll i agree that they have not waved the armor in in our faces like rozs nipples but i would be surprised if they pass up on a moment like that ive been wrong before and will be again about the show after the past two episodes i have no idea what theyre doing at this point so"
"CrypticWeirwood",2012-05-22,"it waas true to the book it is minuscule compared to the purported horn of joramun and worse compared to drngonbinder plus it cannot make noise sometimes a cigar is just a cigarrubbish itâ<U+0080><U+0099>s there because martin made sure the showrunners knew it was somehow essential to the overall plot there can be no other explanation the horn of sam is definitely something we just donâ<U+0080><U+0099>t know what yet whether in the show or in the books but meaningful there can no longer be any doubt of its being"
"Craven Mummer",2012-05-22,"since dd have gotten input from grrm on the future plotlines maybe the whole jeynetalisa thing may take a more impotent role in the next book if i remember correctly jeyne is not at the rw and the possibility of a stark heir is still unresolved null"
