"nick","date","comment"
"Ran",2013-05-19,"book spoiler discussion of the show goes here for those who want to discuss the episode in relation to the books and with reference to spoilers from them this topic should open automatically around the start of airing"
"Ampris",2013-05-19,"we better get sam the slayer tonight and not more of sam the singer"
"MsLibby",2013-05-19,"we will know soon enough but oona chapmans reportedly told got boses that she will no longer film topless scenes hmmi really hope its because she wont be filming any scenes at allhttpwwwtelegraphesssceneshtml"
"teemo",2013-05-19,"we will know soon enough but oona chapmans reportedly told got boses that she will no longer film topless scenes hmmi really hope its because she wont be filming any scenes at allhttpwwwtelegraphesssceneshtmli think that was esme bianco ros"
"WinterKing",2013-05-19,"starting with arya and rock"
"DreamSongs",2013-05-19,"no jaime this episode"
"MsLibby",2013-05-19,"no jaime for sure"
"Ser Joe of House Targaryen",2013-05-19,"we will know soon enough but oona chapmans reportedly told got boses that she will no longer film topless scenes hmmi really hope its because she wont be filming any scenes at allhttpwwwtelegraphesssceneshtmldid you read the article thats not what it says at all oona chaplin was gossiping about another actress on the show im guessing the one who played ros refused to do nude scenes any more"
"DreamSongs",2013-05-19,"open with arya and sandor and lol this so captures the truth of sandor and arya"
"DreamSongs",2013-05-19,"no jaime for surencw was not in the opening credits ergo no jaime"
"teemo",2013-05-19,"hound sounds awkward and a lot nicer than usual"
"MsLibby",2013-05-19,"did you read the article thats not what it says at all oona chaplin was gossiping about another actress on the show im guessing the one who played ros refused to do nude scenes any morei did read it i obviously read it wrong because i followed another think to it hmmthen i wonder who it was"
"Agamemnon",2013-05-19,"red wedding this episode"
"WinterKing",2013-05-19,"very booklike until now"
"FullMoonHowl",2013-05-19,"red wedding this episodenext one"
"DreamSongs",2013-05-19,"bought purple haze to drink for this episodeflavored water sadpng classbbcemoticon alt  fortunately the swedish farmers cheese and dany with the second sons is better"
"teemo",2013-05-19,"not a bloody wedding"
"DreamSongs",2013-05-19,"i am only a young girl ahhdark warrior men with an attitude"
"Jon-Michael Pearson",2013-05-19,"so far best episodes yet love the hound"
"DreamSongs",2013-05-19,"i actually like that gendry and stannis are meetingi know he has taken up some of the role of edric stormbut since dd have to cut corners in the big picturei am really paying attention to where gendrys story line is going on the show"
"Ser Joe of House Targaryen",2013-05-19,"ooh some targaryen history mixed in with davos reading lessons biggrinpng classbbcemoticon altd "
"DreamSongs",2013-05-19,"tell him davos tell stannis how illogical he is"
"DreamSongs",2013-05-19,"yes davos and purple haze ale is terrible sadpng classbbcemoticon alt "
"WinterKing",2013-05-19,"they are building some references between iron coinbraavos and death"
"DreamSongs",2013-05-19,"danys new boyfriend tonguepng classbbcemoticon altp  why do i think ashton kuscher would have been perfect for that role biggrinpng classbbcemoticon altd "
"DreamSongs",2013-05-19,"sansa shae and tyrion again shaeyou might be better off with podrick tyrion being an absolute fool and encouraging poor sansa to become an alcoholic cersei and marge being bffs such wonderfully sarcastic bitches hugs poor sansa"
"optimusapple",2013-05-19,"im so glad the explained the rains of castamere before next week"
"DreamSongs",2013-05-19,"moment of silence for sansa"
"WinterKing",2013-05-19,"she knelt"
"ebevan91",2013-05-19,"shes so damn tall lol"
"SOSRadio",2013-05-19,"total dick move joff"
"DreamSongs",2013-05-19,"nice the nod marge gave sansa considering the tyrells were not invited in the book oohthe maiden cloak scene noooooooi wanted tyrion on the fools back"
"Ser Joe of House Targaryen",2013-05-19,"at least she knelt for him lolgif classbbcemoticon altlol "
"Jon-Michael Pearson",2013-05-19,"joff is a dick and evil piece of crap"
"DreamSongs",2013-05-19,"ohmypng classbbcemoticon alto  is mel going to seduce gendry ohmypng classbbcemoticon alto "
"-Ghost-",2013-05-19,"i cant believe they took away sansa refusing to kneel for him"
"Ser Joe of House Targaryen",2013-05-19,"joff is a dick and evil piece of crapit is known"
"DreamSongs",2013-05-19,"i hate that sansa knelt as well took away her wolfishness oh crapmel is seducing gendry ohmypng classbbcemoticon alto "
"Minsc",2013-05-19,"i cant believe they took away sansa refusing to kneel for himwell seeing how they have already dicked over sansas entire storyline this season it is not surprising they took away one of her biggest moments of strength in the books edited by minsc 19 may 2013  0833 pm"
"DreamSongs",2013-05-19,"i cant watch"
"WinterKing",2013-05-19,"well i did not imagine the leeche scene like that"
"Warden of the North121",2013-05-19,"book purists are raging over this gendry scene right now lol"
"DreamSongs",2013-05-19,"and i thought sansa was in trouble"
"Bayard",2013-05-19,"well seeing how they have already dicked over sansas entire storyline this season it is not surprising they took away one of her biggest moments of strength in the booksthat strength would have damned her character forever in the eyes of nonreaders tyrion is the perfect man in the show"
"DreamSongs",2013-05-19,"wellnow we know how effective stannis blood is now biggrinpng classbbcemoticon altd "
"mafalda",2013-05-19,"wtf am i watching is there an orgy going on in dragonstone"
"DreamSongs",2013-05-19,"poor dumb loras"
"teemo",2013-05-19,"umwha i tried to stop by myself but i had to come on here"
"Minsc",2013-05-19,"that strength would have damned her character forever in the eyes of nonreaders tyrion is the perfect man in the showthat is part of their dicking over sansas story that i was referring to in how it is better for them to diminish a character they dont like then actually present their favorite character in an unfavorable light like he is in the books"
"DreamSongs",2013-05-19,"i give cersei and tywin credit for trying to stop joffs and tyrions nonsense"
"DreamSongs",2013-05-19,"in the moment of cersei and loras i actually like cersei for once"
"Jory",2013-05-19,"so many feels in so many different directions"
"DreamSongs",2013-05-19,"yes tyrion"
"DreamSongs",2013-05-19,"drunk tyrion drunk lusty joffrey rational tywin hugs poor sansa"
"mafalda",2013-05-19,"by the way daario droolgif classbbcemoticon altdrool  droolgif classbbcemoticon altdrool  droolgif classbbcemoticon altdrool "
"DreamSongs",2013-05-19,"im telling youashton kuschter would have been a perfect daario biggrinpng classbbcemoticon altd "
"DreamSongs",2013-05-19,"i like the nod to jon that tyrion gave"
"WinterKing",2013-05-19,"i still hate daariobook daario or show daario"
"DreamSongs",2013-05-19,"at least they gave sansa back some of her power in that scene"
"DreamSongs",2013-05-19,"not daario again devilgif classbbcemoticon altdevil "
"WinterKing",2013-05-19,"br is watching you"
"7V3N",2013-05-19,"best episode yet i loved every scene including the leech scene it kinda made sense i also enjoy that daario is actually charming i never found the book version to be so he reminds me of gannicus from spartacus in some ways loved the slayer scene i just wished we saw the puddle of icy cold water edited by 7v3n 19 may 2013  0900 pm"
"Ser Joe of House Targaryen",2013-05-19,"i still hate daariobook daario or show daariowith you 100 and add shae to that list as well"
"DreamSongs",2013-05-19,"oh greatangry shae looking for and happy that there is no stain i am actually starting to hope tyrion catches her and gold daddy in the act tonguepng classbbcemoticon altp "
"DreamSongs",2013-05-19,"sam gilly"
"teemo",2013-05-19,"oh snap shae is pissed"
"Jon-Michael Pearson",2013-05-19,"sam the slayer"
"WinterKing",2013-05-19,"poor puddles"
"DreamSongs",2013-05-19,"crowscrows and ravensgoing crazybrave sambrave gillyothershatteringsam the slayer is born"
"Ser Joe of House Targaryen",2013-05-19,"sam the slayer yes bye bye puddles"
"DreamSongs",2013-05-19,"episode definitely set up everything for the next two episodes of the season i was pleased"
"Madfunkymonkey",2013-05-19,"i had to watch family guy so now i have to wait an hour and i didnt want to get spoiled but damn it i saw the post above mine about sam"
"Tempra",2013-05-19,"by the way dany droolgif classbbcemoticon altdrool  droolgif classbbcemoticon altdrool  droolgif classbbcemoticon altdrool ftfy smilepng classbbcemoticon alt "
"jons nissa",2013-05-19,"aww sam the slayer but whats up with all the crows"
"Ser_Patreck",2013-05-19,"they actually made sansa kneeli could hear anguished wails all the way from the north hemisphere"
"Kaiser Stormslayer",2013-05-19,"we better get sam the slayer tonight and not more of sam the singerboom goes the dynamiteperfect scene samwell the slayer"
"Ser_Patreck",2013-05-19,"aww sam the slayer but whats up with all the crowscoldhands d"
"WrathOfTinyKittens",2013-05-19,"wont it kind of make a difference that grenn wasnt there to see sam kill the other"
"Roboginger",2013-05-19,"that is part of their dicking over sansas story that i was referring to in how it is better for them to diminish a character they dont like then actually present their favorite character in an unfavorable light like he is in the bookssansa would have come as a total bitch if she refused to kneel"
"-Ghost-",2013-05-19,"finally sam the slayer"
"Tom son of Tom",2013-05-19,"coldhands dboom goes the dynamiteperfect scene samwell the slayerthe only thing is though is how is show sam sam the slayer when there was no one but gilly to witness it"
"Jojosh",2013-05-19,"i mean i already hate daario in the books so i guess the show improved upon that standard hes still not that good imo best episode this season to me not sure how sansa could possibly still be 14 when everyone else got aged up but oh well edited by jojosh 19 may 2013  0904 pm"
"mafalda",2013-05-19,"great episode sansa and tyrions wedding was perfect daario and the second sons were perfect ser davos was perfect just everything except the weird leeching scene that part dragged on longer than needed way longer now i see why they had gendry grow that ridiculous goatee so he would maybe look older when mel rapes him tonguepng classbbcemoticon altp  but still as weird as that scene was it got even weirder when stannis and davos came in and watched disappointed to see that the red wedding episode will be sharing screen time with jon"
"teemo",2013-05-19,"omg in next time edmure dancing all happy at the wedding"
"mafalda",2013-05-19,"and sam finally"
"Moseh Khayim",2013-05-19,"i was totally expecting coldhands until the scene itself now im kinda pissed edited by moseh khayim 19 may 2013  0904 pm"
"-Ghost-",2013-05-19,"sansa not kneeling was one of the few things she had control of in her life at that point in time and was a strong moment for her"
"Lord Elrosir",2013-05-19,"this shit redeemed the season in my eyes so goodyes now the rains weep oer his hall and not a soul to hear2 weeks"
"Kaiser Stormslayer",2013-05-19,"i still dont completley grasp why stannis has such a hard on for robb to name him first of the 3i would have thought tywin would be in there before baylon greyjoy i guess i need to read the books edited by kaiser stormslayer 19 may 2013  0906 pm"
"AegonSnow",2013-05-19,"omg sam the slayer i thought they were going to skip it but no"
"mafalda",2013-05-19,"oh greatangry shaelooking for and happy that there is no staini am actually starting to hope tyrion catches her and gold daddy in the act tonguepng classbbcemoticon altp im so sick of shae the angry whore i want shae the funny whore to come backjust kidding dont want either one and cant wait for her exit"
"-Ghost-",2013-05-19,"i still dont completley grasp why stannis has such a hard on for robb to name him first of the 3i would have thought tywin would be in there before baylon greyjoy i guess i need to read the bookswhy are you in here if you havent read the books lol"
