"nick","date","comment"
"Ran",2014-04-06,"have at it"
"Warhawk137",2014-04-06,"seven â eeeh its the season premier episodeâ those are never really any great shakes â did a fine job establishing most of the major plotlines of the season though and thats really all you can ask"
"Wmarshal",2014-04-06,"that was so fcking awesome just when i was going to quiet the show"
"Cas Stark",2014-04-06,"i loved it â not sure about bringing the mercy stuff up this early but otherwise it was great â"
"Trebla",2014-04-06,"910 best premiere of any season"
"John Hulboy",2014-04-06,"episode was great with arts getting a little revenge and retrieving needlelooking forward to rest of season"
"Joyful Union",2014-04-06,"great ep 910"
"Mark Antony",2014-04-06,"85 so i voted 9"
"Montey14",2014-04-06,"agreed about arias mercy linebut i guess it fit being that polliver is in for the sweetling"
"Montey14",2014-04-06,"so i guess now brienne will be sent to find aria instead of sansaor will she search for her after jeoffrys wedding"
"Rhaegar I Targaryen",2014-04-06,"loved itâ"
"Daena the Defiant",2014-04-06,"wait so the wedding is next episode already wowsers"
"Dany's Silver",2014-04-06,"910 â i thoroughly enjoyed this episode and thats not just the vino talkingâ i will enjoy it even more when i rewatch it and i am definitely happy to have this show back on the air"
"Zman1863",2014-04-06,"it was ok a bit slow throughout most but that was pretty much expected curious about how they are going to frame aryas arc this season since they moved up one of the biggest scenes wasnt too much of the stuff they did with jaime due to his arriving in kl earlyâ"
"SeA±or de la Tormenta",2014-04-06,"210 i hated those thenn"
"Liddle",2014-04-06,"very good premiere best since the first season oberyn martells introduction was a little over the top but his discussion with tyrion was excellent i really liked aryas scene at the end it was definitely a better adaptation than i expected given the ticklers death in season two jons scene was ok sansadontos was a bit rushed but at least theyre setting up for the future jaimes scenes were pretty good and i liked what little we had of brienne there are a couple of weakish points to the episode the reforging of ice was done with little fanfare but the series hasnt made much of the importance of those ancestral weapons the introduction of the thenns felt a little clunky daenerys was just kind of there and so was tyrion i felt but i know not everybody can have action every episode  things take some setting up"
"Darth Pipes",2014-04-06,"910â great jobâ and i wasnt annoyed by muchâ always a good thing"
"Atroksia",2014-04-06,"i am so happy and thrilled that got finally continues the translation from the book into the series was partly not as expexted but still great happy i am"
"MoIaF",2014-04-06,"810  not bad not bad at all"
"tito5601",2014-04-06,"810 great intro with tywin throwing the pelt into the fire also i must say those thenns are really scary"
"Warhawk137",2014-04-06,"210 i hated those thenn â that gets it a 210"
"The Scabbard Of the Morning",2014-04-06,"id normally give it a 7 but i have to bump it up to an 8 for the sword of the morning name drop"
"Lord Godric",2014-04-06,"id give it an solid 8â a really good episode overall i really loved the opening with twin but some of the changes ugh such a purist i didnt like particularly tyrions welcoming of oberyn"
"SeA±or de la Tormenta",2014-04-06,"â that gets it a 210plus the lack of magic with neds sword as if it doesnt want to be splited the still ewing dallas view of the lannister family the noyed allister thorne which neglets further book cool scenes and the awful way they are doing the shae storyetc"
"The Shadow Wolf",2014-04-06,"had to give it a ten just for the ending alone loved arya sticking it to polliver almost felt like a dany ending with the got theme in the background and arya riding away on her white horse"
"KalibakCruel",2014-04-06,"910 as far as openers go this is my favorite since the season 1s loved aryas scene liked all of jaimes scenes and oberyn is looking good already"
"Widows_Blood",2014-04-06,"i gave it a ten because i am high on joy right now honestly id give it a 9 thenn introduction was great kit harington was great red viper intro was spot on arya and the hound was icing on the cake i also loved the shot of the destroyed countryside at the end one quibble i have had with this show is that they have sort of neglected how the war has impacted the small folk so i am very glad that we will get a look into that though arya and the houndâ"
"TheWhiteRabbit",2014-04-06,"thought it was the best season opener since season 1 especially the last part"
"Batavian",2014-04-06,"10 out of 10 â fantastic casting of pedro pascal as the red viper really looking forward to following oberynâ<U+0080><U+0099>s storyline in the series â looks like the cg has improved too with the increase in popularity of the series drogon is the coolest dragon since the stopmotion vermithrax of dragonslayer refreshing after the hugely disappointing portrayal of smaug in that other epic fantasy â it will be interesting see how well michiel huisman does i think the daario recast will be more significant than the other major recast in season 4"
"Died a Hero",2014-04-06,"9 â loved the open tywin putting the wolf pelt in the flame was a great touch the red viper was very red viper i know the prudes on the board will piss and moan but oberyns track is one of sex and blood get used to it poor sansa marge and gandma kickass picked up right where they left off shea the funny whore was meh but shes always meh loved the thenn my little brother was freaked the fucked out when he saw them i didnt mind the ayra change up on the time line itll hurry the bond between her and the hound so tv onrly folks see what the payoff is on episode 9 all and all good stuff great to have our baby back â edit oh the pointing child nvm that made this a 10 i cant believe they didnt cut it out sure it wasnt an infant but good enough edited by died a hero 06 april 2014  1131 pm"
"P. frontalis chiripepe",2014-04-06,"id say 85 â â love seeing aemon back i enjoyed bronn and sandors lines i think oberyns introduction was perhaps laid on a bit thick but i think he plays the part well shae is getting pretty jealouswe know what that means â"
"Baitac",2014-04-06,"910 but only because my heart wasnt crazy racing like it has for other episodes blackwater and red wedding im so happy this is back i thought the dragons scene was well done kit is acting all grown up as he should fantastic"
"karna1983",2014-04-06,"i loved it â not sure about bringing the mercy stuff up this early but otherwise it was great what was that think i missed it"
"Jslay427",2014-04-06,"didnt really like the brienne and jamie exchange about sansa hard to do anything else due to the pw having taken place in the books before jamie gets to kl wanted him to be like i will keep this vow and save her still a 910"
"Jabronius Maximus",2014-04-06,"id give an 85 but i just rounded up to a 9 i thought it was great aside from danys scenes im not a fan of book dany so theres some obvious bias but i just thought her scenes were lacking"
"Howling Mad",2014-04-06,"oberyn martells introduction was one of the best of the series well done"
"KalibakCruel",2014-04-06,"oh id like to add in that kits acting in this episode in the little he was in is miles better than hes been all series long lol maybe it was just me but i actually believed his acting today especially when he talked about eating with the wildlings also liked the thenns"
"Warhawk137",2014-04-06,"oh id like to add in that kits acting in this episode in the little he was in is miles better than hes been all series long lol maybe it was just me but i actually believed his acting today especially when he talked about eating with the wildlings also liked the thenns â frankly i was liking where he was going with the character toward the end of the season last yearâ particularly his bit to ygritte about how they cant win â maybe its just his interpretation of the way the character grows"
"Widows_Blood",2014-04-06,"oh id like to add in that kits acting in this episode in the little he was in is miles better than hes been all series long lol maybe it was just me but i actually believed his acting today especially when he talked about eating with the wildlings also liked the thenns he was great in season one and had great moments in season 3 especially grrms episode like emilia clarke their acting suffers when the writing suffers when kit is given good lines like this episode he really shines i thought he was wonderful sounded like hes really grown up put that punk ass slynt back in his place cant wait for edd fetch me a block"
"karna1983",2014-04-06,"loved the hound thenn were scary reminded me of hellraiser were they cannibals in the book oberyn was great and he is great for the role"
"Florina Laufeyson",2014-04-06,"75 the 5 comes from arya being a badass and the duncan the tall nod and blue rose in my domeâ â yes very yesâ"
"Jslay427",2014-04-06,"the thenns in book were not said to be cannibal only the clans from skagos iirc"
"Ran",2014-04-06,"the ice river clans are said to be cannibals but no the thenns arent they basically just squished them and the savage cannibal clans together"
"Urrax2",2014-04-06,"i hated those thenn i gave it only a 5 â"
"John Hulboy",2014-04-06,"episode was great with arts getting a little revenge and retrieving needlelooking forward to rest of season10"
"KalibakCruel",2014-04-06,"he was great in season one and had great moments in season 3 especially grrms episode like emilia clarke their acting suffers when the writing suffers when kit is given good lines like this episode he really shines i thought he was wonderful sounded like hes really grown up put that punk ass slynt back in his place cant wait for edd fetch me a block â i should rephrase i made it sound like i didnt like kit before actually ive always liked him even when people thought he was too dull but his scene today for me was just surprising he has a new confidence to him"
"SeA±or de la Tormenta",2014-04-06,"the tenns are supposed to be the wilding group more similar to the northeners with lords ranks and bronce armors there was no need to call this tenn if dd want to change stuff bring up names of their own edited by seaor de la tormenta 06 april 2014  0956 pm"
"Robin Of House Hill",2014-04-06,"8 â it was good for setting up the rest of the season"
"karna1983",2014-04-06,"i should rephrase i made it sound like i didnt like kit before actually ive always liked him even when people thought he was too dull but his scene today for me was just surprising he has a new confidence to him hes not just so emo he now has a strong personality"
"nhebron",2014-04-06,"i thought it was a good set up for the rest of the seasonsbut wasnt overly impressed â i rated it a 7"
"modbelle",2014-04-06,"910 based highly on oberyn stabbing random lannister supporter the badass of his performance and unpredictability got me plus i know the episode is good when it feels like a half hour rather than an hour"
"KalibakCruel",2014-04-06,"hes not just so emo he now has a strong personality yeah thats a perfect way to put it hes not sulking anymore cant wait to see how he does in the rest of the season â also not a fan of new naharis not as arrogant as skrein"
"dtones520",2014-04-06,"i thought the whole episode was strong outside of the tyrionshae scene but thats just more with me not liking how they have portrayed their romance but i never really understood it in the books either another tiny annoyance was that they spelled ser as sir in the white book show watchers had no idea and im willing to be the art designer who made it didnt either but as a book fan i cringed for a split second no big deal just a petty complaint i loved the entire introduction of the dornish and prince oberyn painted his character points perfectly for non readers as a lustful vengeful dangerous man who will do whatever he wants when he wants his monologue about elia was pure gold only wish they mentioned rhaenys and aegons names in it but i get not wanting to muddy the water with more and more names all at once love the casting of ellaria too actress is gorgeous jons scene was great like the new daario brought dontos back into the fold and he gave sansa her purple jewels loved aryas revenge the hound had me in stitches the thenns were badass everything was great still not 1010 great but a solid 9"
"King Kev.",2014-04-06,"very solid 9 â good set up for future events that will take place in the later episodes and some genuinely amazing scenes oberyn was fantastic and i loved it when he stabbed that guy the final scene was brilliant as well it took its sweet time ratcheting up the tension and it paid off i almost started laughing ecstatically during that fight excellent"
"dtones520",2014-04-06,"very solid 9 â good set up for future events that will take place in the later episodes and some genuinely amazing scenes oberyn was fantastic and i loved it when he stabbed that guy the final scene was brilliant as well it took its sweet time ratcheting up the tension and it paid off i almost started laughing ecstatically during that fight excellent i was laughing ecstatically at the hounds one liners only cunts rofl"
"ohpooratlas",2014-04-06,"i gave it a 7 but im admittedly a very hard grader â it was by far the best premier since the first season loved oberyns introduction loved the aryahound scene loved the dragons  especially loved drogon snapping at dany  i jumped just like she did loved and hated all at the same time the breaking down of ice â loved jon snows scene too and i agree that kit did a fantastic job with it â i also loved margaerys sarcastic comment about joffrey choosing a string of dead sparrows for her necklace and how the qot immediately put her in her place and was like hush your tongue dear even with me"
"Fez",2014-04-06,"910 â thats partly because im just so excited that the shows back but i also think the episode did a really good job of catching nonreaders up with a lot of backstory and setting up most of the major plotlines of the season"
"The Great Unwashed",2014-04-06,"i gave the episode a 710 unfortunately the scenes with jaime i felt were rather lacking since theyre having to invent scenes for him since they sped up his arrival oberyn seems like he will be interesting but i felt the scene between him and tyrion lacked much of the elegance and tension of their first meeting in the novel i felt jons scenes were good although i would have liked to see more of his reaction to the news regarding robb kit harington really seems to be more comfortable as jon danys scenes were meh although i think the new actor playing daario is a better pickalthough my better half was less than pleased the scene with tyrion and sansa was very good i felt"
"Montey14",2014-04-06,"although the books only hint and vaguely mention that red viper lies with boyshe is openly bisexual in the series"
"JonCon's Red Beard",2014-04-06,"ah also i love maester aemon â how can you tell a liar i grew up in kings landing â â bitchslap with class"
"Montey14",2014-04-06,"the 2 swords thoughwe know brienne has one bladebut what happens to the blade that was given to geoffreyâ â was he buried with it grrm never elaborates in the books"
"Mark Antony",2014-04-06,"the 2 swords thoughwe know brienne has one bladebut what happens to the blade that was given to geoffreyâ â was he buried with it grrm never elaborates in the books i think it goes to tommen"
"Warhawk137",2014-04-06,"the 2 swords thoughwe know brienne has one bladebut what happens to the blade that was given to geoffreyâ â was he buried with it grrm never elaborates in the books â as per the wiki tommen has it"
"Ser Creighton",2014-04-06,"the ice river clans are said to be cannibals but no the thenns arent they basically just squished them and the savage cannibal clans together sort of feeling bad for a certain karstark right about now"
"Sand11751",2014-04-06,"810 some things felt a bit disjointed with the wildlings and thenn but the best parts were oberyns intro and jon before the nw missing maester aemonâ"
"The Monkey",2014-04-06,"i loved it all the aryahound scene was obviously the highpoint but all the scenes were good especially the oberyn ones also gotta agree with yall kit gave a real solid performance here it bodes well for the rest of the seasonâ â do you think they will ever explain why allister thorne returned in the show without ever having visited kl in the show"
"iknownothingjonsnow",2014-04-06,"sort of feeling bad for a certain karstark right about now this oneâ httpimg4wikianodkarstarks3jpg"
"Florent Vixen",2014-04-06,"8 leaning towards a 9 liked oberyn arya and the hound best opening scene was good"
"Ser Creighton",2014-04-06,"changed a lot from the books a little over the top i give it a 7 though i know jaime is not acting like he should from the books but i can see where it is going with his character it seems to make sense pros arthur dayne dunk flower power dragons new darrio better than old darrio production values wolf pelt on the fire joff touching the white book so wrong but so perfect he won the war and broke stannis i was waiting for him to write his own name in the book dead child cons brie and marg wtf oh high its great to meet you nothing odd here nothing like grey tyrion oh wait thats the books over the top oberyn not to bad but a little pushy skipped the tyrion story would have liked that arya felt a little early for that jump in brutality at least for me the necklace from ser dontos nothing really bad for me except the brie and the tyrell moment just some things that felt a bit out of place nothing really spectacular dragons looked good some nice book drops had a nice feel to it liked dontos a lot more than i thought i would it was good with some very good moments not sure what else to say"
"Ser Maneth Grossart",2014-04-06,"the tenns are supposed to be the wilding group more similar to the northeners with lords ranks and bronce armors there was no need to call this tenn if dd want to change stuff bring up names of their own â i think we understood no need to over do it with the explanation thank you"
"Ser Creighton",2014-04-06,"this oneâ httpimg4wikianodkarstarks3jpg nope another far more liked karstark"
"JonCon's Red Beard",2014-04-06,"are we sure the thenns are cannibals or they were simply messing up with the group because they used to have a baby crow with them"
"Corvinus",2014-04-06,"9510 liked everything except the blue rose only one woman should have that and her name is not daenerys targaryenâ"
