"nick","date","comment"
"Ran",2014-04-13,"book spoiler discussion of the show goes here for those who want to discuss the episode in relation to the books and with reference to spoilers from themthis topic should open automatically around the start of airing"
"Madfunkymonkey",2014-04-13,"the end is about to begin"
"Moon And Stars",2014-04-13,"finally"
"Tooms",2014-04-13,"dadum dadadadumâ dadadadumâ dadadadumâ dadadadum â dummmmdummmmm dadadummmm dummâ dadum dadadadumâ dadadadumâ dadadadumâ dadadadum"
"Ser Joe of House Targaryen",2014-04-13,"cant wait to see the reaction videos after tonights episode"
"SOSRadio",2014-04-13,"starting off with ramsay i see"
"Madfunkymonkey",2014-04-13,"cutting from theon to a sausage is just wrong"
"Warhawk137",2014-04-13,"well that was alarming"
"Rhasgul",2014-04-13,"starting off with ramsay i see god i have been waiting for this scene for such a long time â also so happy to have found a stream as its usually a bitch finding a direct stream in europe"
"Warhawk137",2014-04-13,"side note theres a change that could work brilliantly"
"Fragile Bird",2014-04-13,"who the hell was that woman hunting with ramsay"
"Rashtibram",2014-04-13,"whats alarming â i cant see the episode until tomorrow"
"iknownothingjonsnow",2014-04-13,"side note theres a change that could work brilliantly talking about bronn"
"Warhawk137",2014-04-13,"whats alarming â i cant see the episode until tomorrow â the entire hunt sequence â â â talking about bronn â very much yes edited by warhawk137 13 april 2014  0812 pm"
"Greywolf2375",2014-04-13,"okso not a fan of the first two scenesâ we know ramsay is a sick bastard like to see how that adds to the charactersstory â and not really liking that it isnt ilyn he is sparring withâ bronn can still speak and that is still a risk that didnt have to be taken"
"Rhasgul",2014-04-13,"oh my god the laughter at locke and ramsay being torturebuddies"
"Rhasgul",2014-04-13,"whats alarming â i cant see the episode until tomorrow httpwwwchristianwvideo117868 this is an interesting link decent article about the new episode might want to have a look"
"Onna Lewyys",2014-04-13,"im actually really glad that they are revealing ramsay in all his sadistic evil peoplehunting glory in the same episode as killing joffrey its kind of like passing the psychopathic torch"
"MsLibby",2014-04-13,"with the actor who played ilyn being so sick bronn was the more logical choice i guess still he can talk so it actually makes what jaime is doing more dangerous i know a lot of people haad hoped brienne would become his sparring partner but that wouldâ have been too expected"
"Lady Olenna",2014-04-13,"fat walda is actually fat i thought they cast a skinny actress so im glad to see shes not"
"Rhasgul",2014-04-13,"fat walda is actually fat i thought they cast a skinny actress so im glad to see shes not what why why would they theyd have no reason whatsoever to make her skinny s"
"Greywolf2375",2014-04-13,"like the look of that chalice"
"Greywolf2375",2014-04-13,"i like how everyone squints with a wtf did he just say â where is i am no stranger edited by greywolf2375 13 april 2014  0820 pm"
"AnotherCrannogman",2014-04-13,"shae already known by tywin"
"Rhasgul",2014-04-13,"goddammit they had the perfect opportunity to have him say ive handled valyrian steel before i know how to wield it and have all the unsullied shocked at how how far he takes it which would justify the end of the episode even more to them"
"Onna Lewyys",2014-04-13,"with the actor who played ilyn being so sick bronn was the more logical choice i guess still he can talk so it actually makes what jaime is doing more dangerous i know a lot of people haad hoped brienne would become his sparring partner but that wouldâ have been too expected i still dont get this they recast the mountain three times and they recast daario but they couldnt recast ilyn payne"
"Fragile Bird",2014-04-13,"i dont like the way theyre doing the tyrion  shae breakâ so farâ is she going to escape tyrion nots going to murder herâ or does bronn betray tyrion and hand over shaeâ well it will be interesting to see what happens"
"MsLibby",2014-04-13,"i still dont get this they recast the mountain three times and they recast daario but they couldnt recast ilyn payne â im assuming they didnt need yet another character with little or nothing to do i think they need to give bronn a bigger role at the beginning of this season to keep in the forefront of the story makes his treachery even harder in a few weeks"
"Crazeejezza",2014-04-13,"i still dont get this they recast the mountain three times and they recast daario but they couldnt recast ilyn payne â none of the other actors for the mountain or daario were dying it was out of respect that they retired ser ilyn"
"Greywolf2375",2014-04-13,"so shae is the one who sees truly yet is this broken up by itâ granted tyrion took the wood to her there but still"
"Rhasgul",2014-04-13,"i dont like the way theyre doing the tyrion  shae breakâ so farâ is she going to escape tyrion nots going to murder herâ or does bronn betray tyrion and hand over shaeâ well it will be interesting to see what happens as tywin knows hell make sure she doesnt get to leave i guess would be too much of a deviation to her escape imho"
"iknownothingjonsnow",2014-04-13,"goodbye my friend theres no need to cry well never see him again will we sure we will we can just follow his footprints footprints"
"Minsc",2014-04-13,"â none of the other actors for the mountain or daario were dying it was out of respect that they retired ser ilyn â yeah iirc they did the same for old nan after her actress passed away"
"Gran de Lys",2014-04-13,"yeah i couldnt and still cant figure it out it seems as if bronn helpsmakes shae go away which would be super anticlimactic for certain people me who are waiting to see her spoiler strangled to death while looking into tyrions eyes  oops this is a prospoiler thread sorry just got overexciteratedâ edited by gran de lys 13 april 2014  0825 pm"
"E-Ro",2014-04-13,"stannis just used the word infidelohmyfuck"
"C0bR",2014-04-13,"aaah romantic stannis shooting seagulls edited by c0br 13 april 2014  0825 pm"
"Newstar",2014-04-13,"welp now we know why shae is going to turn on tyrionin the show anyway â aw selyse i love her crazy ass edited by newstar 13 april 2014  0826 pm"
"Tooms",2014-04-13,"as tywin knows hell make sure she doesnt get to leave i guess would be too much of a deviation to her escape imho â spoiler if you look at trainer 2 i think it is shae is seen in the hands bedroom on the bed looking surprised as it a certain someone has found her"
"Fragile Bird",2014-04-13,"selyse is too good looking"
"CarCrashFiance",2014-04-13,"manthat food and drink must be insanely tasty if even melisandre is having some"
"Rhasgul",2014-04-13,"melishyreen talk finally more insight into the god of lightâ"
"Newstar",2014-04-13,"im liking the allusions to melisandres childhood and smart tv shireen"
"Warhawk137",2014-04-13,"new original series bedtime stories by melisandre"
"Madfunkymonkey",2014-04-13,"dead deer saying hoder was pretty funny"
"Greywolf2375",2014-04-13,"selyse is too good looking mehwhat she has in looks she makes up for in crazyâ"
"Dain Storm",2014-04-13,"stannis just used the word infidelohmyfuck had the same reaction"
"Rhasgul",2014-04-13,"are we gonna see the dragons fly over kl now"
"Gran de Lys",2014-04-13,"â â new original series bedtime stories by melisandre hush little baby dont you cry were all worm food when we die"
"Newstar",2014-04-13,"bloodraven yassssssss"
"Fragile Bird",2014-04-13,"tywin would never chat with the qot like that"
"Rhasgul",2014-04-13,"bit weak imho expected it to be more of a revelation to him that he can actually cross borders of time and space through the trees sweet to see ned with the wetstone tho"
"CarCrashFiance",2014-04-13,"heres the difference between hbo and everyone else look at the production values at the great sept always visually impressive with the scenery and sets"
"Rhasgul",2014-04-13,"enjoy your beautiful queen for years to come evil grin"
"Newstar",2014-04-13,"also repeated image of the snowcovered throne room seems more clearly a literal prophecy than something symbolic especially when paired with the vision of the dragon flying over kl"
"Moon And Stars",2014-04-13,"go drink until it feels like you did the right thingâ<U+0080> sound advice"
"Madfunkymonkey",2014-04-13,"pod just saw a lady friend"
"Rhasgul",2014-04-13,"also repeated image of the snowcovered throne room seems more clearly a literal prophecy than something symbolic especially when paired with the vision of the dragon flying over kl aye walls and ceiling looked molten like harrenhall god martin write faster "
"Greywolf2375",2014-04-13,"none of the gems are missing it appears"
"SOSRadio",2014-04-13,"olenna trying to be sly with the necklace i see you"
"Fragile Bird",2014-04-13,"but as pointed out none of the gems are missing"
"Newstar",2014-04-13,"on the plus side it will be the last time sansa wears one of those weird kl hairstyles"
"Warhawk137",2014-04-13,"this pretty much sums up what i hate about weddings â running into people you dont much like and sharing a few awkward words with them edited by warhawk137 13 april 2014  0838 pm"
"Newstar",2014-04-13,"this pretty much sums up what i hate about weddings â running into people you dont much like and sharing a few awkward words with them â heh this whole sequence reminds of how awkward and stilted rl weddings are"
"Rhasgul",2014-04-13,"and neither will you oh no he didnt"
"Warhawk137",2014-04-13,"tyrion just soured all the milk in kings landing"
