"nick","date","comment"
"Ran",2011-06-19,"last episode of the first season whatd you think"
"All-For-HotPie",2011-06-19,"was darn good but i was a little upset about the placement of the green dragon it had to be said and we got to see my boy hot pie"
"Starkess",2011-06-19,"i gave it an 8 didnt quite grab me as much as id hoped but still very good the rospycelle scene was a waste i found it impossible to follow his wheezing exposition and ended up checking facebook the final scene felt a little anticlimactic and i know its nitpicky but its really bugging me that she didnt lose her hair looks a little silly and she would have only been bald for a little whileby her second chapter in acok it is already growing back but still a very satisfying end to a very well done series loved how they pulled the sheer misery onto sansas face loved to hate joffrey loved robb loved arry cant wait until season 2"
"Sega AM2",2011-06-19,"i gave it a five out of ten the opening scene was incredible with sansa and the camera work of sansa listening to joffrey on the throne but not looking at him during court was amazing but the rest of the episode seemed rushed or dull it seems hbo showed the mormont woman and it would be nigh impossible for nonbook readers to spot her the added scenes with ros are out of control at this point its almost like the scenes are written as selfparody its so ridiculous how well connected ros is is she going to sleep with everyone in the story or what how long until shes banging euron or stannis or areo hotah the added scene with littlefinger and varys had painful dialog clearly inserted to baby nonbook readers who cant figure out what the jobs of those two are i appreciate subtle conversation but this conversation was clearly this is what our characters do the first nonbook scene between them was much better dragons looked decent i guess but the funeral pyre scene lacked the loud cracks as the eggs violently split open in the books the eggs practically explode thunderously as they hatch in the show everyone takes a nap while the dragons are hatched marillion being killed by joffrey is that right what does that mean for the big finale in storm also props for making theon even more of a traitor i am your brother youll have my sword forever oops"
"Misanthrope",2011-06-19,"gave it a 10 perfect ending to a great season"
"Lord Godric",2011-06-19,"best of the season imo 1010 it had scenes that made me shiver king in the north and jons brother returning him scenes that made me sad arya leaving kings landing as arry catelyn and robb grieving and scenes that made me scared the nights watch going beyond the wall the dragons were so much better than i thought they would ever be disappointed in absolutely nothing"
"nothatso",2011-06-19,"810 i loved parts but some parts also felt very awkward im not one who is bothered by ros but the pycelle stretches afterward seemed like they were just there for filler personally i love the littlefingervarys dialogue i wasnt a big fan of the actress portraying mirri maz duur something about her acting just put me off the dragon cgi was fantastic thats about as good as it gets for a television show i really dont understand how anybody could complain about the aesthetic aspects of them unless the complaint is that they put too much money into the dragons and too little into the rest of the show"
"Ser Farbod",2011-06-19,"i gave it a five out of ten the opening scene was incredible with sansa and the camera work of sansa listening to joffrey on the throne but not looking at him during court was amazing but the rest of the episode seemed rushed or dull it seems hbo showed the mormont woman and it would be nigh impossible for nonbook readers to spot her the added scenes with ros are out of control at this point its almost like the scenes are written as selfparody its so ridiculous how well connected ros is is she going to sleep with everyone in the story or what how long until shes banging euron or stannis or areo hotahthe added scene with littlefinger and varys had painful dialog clearly inserted to baby nonbook readers who cant figure out what the jobs of those two are i appreciate subtle conversation but this conversation was clearly this is what our characters do the first nonbook scene between them was much better dragons looked decent i guess but the funeral pyre scene lacked the loud cracks as the eggs violently split open in the books the eggs practically explode thunderously as they hatch in the show everyone takes a nap while the dragons are hatched marillion being killed by joffrey is that right what does that mean for the big finale in storm also props for making theon even more of a traitor i am your brother youll have my sword forever oops910i actually liked the scene with littlefinger and varys the back and forth was a nice break from more of the plot driven scenes that seemed to dominate this episode i agree a bit with the roz scene however i think the aim was to show maester pycelles subtle charade although that in it self is probably overkill as welli liked the last scene i think if we heard the eggs crack or any sign of the dragons beforehand it would take away from the very moment you see the dragon peak out from her shouldermy main complaint is that they should have made this season 1214 episodes so that they didnt need to rush scenes and jump from plot point to plot point but since the budget was already so large and it probably wouldnt be possible i am thrilled with this final episode and the season in general edited by ser farbod 19 june 2011  0919 pm"
"zippypoodle",2011-06-19,"the rospycelle scene was a waste i found it impossible to follow his wheezing exposition and ended up checking facebooki sort of disagree i couldve done without it but it established that hes not nearly as feeble as he plays and shows he has his own agenda it was pretty effective especially when followed up by the varysbaelish sceneyou must have a pretty short attention span lol"
"Starkess",2011-06-19,"i sort of disagree i couldve done without it but it established that hes not nearly as feeble as he plays and shows he has his own agenda it was pretty effective especially when followed up by the varysbaelish sceneyou must have a pretty short attention span lolonly for things that bore me smilegif classbbcemoticon alt "
"zippypoodle",2011-06-19,"i gave it a five out of ten the opening scene was incredible with sansa and the camera work of sansa listening to joffrey on the throne but not looking at him during court was amazing but the rest of the episode seemed rushed or dull it seems hbo showed the mormont woman and it would be nigh impossible for nonbook readers to spot her the added scenes with ros are out of control at this point its almost like the scenes are written as selfparody its so ridiculous how well connected ros is is she going to sleep with everyone in the story or what how long until shes banging euron or stannis or areo hotahthe added scene with littlefinger and varys had painful dialog clearly inserted to baby nonbook readers who cant figure out what the jobs of those two are i appreciate subtle conversation but this conversation was clearly this is what our characters do the first nonbook scene between them was much better dragons looked decent i guess but the funeral pyre scene lacked the loud cracks as the eggs violently split open in the books the eggs practically explode thunderously as they hatch in the show everyone takes a nap while the dragons are hatched marillion being killed by joffrey is that right what does that mean for the big finale in storm also props for making theon even more of a traitor i am your brother youll have my sword forever oopsthe parts i bolded seem pretty nitpicky to me but i guess you can judge the show by whatever criteria you want"
"All-For-HotPie",2011-06-19,"plus shaggydog was pretty bad ass"
"herkles",2011-06-19,"i gave it 1010 this was by far my favorite episode of the season so much love though i agree that the roz seen did feel out of place but there was so much goodness that even that scene didnt detract from the rest of the episode imo"
"Elrick",2011-06-19,"the joffrey scene of having the singer his tongue removed was more brutal than the way it was described in the book the actor that plays joff is perfect in his role"
"tybeechris",2011-06-19,"99 01 for the rozpycelle scene otherwise incredible perfect set up for season two"
"Mr Bean",2011-06-19,"910 episode with a big fuck you to ros everything you touch you ruin having you be pycells whore no worries but seriously we lost two good scenes because you had to show up much like voyager any scene with neelix aka ros just gets worse you dont belong in this series please go away"
"MMOWarrior",2011-06-19,"i was worried about the dragons but they pulled it off wonderfully i agree though that danys hair should have been burned away as in the book but still overall terrific"
"Kaitscralt",2011-06-19,"i gave it a nine which is about as high as i go the dragons blew me away the first season of a new television show does not usually get cgi like that even on hbo i was really really impressed"
"Noir Dove",2011-06-19,"1010 brilliant i had a little get together with my friends 35 didnt know dragons were coming and 55 squealed when they did were teenagers when it comes to good stories dont judge tonguegif classbbcemoticon altp   i really cannot think of anything that i didnt like well maybe the fact that i have to wait 12 months to see any more damn it edit can i just add how much i loved old bears montage overlapping the march beyond the wall effing brilliant edited by noir dove 19 june 2011  0944 pm"
"Shepherd6",2011-06-19,"i gave it a 1010 any issues i have are minor i am really impressed with the series and the final episode gave me chills and made me tear up which is pretty cool for a tv show i loved it"
"JayDubya",2011-06-19,"id say 910  i was definitely grooving on the dragons very excited to see that scene and it didnt disappoint"
"Bowl o' Brown",2011-06-19,"loved it gave it a 10 i could have done without the ros and pycells psa on benefits of good personal hygiene and the importance of stretching before doing your ploting i love varys but his scene with lf didnt reach the bar they set in an earlier episode drogon"
"MusaYo",2011-06-19,"i gave it a 10 though it didnt have the emotional impact on me that episode 9 did i thought i set up season 2 really well loved king of the north and robb and cats scenes together and my heart was breaking for sansa even if i dont like her arya and yoren those first scenes were very powerful i thought the final scene turned out well loved the cute dragons"
"Ser Aardvark",2011-06-19,"ah roz the girl people love to hate i have to say im not in love with the character but i dont hate her with the venom other people on here do still not satisfied with the alteration done with shae unlike the others who have been changed slightly lysa syrio lord frey sam they did not change her for the better or keep the spirit of her character intact shes the whore i cant stand in the series to be honest with you other complaint king in the north scene came too early that scene should have been later imo as it wraps up robbs and cats storyline for the season and its a pretty dramatic scene in the book oh and where was riverrun maybe too complicated to throw in yet another place i understand butwhat about the riverland lords they pledge allegiance to king robb too i believe oh and i agree the egg hatching scene should have been at night with us seeing the eggs crack open and the dragons emerge in flame but thats more of a nitpicking thing and the aforementioned lack of bald dany but i knew they wouldnt let that pretty actress go bald even for an episode of season 2other than that everything else was great particular love for joff and sansa sansa really looks like shit after the execution and the actor playing joff plays the shitbird to a t seeing the hound be gentle would have had more impact if we had got more of him this season but cest la vie runner up was jon and the nights watch the direction of the old bears last speech with the juxtaposition of jon waiting for the gates opening and hearing mormont asking paraphrasing you have to decide are you a bastard boy playing at war or are you a man of the nights watch to this music was lotrlevel badassery arry and yoren was done superbly as well though was it just me or did hot pie look like he was wearing mascara and biter woot"
"RAddichio",2011-06-19,"very much enjoyed cat keeping her cool with jaime  after first inflicting some slight justice for neds death the scene with her  robb was very touching satisfying to see tyrion finally receive some positive feedback from his father and roz again proved to be the one size fits all girl about town although the dragons are cute  really would enjoy the show even more without the fantasy aspect all in all i found the entire first season to be very entertaining and for the most part remained faithful to grrms writing"
"House Snow",2011-06-19,"95 the one thing you have to be impressed by is how tidily they wrapped up each characters arc for the season while setting upwhetting your appetite for what happens next season"
"Ran",2011-06-19,"aardvark the first lord speaking when the council starts is jonos bracken his lines and we know the role was cast i agree it would have been nice to have his status noted though maybe even suggest he or someone else is officially representing the tullys at the council"
"Winterfelled",2011-06-19,"10 how can it be anything less every cliffhanger was perfect there was variety humor sentimentality they put three episodes worth of awesomeness into one we got everybody and yet we didnt feel shorted i really dont understand the nitpicking of certain characters who gives a shit about the changes they made to shae it makes her a more interesting television character its an adaptation guys if you want the book read the book"
"Metanoia",2011-06-19,"i gave it an 8 overall i enjoyed this episode but felt that it seemed lackluster in comparison to baelor a number of scenes were very well done and i was impressed with the cgi dragons something that most bookreaders were probably awaiting with some trepidation however i felt that the acting fell flat in a few places and that the rosmaester pycelle scene was particularly gratuitous i really hope that dd realize by next season that these kinds of scenes are not only jarring but irrelevant timeconsuming and detrimental to a series of this caliber the fantasy genre is already fighting hard enough to be taken seriously"
"Merihathor",2011-06-19,"9 from me a very small nitpick but those werent dragons but wyvrens very disappointing to me but oh well"
"MrDoog",2011-06-19,"would give this a 910 for what it covers in the book i thought it was near perfect my only slight complaint would be as id previously feared the lifting of the riverun siege was covered in episode 9 but thats more to do with how badly episode 9 was fucked up not this one also still not warming to shae but oh well jaqen looks exactly as id pictured him quite scary brilliant episode brilliant season cant believe ill have to wait a year for the next one sadgif classbbcemoticon alt "
"Elrick",2011-06-19,"9 from me a very small nitpick but those werent dragons but wyvrens very disappointing to me but oh wellumm how can you tell they are babies"
