"nick","date","comment"
"Kat",2011-04-26,"retroactive week 1 poll in the hotlyacclaimed new series behind the nitpicking edited by bean bags 26 april 2011  0353 am"
"Daenerys",2011-05-01,"throwing out the top and bottom 5 i get an average of 78 for this episode"
"John (Snow) Doe",2011-05-02,"those of my friends who are also fans of the series agree with me an efficiently laidout opening offering as much information as possible but lacking in wow moments that both define the series and hold power to attract nonreaders i was very happy they stayed loyal to the books but i think this actually became a detriment since the opening is slowly paced and doesnt draw you in right away i was honestly reminded of how lukewarm i was on the series when i started reading  of course i eventually became a pageturning devotee but that didnt occur probably until page 250 the coldopening was extremely well done and powerful but apart from that i dont see what in this episode beyond the sheer novelty of the series would attract a nonreader audience a pilot should be a series wrapped into 1 episode that is it should offer a taste of whats in store i dont think that was done here and im concerned"
"DecoyRunner",2011-05-04,"disappointing of course they couldnt possibly match the world characters and themes of asoiaf in the first ep but even knowing that and allowing for some wobbles i found it rather underwhelming they have an excuse to get all expository in the second and third episodes but the first should have left us breathless theyre playing it a little safe imo i was not overly shocked or impressed by the daenerys scenes not that i was offended or that i disapprove im just desensitized i guess love the opening credits and theme song i love the books and have been waiting for this day for a looooong time so ill be with them till the end whenever that may be maximum dinklage airtime ftw edited by decoyrunner 04 may 2011  0844 pm"
"Talan Snow",2011-05-18,"i think the series has been brilliant my one and only complaint is that the others if that was an other that we saw in ep 1 are nothing like the description in the book"
"Buster",2011-05-28,"just finished watching winter is coming and thought that it was great a perfect start to what will be an amazing series its very faithful to the book and therefore compared to most shows it was quite slow paced and had little action since they had a lot of locations and characters to introduce it was probably a good thing especially for people that havent read the book looking forward to the rest of the series best thing about the episode peter dinklage is perfect as tyrion and somehow manages to be just as awesome as the character in the book"
"TheWhiteWolf",2011-06-07,"brilliant it got me so interested in the world of a song of fire and ice that i went out and bought all the books and read them in two weeks flat however i only gave it a 9 not a 10 because it came out during exams and seriously screwed up my revision"
"colossus the unstoppable",2011-07-04,"seeing the previews for the episode and reading about the show online is what hot me into the books this episode may not be the most interesting of the series but i will always be special to me"
"lyvyathan",2011-10-17,"i was blown away it was top notch"
"Chelly",2012-01-31,"i liked it a lot but it was definitely the slowest episode of the series it was necessary though because you are introducing the audience into a whole new world"
"Lord Bear Mormont",2012-03-01,"read all the books but have not seen the series yet cant wait until dvd are released"
"Ser Luke.",2013-02-26,"810"
"MouldyMuffin",2013-03-25,"rewatching it probably a solid 910 not a lot exactly happened but the episode drew me in big time"
"usurper0",2013-07-03,"rewatching it probably a solid 910 not a lot exactly happened but the episode drew me in big timesame here"
"KingIn7heNor7h",2013-07-04,"my favorite episode to date the introductions of the characters were incredible you get a real touch of the northrip ned stark"
"Frey-A-La-Mode",2013-07-05,"i watched the first season before reading the series and now ive read it thrice and i can tell you that i was drawn in right away mind you i have a lot of patience for these types of epic shows with a lot of characters and a lot going on but besides not getting every little detailname right away i found i could follow it pretty closely and i really dug it i loved the first scene with the otherswhite walkers i loved the introduction of the starks i loved the royal family i loved the direwolves i loved the scenes in essos i remembered posting on my facebook is it bad that merely the opening credits of game of thrones is enough to get me hooked that said i can see why people say that noobs or people who are not already predisposed to fantasycourtintrigueepics there might not have been a lot to draw people in i watched the first episode with a good friend of mine and he was pretty underwhelmed that is up until bran got thrown out the window that made him go whoa as in this show does not fuck around edited by freyalamode 05 july 2013  0707 am"
