"nick","date","comment"
"Ran",2012-04-29,"book spoiler discussion of the show goes here for those who want to discuss the episode in relation to the books and with reference to spoilers from them this topic should open automatically around the start of airing"
"Baitac",2012-04-29,"the map no new towns i dont care its just too cool"
"Baitac",2012-04-29,"im not sure about this shadow business cgi it reminded too much of the mummy"
"Fire Princess Arianne",2012-04-29,"did i see the comet in the opening sequence i havent noticed it before tonight love the new map"
"Doza",2012-04-29,"loras blames stannis a small change edited by doza 29 april 2012  0812 pm"
"Ser Hippie",2012-04-29,"brienne getting to show off some nice fighting skills too hmm and davos commanding the fleet at blackwater edited by ser hippie 29 april 2012  0818 pm"
"sharkhawk",2012-04-29,"what was the reason for the gate i mean i know what it was for in the books but why here"
"Baitac",2012-04-29,"why on earth did they take the wildfyre idea fron tyrion to give it to cersei it was one of tyrions best ideas as hand"
"Doza",2012-04-29,"i dont like davos potentially taking the fall for blackwater"
"Ser Hippie",2012-04-29,"why on earth did they take the wildfyre idea fron tyrion to give it to cersei it was one of tyrions best ideas as handit was cerseis idea in the book too initially wasnt it his was the chain edited by ser hippie 29 april 2012  0822 pm"
"sharkhawk",2012-04-29,"i like dagmar"
"Doza",2012-04-29,"yeah the wildfire was cerceis idea and then tyrion realized how useful it is"
"Spooky Scary Jurble",2012-04-29,"dagmer being a stranger to theon  why and the fist is waaay too far north this is like land of always winter north instead of the haunted forest giving bran jojens dreams bah edited by xirâ<U+0092>kirimakra 29 april 2012  0847 pm"
"Francys Targaryen",2012-04-29,"no jojen and meera wtf"
"lostinwesteros",2012-04-29,"just saw the scene where brienne pledged to catelyn  i love love love brienne in this"
"greatgeek",2012-04-29,"dagmer being a stranger to theon  why and the fist is waaay too far north this is like land of always winter north instead of the haunted forestgiving bran jojens dreams bahat least they didnt cut those too"
"lostinwesteros",2012-04-29,"dont like mormont ridiculing jon for the craster bit"
"Baitac",2012-04-29,"whoops my bad"
"RandomWanderer",2012-04-29,"why on earth did they take the wildfyre idea fron tyrion to give it to cersei it was one of tyrions best ideas as handmy thought exactly"
"prof talc",2012-04-29,"loved ayras exchange with tywin anyone can be killed wow that was awesome get that young lady an emmy and a golden globe asap"
"towerofjoy",2012-04-29,"first episode for me that flew by think it is starting to get good loved arya  anyone can be killed take that to heart tywin or perhaps to your gut would be more appropriate"
"RandomWanderer",2012-04-29,"this second season in general really isnt doing it for me i feel there is just a lot missingbeing rushed with arya then again fitting it all in 10 episodes is ridiculous to begin with the only episode i can honestly say i like so far this season is ep3"
"Bran the Bummer",2012-04-29,"loved ayras exchange with tywin anyone can be killed wow that was awesome get that young lady an emmy and a golden globe asapthis was one of my favourite moments as well and gendry without a shirt"
"LuisDantas",2012-04-29,"the pyromancer claimed that it was wyldfire that kept the targaryens in power after the dragons were gone it makes some sense was it referenced in the books"
"Pontius the Penniless",2012-04-29,"i will not be very happy if jojen and meera dont show up we already missed out on seeing the blackfish in season 1 otherwise i thought this episode was one of the best ones so far this season"
"Fez",2012-04-29,"not saying theres a causation between there being no pointless sex scenes or added scenes that dragged on forever and this being my favorite episode of the season thus far but theres definitely a correlation even though jagens occasional use of pronouns was disappointing overall he was great arya was also great as always loved her short monologue on her brother bronn getting lots of lines was a welcome move as well qarth still seems more like a cheesy 80s thing but im starting to dig it iceland truly looks beautiful i gotta visit sometime"
"ckal",2012-04-29,"this was an awesome episode definitely the best one so far just like the book it took about half way to really get going things are going to be kicked into overdrive for the last 5 eps cant wait"
"Nymphetamine",2012-04-29,"jaqen hghar was exactly how i pictured him in the books"
"Baitac",2012-04-29,"i thought it was a good transitional episode theres a new boss or bosses in town and thats the series writers theres a lot of consolidation simplification and plain old skipping of scenes and characters i still love the series although it is different from the books in some aspects they still keep the spirit of the books even if they dont follow the letter exactly"
"arya horsefaceless",2012-04-29,"arya is just awesome this season a rickon signing which was pretty funny i guess next episode will end where theon says hes going after winterfell just a great episode from start to finish it didnt fee like there was any wasted time in there"
"LauraD",2012-04-29,"loved davos showing his struggle between being stanniss right hand man and stanniss friend the bit with jorah was a poorly written scene that was made brilliant by sharp acting im really enjoying how theyre doing arya right also shirtless gendry enjoyed that too"
"House Snow",2012-04-29,"i loved the episode i think people are going to need to suck it up and accept that there are going to be changes it was a fantastic episode from start to finish also who knows maybe those two orphans will end up being j and m yes i know they gave bran his dream but you know giving bran the dreams made for good tv better than if jojen had them to be honest its too bad bran doesnt have a lot of screen time bc the kid who is playing him is near masies level"
"Lord Godric",2012-04-29,"i will not be very happy if jojen and meera dont show up we already missed out on seeing the blackfish in season 1 otherwise i thought this episode was one of the best ones so far this seasonthe reeds have not been cast but perhaps theyll show up in season 3this was a very solid episode i have no complaints and there were a lot of scenes i absolutely loved also some very solid acting from many of the actors particularly arya bran and brienne"
"tolthar",2012-04-29,"3 eyed raven"
"Ran",2012-04-29,"even though jagens occasional use of pronouns was disappointingthats from the booki think 3 is still the best episode of the season after having decided in the days after declaring 4 the best that it had some significant problems the opening to this was very deflating and it colored everything else a bit missed opportunitiesluisno thats not from the book wildfire never brought anyone anything but trouble it certainly didnt do anything for the targaryens edited by ran 29 april 2012  0917 pm"
"ckal",2012-04-29,"arya horsefaceless i think next ep will be theon taking winterfell by the look of the preview and i agree superb episode and there were no scenes that dragged or didnt have purpose just a shame we dont see much of jaime or robb this season"
"Baitac",2012-04-29,"did rickon actually have any lines or was it all sound effects"
"A Dark And Stormy Knight",2012-04-29,"thats right game of thrones thats more like it more episodes like this varys please a man is reminded how amazing this adaptation can be"
"ckal",2012-04-29,"and we got to see drogon which was awesome and ghost"
"Darth Pipes",2012-04-29,"good episode although i didnt care for some of the changes i guess king in the north means literally king in the northgo fuck yourselves riverlands renlys death in the book was much better though brienne kicking ass was pretty cool liked brans scene a lot too hey rickon youre still alive i was amused by what he was doing with the walnuts i dont mind the ticklers getting it early he disappears for so long in the book that nonreaders might not even remember when he shows up again later arya still needs to kill one of her enemies when that moment is eventaully shot though loved the scene with her and tywin and that is a fascinating dynamic although its going to be hard to justify her not telling jaqen to kill tywin liked stannisdavos liked catbrienne even more despite having to rush through that a little i think cersei did come up with the wildfire idea but it was tyrion who utilized it in a way that didnt burn down the entire freakin city more bronn a plus more edd a plus we live for another day hoorah liked seeing qhorin and im glad that they kept his line about never being called a lord before i am having a problem with this season though its hard to focus on whats going on because they can only spend a limited amount of time on each storyline season 1 handled that well but season 2 is having a problem with all the new characters and stories"
"Cheese Pudding",2012-04-29,"green dreams bran is more complete in the series than in the books lol tywin was a bit soft imo rude with his nephew but he was too nice with arya and loras not accusing brienne strange good episode though davos arya and tyrion were great"
"ckal",2012-04-29,"thats right game of thrones thats more like itmore episodes like this varys please a man is reminded how amazing this adaptation can beqft"
"I'm the Ghost in Harrenhal",2012-04-29,"loved this episode minus them changing who arya chooses as her first kill the scene with her and the tickler in the books gave me chills it was just so good i guess i can understand they dont want to make her seem psycho on the show but a girl is sad"
"Darth Pipes",2012-04-29,"forgot to mentionpyat pree was very freaky in a good way i love the look of qarth"
"House Snow",2012-04-29,"thats from the booki think 3 is still the best episode of the season after having decided in the days after declaring 4 the best that it had some significant problems the opening to this was very deflating and it colored everything else a bit missed opportunitiesluisno thats not from the book wildfire never brought anyone anything but trouble it certainly didnt do anything for the targaryenshow so bc brienne was the badass instead of loras or bc it didnt look like stannis"
"J_Crews",2012-04-29,"no jojen and meera wtfyeah i think that ship has sailed sadly i had high hopes wed see the reeds next season but now im doubting it jojen at least is now totally superfluous since theyve given his greendreams to bran maybe well still get meera but probably not her only real purpose now would be to tell the story of the knight of the laughing tree which they can have luwin do at some point over the next few weeks spoiler im now drifting toward the idea luwin survives and takes rickon so osha can go north with bran and hodor"
"The Nerdly Knight",2012-04-29,"my thought exactlybecause it was never his idea originally but cerseis tyrions idea was the great chainwith that said this was a fantastic episode especially for being a transitional one it helped to build up a lot of tension for what is coming and really has me excited for next week jacqen was great this week even if his first kill was the tickler add in great scenes with arya and davos and i really enjoyed it i do have to admit that i still dislike the fact that the reeds hadnt been cast for this season but it something to live with"
"LuisDantas",2012-04-29,"some specific comments  aryas scenes were very well done her conversations with tywin and jaqen flowed real nicely tywins cunning kept being shown  it is a shame that apparently we will have no sign of ramsay this season and apparently no jojen or meera for a long time if at all still time constraints i guess it couldnt be helped  nice to see that they are allowing no ambiguity about stannis knowledge and moral flaws  renly and catelyn seemed to have a better understanding than in the books again i like it it sort of emphasizes the depth of loss that renlys death caused  dargens relationship to theon and loras recognizing that brienne did not kill renly were significant changes but maybe not so much so in the long run same with qhorin learning of jon snow on the fly but maybe it was for the better as well  theon had some killer scenes his fight for acceptance and respect really showed through as did his actual competence no one ever gives him nearly enough credit which only shows how stern the guy actually is all in all a very good episode albeit one that dares to make significant changes in order to improve on clarity in some respects it is even better than the books"
