"nick","date","comment"
"Kat",2011-04-29,"selfexplanatory use your own scale values as you wish previous polls can be found in their respective episode forums please dont vote until after youve seen the episode edited by kat 01 may 2011  0507 pm"
"Lord Godric",2011-05-01,"i gave it an 8 i think i was expecting it to be a little better since they finally got to kings landing so i was slightly disappointed but still very very good"
"Starkess",2011-05-01,"it was okay i thought it was the weakest yet had really great individual scenes but didnt feel like anything happened"
"Zulithe",2011-05-01,"i thought it was about onpar with last weeks episode there were some great character moments just not a lot of progression totally dug it though next weeks episode looks a little shall i say chunkier"
"awesome possum",2011-05-01,"8 the plot was stagnant as the episode focused on characters but i dont have a problem with it it was entertaining and i understand the need to establish the characters further especially with the addition of several others i really liked roberts scene and syrio forel was perfect"
"Jojen",2011-05-01,"id give it a 7 even though there wasnt much plot progression there was a nice degree of character development and more great subtle expressions from sean bean especially while watching syrio and arya"
"Ran",2011-05-01,"tough one for me id say 758 but as i tend to have a tendency to round up in favor the show i decided this time id just put it as a 7 ive more detailed thoughts plus some notes about changes an added scenes here"
"Recentiy03",2011-05-01,"tonights episode was awesomeeasily my favorite of the season the show keeps getting better as they introduce more characters their writers are really goodthe dialogue is fresh but theyre keeping it interesting with a lot of subtle references to events for people whove read the books i loved the jaimened scene in front of the iron throne it was the best of the episode if not the seasonbut the robertlanceljaimeselmy scene was epicthe old nan scene was greatreally the only scene that was a bit off a letdown was the last scene with syrio but the fading shot of ned redeemed it the first few episodes were good but they showed their teeth tonight with a bit of grit edited by recentiy03 01 may 2011  1012 pm"
"tybeechris",2011-05-01,"i thought it was great they moved the plot along but also managed to work in enough of the background history that had been lacking and lay the groundwork for future actions by the main characters i really liked the jamie scenes he aint no angel but sure does seem like a lot of people like ned and robert were more than willing to profit from his dirty work the hour goes by way too fast"
"Wolfheart",2011-05-01,"i would give it a 7 because of the lack of the direwolves but i gave it a 8 because the acting was just great wheres ghost and summer heck even greywind"
"Brude",2011-05-01,"for me this was the best episode yet and i thought last weeks was better than the first i gave it an 910 i was very impressed with all of the new scenes mainly cersei with joff and best of all robert with his two knights those worked really well as did syrios scene with arya edited by brude 01 may 2011  1103 pm"
"Xenophon",2011-05-01,"gave it an 8 to me it was about the same as episode 2 episode 1 still had the most drama and felt most like a ministory but these were more engrossing and had better character development and they didnt have the ghastly dothraki wedding or softcore porn feel which were minuses in my book so im at 788 for the season id be interesting in knowing how other people ranked the other episodes too"
"Carldog",2011-05-01,"65 rounded up to 7 on the thread this episode seemed a bit clustered with a lot of back and forth but also had some great character scenes not as good as last week but like a ive stated before its great to see agot on my tv screen ill take what i can get"
"Carldog",2011-05-01,"65 rounded up to 7 on the thread this episode seemed a bit clustered with a lot of back and forth but also had some great character scenes not as good as last week but like a ive stated before its great to see agot on my tv screen ill take what i can get"
"Timbits",2011-05-01,"the first two episodes were very fast pace there was a great deal of action and sex which resulted in a lack of character development this episode however blew me away by how good it was finally it is focusing on characters and storyline they are having conversations instead of just spitting out important lines from the books the dialog seems more natural and the acting was stronger great performances from tyrion jon cersei and arya i feel like they bring something to their character like their own point of view of them and its extremely interesting to watch edited by timbits 01 may 2011  1154 pm"
"emmank",2011-05-01,"it seems like this one deviated the most from the books lots of added scenes but i also think it was my favorite so far it felt as if they spent a little longer focusing on each character and i think i like that approach maybe the scenes themselves were just more meaningful i dont know im not a tv critic but i liked it"
"Seerow",2011-05-01,"i gave it a 9 compared to the 7s i gave the last two episodes this one i felt is the best ive seen so far after the blistering pace of the last couple of episodes it was nice to have an episode where things toned back and we finally got some of the exposition and character development that had been missing for new comers to the show i like how they managed to hit most of the key plot points even if a few characters were changed around and scenes were changed to do it within the bounds of the show basically with this episode i felt like i got everything i would have wanted out of it where the last two definitely felt more rushed to me the one thing that did bug me was we didnt see a confrontation between ned and robert but i guess thats coming edited by seerow 02 may 2011  1200 am"
"Hazl",2011-05-02,"my favorite so far loved the nedjaime robertbarristanjaime cerseijoffrey aryasyrio tyrionyorenbenjen and daenerysviserysjorah scenes loved just about everything the episode furthest removed from the book so far but nothing of the new stuff felt misplaced at all favorite moments tyrion casually pissing off the wall dothraki rider saying you walk and well syrio"
"Daenerys",2011-05-02,"wow still really missing those direwolves but i have to round his one up to a 9 its my favorite episode so far and each has been better than the previous a great trend epi 12 were pretty good but this is the first one that really started feeling epic to me and not rushed it also the first one where i didnt feel cheated like it was too short a fully satisfying hour with a lot of meat to chew on wasnt liking daenerys and the whole dothraki storyline previously but its finally starting to feel important and interesting instead of like a tackedon side plot on a budget dany and jorah were great as was seeing viserys get his neck wrapped with a dothraki whip still have no idea why she was wandering aimlessly in the trees but it was well done firmly showing who now holds the power to viserys littlefinger and varys were pitch perfect and tyrion jaime ned and robert continue to impress i even liked the scene wih cersei and joffrey although i dont know that it was strictly necessary the only minus is sansa granted she hasnt had a chance to show much yet but she feels a bit hollow i still dont like the palm tree exterior of kings landing but the throne room looked better than i expected it to loved the top of the wall and castle black looked exactly how i pictured it a dingy outpost at the edge of the world where the wind and snow whistle through cracked doors and walls and the scene wih arya and syriowow best scene yet in the whole series imo i was blown away by it syrios accent seemed a little odd at first but he was mysterious and funny and just generally awesome and i loved neds reaction at the end no shes not going to be marrying a prince and having babies anytime soon ned if every episode is like this ill be very very happy"
"Arrogant Bastard",2011-05-02,"id rate it at about 710 lots of great individual scenes but as a whole the episode felt kinda cramped i liked most of the new scenes especially tyrions discussion with yoren and benjen and also ser jorah and rakharo however other parts felt a little rushed the whole part with littlefinger cat ned and the dagger i thought moved too quickly and might have benefitted if put later in the episode rather than near the beginning also jon snows attitude changenear the end hes helping grenn adn pypalso seemed to happen too fast i wish they had kept more of the dialogue from donal noye that tyrion usesit felt a little rushed and it didnt seem like jon took any of his words to heart the parts with arya were great both the water dancing and her interaction with ned about needle im glad they mentioned mycah several times in the episode and didnt just disregard his death since it happened in teh last episode so overall it was solid with a lot of great scenes but kind of disjointed in areas i do think this episode will probably be confusing for nonreaders with all the backstory introduced"
"John (Snow) Doe",2011-05-02,"4 this episode was an actionless onslaught of twoperson extended dialogue scenes although a lot of important plot points were advanced and characters introduced there wasnt a lot of creativity with the directing or anything to keep you engaged beyond the topic at hand i respect that theyre trying to stay close to the book but a smart directorproducer would have the characters actually doing something whilst conversing the highlight was the syrio scene it was a great scene because he and arya were doing something besides talking to one another this episode gives a lot of ammunition to critics who pan that the show is just an unfolding of superfluous exposition after how awesome last weeks episode was i can say i was honestly disappointed with this episode and felt as close to bored as i have been thus far"
"Renly Baratheon",2011-05-02,"i gave it an 8 with the two previous episodes getting 7s no action yes but oodles of character developmentwe know more of jamie tyrion arya dany and drogo and are now more invested in them that gives things that happen later more emotional impact syrioarya was just awesome and i felt the emotional impact of the parting of ned and cat knowing it was the last time they would see each other"
"reiver",2011-05-02,"best yet imo i may not have liked a lot of the deviations from the book but there were some excellent scenes that were allowed to last longer than previously and even back to back scenes involvng the same character less of the skipping around between stories made the show feel more settled and less like a sugar high kid with a remote"
"Kaitscralt",2011-05-02,"7 despite it being my favorite episode so far it deviates the most from the books but i love the added scenes and left me wondering why little things were not mentioned or clarified mostly peoples names i want nonreaders to love this show so we get more seasons and this episode seemed confusing edited by kaitscralt 02 may 2011  0809 am"
"Tywin",2011-05-02,"implied miniscule light spoilers here watch outgood episode but the scene with viserys was the weak point for me joffreys actor redeemed himself for me in the scene with cersei thoughfor some reason harry lloyd just doesnt cut it for me as viserys i dont see how daenerys could have been terrified of the guy all this time fair enough i as the audience dont have to find him frightening but it seemed like a key moment to really push the whole thing of dany coming into her own fair enough theres the preconversation with mormont to provide a sense of this but in the book it shows that dany pushes viserys away when he shouts at heri think the scene could have been cut better more close ups on viserys face or something and better intonation in lloyds lines  hes meant to be mad but his anger seems laughable as is he seems like a pantomine baddy when he should in my eyes provide more solid basis for audiences to understand what dany has graduated from he was alright in the first episode grantedthe council scene where ned is being told how much money the treasury is in debt iffy lines came out a bit too quickly between ned and littlefinger small issue thoughdany seems to just accept her pregnancy like oh i am pregnant oh well thats life eh and she seems to have gotten friendly with drogo a bit too easily for my likingbran in my mind could have been made to look more sick and frail perhaps some makeup to make him look pale sweaty etc  on the edge of death the lack of dream exposition for the character may weaken his impact in the story in my view  since hes a very mystical character later onrest of the episode was good i think kit is a good fit jon snowbest bitssyrioarya sparring syrios actor is spot on in terms of his mannerisms and way of speaking though in my mind hes a slap headtyrion banter is always good i chuckled when we saw him pissing off the edge of the world6510editi rewatched the scene with viserys in again i think maybe i have been a bit unkind to harry lloyd though i still think it could have been shot better at least after ned choked littlefinger a bit we got littlefingers quiet little retort as he straightened himself upi think some kind of close up on viserys face to show the growing impatience hes being made to suppress would have been appropriate  as a sort of equivalent it would certainly make whats coming have more impact edited by tywin 02 may 2011  0949 am"
"Abaddon",2011-05-02,"i gave it a 6 for comparison i gave 1 an 8 and 2 a 9 might be a little overharsh and i might adjust it upwards one on rewatch but it just didnt do it for me this week i should add i liked the dothraki arc for the first time and i liked the wall despite some nice high points the kings landing stuff just felt disjointed and off although without watching it again i cant really say why"
"Tywin's bastard",2011-05-02,"i liked that the lowered the pace as that was needed after the high pacing of the first two now they instead focus on letting the characters sink in plus establish the wall and kings landing more character focused and less focused on driving on the plot is very much in line with a lot of passages in the books then again im usually a person who just sighs at people who say nothing happened i liked this as much as the other two but for a bit different reasons"
"KhalHodor",2011-05-02,"i have to vote 4 love the series so far so many great actors in great roles jaime arya ned jon viserys tyrion cersei joffreyrobert and bran are pitchperfect and a joy to watch these people really know their characters im thoroughly impressed enter renly varys and littlefinger what happened these guys are zombies phoning it in all the way whos decision was it to have renly and yoren switch personalities the small council scene was painful to watch i was embarrassed for the actors these three characters add tremendous flavor and interest to the books what a shame they are not given the same treatment in the series a true disappointment i am praying that this is fixedespecially littlefinger kh"
"Greywolf2375",2011-05-02,"i liked it a lot  gave it an 8 i liked that fact that there wasnt action  this was one of the crossroad episodes that gets everyone in place and creates the foundation of what is to happen my biggest complaint to this point has been the inconsistent iding of people in various scenes"
"TheEvilKing",2011-05-02,"loved it from start to finish best episode yet by a mile 10"
"Kaitscralt",2011-05-02,"i have to vote 4love the series so far so many great actors in great roles jaime arya ned jon viserys tyrion cersei joffreyrobert and bran are pitchperfect and a joy to watch these people really know their characters im thoroughly impressedenter renly varys and littlefinger what happened these guys are zombies phoning it in all the way whos decision was it to have renly and yoren switch personalities the small council scene was painful to watch i was embarrassed for the actorsthese three characters add tremendous flavor and interest to the books what a shame they are not given the same treatment in the seriesa true disappointment i am praying that this is fixedespecially littlefingerkhi agree that the small council was pretty painful littlefinger and eddards dialogue about the tournament funds seemed very very forced but i have a ton of faith that the littlefinger actor name escapes me currently has what it takes especially after seeing him later in the episodei like renly and varys casting though and i am sure renly will get more time to shine"
"Songlian",2011-05-02,"sticking with 7 for this one as well i thought it was a mixture of great scenes and not so great scenes i generally tend to agree with what ran wrote in his analysis"
"Fantasma",2011-05-02,"to me it was clearly the best of the season so far great acting by some of the most important characters im gonna give it 910"
"Davieboy",2011-05-02,"i vote 7 wasnt totally happy with the first few minutes did not think the introduction to the council worked well no sense of renlys character for a start littlefinger had chances to shine later didnt much care for the cerseijoffrey scene but jaime is spoton for me liked all the talk of the old king and his crazy doings and the mention of ser simon toyne was a real bonus thought the goodbye scene between cat  ned worked well very poignant arya is just a total delight for me as are jon tyrion robert sir barristan benjen joren the dothraki scenes worked well in this ep  less time on screen but quality time slightly disappointed by the old bear was this raven around but he hasnt had much time yet jorah is flying the family flag higher for now syrio  perfecto and jons ascent of the wall was pretty epic of course every ep gets a 10 by any other standard but so far its 997 difficult to drag myself back into reality at the end of the episode why cant it just keep going"
"Maltaran",2011-05-02,"i gave it a 9 but there seemed to me to be a lot of stuff which would fly over the heads of nonreaders  i could watch it and say yes its that bit and oh we saw that scene in jaimes memory in sos and they mentioned dunk but nonreaders could well be confused"
"Kalbear",2011-05-02,"i gave it a 7 while i dearly loved aryas scenes  and there were some of her very best  the show itself felt really disjointed and oddly edited to the point where it distracted me why is dany getting off a horse why is robert sitting in some random room talking to kingsguard and just hanging out we need to spend a minute looking at jon walk through the castle black to get toan elevator so much exposition not enough dialogue i liked what they were trying to do  the warstory as exposition and backstory is really awesome in that it captures the feel keeps the budget down and gives us the always good unreliable narrator but in this case it felt so out of place why are we just hanging out with selmy and jaime why is robert even in this room guh so many good things  arya arya arya cersei and joff jaimes war jaime and ned and neds brilliant summation of jaime serving when service was safe but a lot was just so oddly blocked that it didnt hit as well as the prior ep did"
"Tywin's bastard",2011-05-02,"i liked what they were trying to do  the warstory as exposition and backstory is really awesome in that it captures the feel keeps the budget down and gives us the always good unreliable narrator but in this case it felt so out of place why are we just hanging out with selmy and jaime why is robert even in this room guhwhats odd with him being in his bedchamber seems like the most natural place to get away from everything save leaving the castle short way to the bed when youve gotten too drunk as well"
