"nick","date","comment"
"Xray the Enforcer",2011-06-07,"continue the discussion remember keep it civil and classy"
"Xxtayce",2011-06-07,"episode was awesome not one moment of useless dialogue or random sex just for the sake of ratings pure grrm the way its supposed to be fencinggif classbbcemoticon altfencing  aryasyrio  very well done it made my heart break just as much as when i read it rob the battle lord  growing into a man i was very happy to see the change the fight with the greatjohn seemed a little off or maybe it was his reaction to it but thats a minor complaint rickon  im sure most of the folks at home were like who the heck is that i wouldve liked to see much more of him earlier on so he wasnt just a random throwin oshabran  i can see the relationship growing very wellplayed cerseijoffrey  seems like shes taking a more obvious hand in the series than she did in the books wasnt it joff who kicked out selmy instead of her still he gave me a squee of pride to see him throw off his cloak and sword cerseisansa  evilevil evil sansa seemed more aware of what she was doing here than in the books though less of a mindless idiot and cersei more of an evil witch i like the change its like now that her sons in powerwe get to see the real cersei that was hiding behind robert all these years sansasandor  just enough of a hint to be perfect varysned  oh poor ned so doomed im glad they included this scene although i was expecting them to drop it out in favor of some random nudity tyrion  ah my giant of lannister is it just meor does he seem more afraid here than he did in writing he seemed to me to be constantly mocking everyone around him in the books no less cowardly but certainly more interesting to watch id think danaerysdrogo  i love watching her character transformation here still a little naieve but still a queen and mirri maaz dur sp gave just enough creepy foreboding to keep me happy anyway only two more to go and so much left to do"
"Xxtayce",2011-06-07,"ps yay wolves i totally forgot this was in this episode loved seeing grey wind under the table and then to jump out at robs command ghost was a little loud and wasnt really in the fight as much as id hoped but theres only so much you can do with trained wild animals and actors i suppose i approve of the way it was done though the white walker didnt seem nearly as white eyes nearly as blue or nearly as creepy as it was in the beginning"
"So1ar",2011-06-07,"when all the ravens left winterfell at once i pictured luwin opening the cage for one raven and then they all flew out with him thinkingfuck me"
"arantius",2011-06-07,"absolutely loved this episode best one yet so many awesome scenes with dialogue straight out of the bookreally loved the bit where bran tells rickon that robbs gone to free father and then theyll come home with mother and rickon says no they wont so much eery foreshadowing in those few wordsedit for accuracy edited by morningsword 07 june 2011  0813 am"
"valacirca",2011-06-07,"and mirri maaz dur sp gave just enough creepy foreboding to keep me happyi love how its not obvious in the show what mirri maaz dur has in store for drogo biggringif classbbcemoticon altd "
"NW Deserter",2011-06-07,"forgot to mention something in my earlier postreview i know we dont talk about the music in this series much but i feel this is worth mentioning  when robb first gets sansas letter and luwin is explaining what it means theres really slow piece of music in the back that almost screams this dude is about to go kick some ass and it starts to swell as the birds fly out and then hits a peak as the scene shifts to catelyn running up the stairs to lysa gave me chills even on my second viewing i think what makes it even better is the crafty editing most of the first half of the episode is dealing with immediate aftermath of neds imprisonment so we see each of his family members in turn  and we end on the one who loves him most dearly cat one of those little pieces of brilliance imo especially with the music there"
"Ser Warpechowski",2011-06-07,"what kind of a shit scout are you if you actually count the enemys forces with your fingers in the air one that gets caughtalso the guards said he looked to be counting maybe he was writing numbers down and the guards didnt knew how to read edited by ser warpechowski 07 june 2011  0812 am"
"legba11",2011-06-07,"stannis is a much more significant character than craster who will be in two or three episodes or quorin halfhand who will be the secondary character in the episodes he gets stannis would be perfect for a big namer again i dont expect an a lister its not hbos method he is very significant he is the rightful king now no one else could argue that point i dont think the targaryns pass the throne to women he is a heroic yet tragicly flawed character the type of role great actors win awards for and he is not going to be on screen the most for season 2 clearly this will be tyrion a larger role in season 3 im not sure who will have the most screen time there his role will be larger in the series than the books as the povs are gone not being the main character makes the time demands much less which helps a busy actor the actors who play the leads of the various books are fully committed time wise they cannot work for those 3 months of filming movies and tv series frequently work around the schedule of bigger name actors"
"LugaJetboyGirl-irra",2011-06-07,"i just want to point how much i think the actor who plays alliser thorne is nailing his part its like what everyone says about joffery how he has a douchey face and you just hate even seeing him every time thorne comes on screen he has that look on his face such as when he called jon a traitors bastard and then did that ever so simple little smirk the thorne smirk of superciliousness i just want to punch him in the fucking face alll thorne has to do is look and i want to claw his fucking eyes out arrrggghhhhhhits brilliant edited by jetboygirl 07 june 2011  0838 am"
"malek",2011-06-07,"loved this episode thumbsupgif classbbcemoticon altthumbsup  some well known lines from the book were used and it is certainly a huge plus for it but looking back now bronn commenting how he could get the vale if he had dozen good man to command and some climbing spikes and tyrion promising mountain clans the vale of arryn considering they kept it in the series perhaps bronn wont stop at stockworth"
"jsl101669",2011-06-07,"probably been touched on in this thread or rather the previous onebut no time to read it all through what about lyanna  neds dreams of her i understand the time constraints but there are some scenes that could have been cut to add that in she is a pretty important stark figure even though she is never around and pretty key to neds character all in all a solid episode but i think this was an episode where the squeezed in a bit too much in order to ramp up to the final two hours i really hope next season gets 12 episodes i also wonder and hope if there will be extended editions of each episode on the bluraydvd"
"Ser Warpechowski",2011-06-07,"i just want to point how much i think the actor who plays alliser thorne is nailing his part its like what everyone says about joffery how he has a douchey face and you just hate even seeing him every time thorne comes on screen he has that look on his face such as when he called jon a traitors bastard and then did that ever so simple little smirk the thorne smirk of superciliousness i just want to punch him in the fucking face alll thorne has to do is look and i want to claw his fucking eyes out arrrggghhhhhhits brilliantlol yeah definitaly win here"
"The Warmth of Winter",2011-06-07,"one that gets caughtalso the guards said he looked to be counting maybe he was writing numbers down and the guards didnt knew how to readhmm i guess the lannisters seem to be cursed with having really bad scouts in general maybe the guards figured it out when they saw him counting with the help of the eyes from previous scouts you know like an abacus one tent thats one eyeball two tents thats two eyeballs shit im running out of eyeballs at this rate have to use me fingers now edited by the warmth of winter 07 june 2011  0857 am"
"legba11",2011-06-07,"i just want to point how much i think the actor who plays alliser thorne is nailing his part its like what everyone says about joffery how he has a douchey face and you just hate even seeing him every time thorne comes on screen he has that look on his face such as when he called jon a traitors bastard and then did that ever so simple little smirk the thorne smirk of superciliousness i just want to punch him in the fucking face alll thorne has to do is look and i want to claw his fucking eyes out arrrggghhhhhhits brilliantwe call him the irish gene hackman all he needs is a little chuckle when other characters are speaking"
