"nick","date","comment"
"Ran",2011-05-22,"rate the episode after it airs and let us know what you think about it"
"Kaitscralt",2011-05-22,"my first ten so far favorite episode yet the theonroz scene felt unnecessary but it was so short that it didnt matter my only minor complaint is how sansa was ridiculously mean to septa mordane and asked questions she should likely know the answer to if she was raised by the woman all her life but i guess the south attitude and being betrothed to a prince is making her cocky"
"Noir Dove",2011-05-22,"i will have to do a rewatch but monday morning employment prevents me from doing so this evening so these musings are first impressions one shots i thought it was for lack of a better word awesomesauce ned had me pulling at my hair and tugging at my heartstrings tyrion was badass as usual see my avatar was really pleased with that whole scene at the eyrie but the events in vaes dothrak stole this week for me dany was just splendid she is becoming so strong and creepy all at the same time i loooove it i would go into more detail but i dont want to spoil anyone the one bug i had about this was the fact that we didnt venture to the wall i understand why this ep was already jam packed but i stilled missed it based on the previews i am certain we will see more of jon sam and the others next week i am not an hbogo lady solid 9 for me bravo"
"tybeechris",2011-05-22,"my first 10 no wasted time i could go on and on but i am sure everyone else will flew by great set ups for everyone renly mormont daenerys tyrion roz guess she will morph into tyrion whore to consolidate characters a little bit of a house tv moment when ned figures it all out from his kids but omg omg omg"
"Kaitscralt",2011-05-22,"my first 10 no wasted time i could go on and on but i am sure everyone else will flew by great set ups for everyone renly mormont daenerys tyrion roz guess she will morph into tyrion whore to consolidate characters a little bit of a house tv moment when ned figures it all out from his kids but omg omg omgshae has been casted"
"Lord Godric",2011-05-22,"a solid 9 not as good as last weeks imo but still very good"
"House Snow",2011-05-22,"10 this is also the first episode where none of the scenes went unecessarily long"
"Bowl o' Brown",2011-05-22,"liked the episode but the hunting scene featuring big rob renly ser barristan and lancel walking in the woods was just ridiculous even if he isnt gone for days weeks like in the book i have a hard time believing robert would walk anywhere for any decent length of time hed be sucking air before he found anything to stick his lance into and how long will that tiny wineskin last would it really have been so hard to at least put them on horses or at least start them off near some horses or a small camp and walk into the bush apparently it was so what we get is 4 guys walking through the forest in their court clothes not hunting i get that he doesnt have 20 people following him everywhere when he is in the red keep but when he leaves the castle he needs an entourage id admit its a petty complaint if it wasnt done so well in a previous episode ep2 when robert and ned took a break while on the kingsroad to sit eat and shoot the shit they had a much larger and much more believable entourage thats about as much privacy a king gets when outside of his castlekeep that scene needed some horses some banners a few servants hauling camp gearsupplies a kennel master and some barking dogs to flush out the boars yeah that one scene just went up in price significantly i know dont look at me like that they are the ones who set the bar in episode 2 not me ill give them a pass on the wildling encounter where a bit more entourage would have been nice to see also as i expected summer and grey wind were noshows i get it its hard to get animals to do passable fight choreography ill let others complain about it as theyve been doing since the start of the show aside from that i liked the episode episode 5 was still better imo edited by bowl o brown 22 may 2011  1012 pm"
"Kaitscralt",2011-05-22,"maybe they were in a small section of forest surrounded by roberts men and he had a kg member at his side while he went inside to hunt didnt bother me at all hard to kill a boar with a circus around you"
"Bowl o' Brown",2011-05-22,"robert doesnt actually hunt he is just there to kill something robert stays on horse drinking and complaining while the hunters they brought along find the boars den hole in the ground and flush them out with dogs the king only shows up to kill it when they have one cornered thats what i remember reading at least edited by bowl o brown 22 may 2011  1023 pm"
"AquariumDrinker",2011-05-22,"liked the episode but the hunting scene featuring big rob renly ser barristan and lancel walking in the woods was just ridiculous even if he isnt gone for days weeks like in the book i have a hard time believing robert would walk anywhere for any decent length of time hed be sucking air before he found anything to stick his lance into and how long will that tiny wineskin last would it really have been so hard to at least put them on horses or at least start them off near some horses or a small camp and walk into the bush apparently it was so what we get is 4 guys walking through the forest in their court clothes not huntingagree about the hunt but this was definitely my favorite episode so far"
"tybeechris",2011-05-22,"shae has been castedokay maybe chataya or alayaya saves introducing new character and also tyrion already knows and probably trusts ros"
"Lord Godric",2011-05-23,"okay maybe chataya or alayaya saves introducing new character and also tyrion already knows and probably trusts rosthat is what i am thinking now too there is no other logical explanation to have her meet tyrion previously and then go to kings landing"
"Mr Bean",2011-05-23,"an eight any episode without dire wolves receives an automatic one point deduction if the direwolfs played a pivotal role in the scene and this week there were two wildings which could have been eaten by dire wolves but were not there lack was missed because we got to saw one eat one already half a point point deduction was for ros because that entire episode was very why is this here the other half a point lost because theon and rob once again have a heart to heart but act like assholes to each other not the good friends as described considering how theon is treated in the show to date i dont know why hes fallen into the stark lacky role it makes no sense when everyone treats him like shit every other episode felt required needed or was just awesome could have used a little more mord but what i got was excellent"
"Daenerys",2011-05-23,"8 didnt like the hunt scene every scene sansa is in still sucks ros as good as she is is getting way too much screen time and againno direwolves but viserys coronation and the bronnegan battle were even more awesome than how i pictured it in the book everything else was pretty good to great"
"Carldog",2011-05-23,"liked it i think an eight is in place the lack of d wolves is hurting the show greatly but thats not to say its not moving in the right direction"
"emmank",2011-05-23,"wow that last scene was done so perfectly i gave it a 9 i think it was one of the best if not the best ive seen so far"
"arrowfan",2011-05-23,"great ep gave it a 9 one of the best so far tyrion is just nailing it was a good ned ep too oh and really enjoyed theon actually my badass award goes to him for bullseyeing the wildling this was also the first ep besides the pilot where i really enjoyed the dany scenes that closing scene with viserys getting his golden crown was tense and well done"
"ZornKrieger",2011-05-23,"it got a nine the moment viserys golden crown clanked to the ground awesome"
"Ghost Cat",2011-05-23,"i loved it i didnt mind the missing direwolves as the scene ran well without them also any episode with syrio is a win there was no wasted time or scenes where i was left scratching my head ok roz  theon but as someone already said it was short im not completely pleased with the series relationship between rob  theon my understanding from the books was that they were friends and that rob trusted theon else wise why would he send him where he did later my take was that theon was treated fairly and equally with the trueborn stark children thats a minor criticism and it didnt decrease the value of the episode for me the high points were so high im going to miss harry lloyd but that ending was excellent edited by ghost cat 23 may 2011  0439 am"
"Loras",2011-05-23,"810 i enjoyed this episode but it didnt quite have the magic of last weeks installment the highpoints for me this episode were in the danaerys storyline while i still think emilia clarke needs to grow into the role she had some excellent moments tonight my favourite scene was the horse heart scene beautifully realised harry lloyd also did a wonderful job with viserys final episode i am going to miss him but i am ready for the change of focus in danys story as we amp up towards the finale one thing that bugged me with this episode was the lighting  in the hunting scene and the sansajoff scene particularly"
"Popgun",2011-05-23,"910 i liked last weeks episode slightly better but this week was almost as good i loved the part where ned denounced sir gregor and ordered tywin lannister to kings landing plus the crowning at the end was great was surprisedthey didnt include loras offering ned to hunt down gregor for him whouldve tied in well with the bj scene of last week where loras was plotting away with renly"
"John (Snow) Doe",2011-05-23,"9 a welcome balance of dialogue and action and within the dialogue both exposition and plot advancement im really enjoying how the winterfell scenes focus more on theon  i find him generally more interesting than robb and i think theyve cast him perfectly the dany storylines are gaining some welcome momentum thanks to clever directing  they no longer feel like a needless sideplot mad props on using the title of the episode to allude to both neds revelation of roberts heirs and viserys ultimate fate best episode yet imo"
"reiver",2011-05-23,"i loved the episode but there were a few things missing that would have made it even better i understand the lack of the wolves in the fight for purposes of getting the dogs to behave but they could still have had them tearing at the corpses or finishing off a downed man as he tried to rise surely getting a dog to eat sausages dressed to look like intestines isnt beyond the dog wranglers and if it is then hire better ones it would have made the scene bloodier and more horrific and would have kept the wolves there as characters at the moment id be suprised if many viewers even remember them robb and theon was again a bit too much we get that theon isnt a stark we get that he resents his position but theyre overegging the pudding to the extent that theons betrayal is an inevitability it was quite shocking in the books and im sad how much of that they will have lost in trying to justify and explain it early i loved the fight in the eyrie and liked that they managed to tell a lot of the story visually id have liked the contrast in armour to have been a bit more pronounced bronns was spot on but ser vardis looked too lightly armoured for the contrast i suppose thats very much a book geek quibble and something that wont even flit across the mind of a viewer but its something that i feel would have added to the scene without any effort my favourite so far i gave it a 9"
"TheEvilKing",2011-05-23,"definitely 10 for me so many holy shit moments even though i already knew what would happen the targaryens owned this one"
"The Anti-Targ",2011-05-23,"yeah the minute or so spent with roz and theon could have been better spent on actual events of the story osha came of as rather gollumish we swears to serve the master if you spares us our life the scene as a whole was ok but i was looking to see a direwolf there i really hope we see a bit more of the dire wolves golden crown was golden seeing the heart eating was great showing aryas needle prowess even while distracted with her troubles marvellous just one more scene with syrio i fear gosh such a pity would have loved to see some more dancing lessons good opening scene no doubt second watch will be even better 8 from me"
"thistlepong",2011-05-23,"i liked this one it had some flaws and im missing the direwolves because i know theyre supposed to be there and not going to be but they laid off the scenes that were nothing but exposition masked by sex or violence and allowed the story to tell itself 9"
"Zezibesh",2011-05-23,"ive been pretty conservative with the numbers so far but this was definitely an 8 brilliant episode they just keep improving edited by zezibesh 23 may 2011  0754 am"
