"nick","date","comment"
"Ran",2011-05-29,"whatd you think folks poll opens right after the airing concludes"
"RAddichio",2011-05-29,"i gave ep 7 a 9notice most people so far gave it an 8 im not usually easy to please so wonder why an 8 for tonight episode plenty of time at the wall which made the man watching with me very happy  those are his fav scenes lord baelish was brilliantly sinister as always and managed to surprise in the last few frames even though i knew what to expect from him the actor is simply brilliant in that rolefits him like a glove as drogo gave his dothraki campaign speech we uttered vote for me rolleyes2gif classbbcemoticon altrolleyes "
"MusaYo",2011-05-29,"i gave it a 9 also i liked it more than the previous episode i thought it kept the tension of what was happening and about to happen and loved the scene between ned and robert at the end i will miss mark addy i thought drogos scene was very well done and appreciate momoas effort to learn dothraki so that it sounds totally believable"
"NW Deserter",2011-05-29,"lord baelish was brilliantly sinister as always and managed to surprise in the last few frames even though i knew what to expect from him the actor is simply brilliant in that rolefits him like a glove as drogo gave his dothraki campaign speech we uttered vote for me rolleyes2gif classbbcemoticon altrolleyes my opinions are the oppositei absolutely loved drogo in this episode but am dislike aiden gillen more and more with every episode littlefinger is probably the biggest disappointment of the series for me hes just flat and uninspiredi gave this episode a 75 leaning towards 7 though i thought it was one of the weaker episodes so far i actually gave 5 and 6 both 1010 there were some high points for me such as jaimetywin drogo being a badass jorah and dany and hearing the nw oathbut everything else with average or a bit below the standards this series has set for itself roberts death in particular was way too emotioneless and the roswhore b scene with lf was just dumb i did appreciate oshas scene with luwin and theon though"
"CelticCail",2011-05-29,"6 my lowest score yet"
"Popgun",2011-05-29,"1010 best episode to date for me nights watch vows and drogos speech were particular highlights"
"Starkess",2011-05-29,"gave it an 8 would have been a 9 if not for the awful lfporn scene"
"ExLibris",2011-05-29,"i give it a 6the worst episode to date the porn scene was really off putting and drawn out to the extremei dont mind throwing in some sex and nudity but 5 minutes of pretty hardcore girl on girl sex is way over the top not to mention it totally overshadowed the importance of what littlefinger was saying tywin is a disappointment in his first appearance and roberts death was poorly done in my opinion i dont think ned even shed a tear or gave any indication that he was incredibly upset at the passing of his best friend thankfully the episode ended on an upswing as the final throne room scene was done well i also enjoyed the dothraki scenes for once and i think khal drogo finally stepped up and gave an excellent performance all in all i hope the next episode is better and that the hardcore porn doesnt reappear"
"Noir Dove",2011-05-29,"people seem to be pretty split i for one loved it the lf porn scene was most likely done for the sex bit but i could see past it lf was talking and the actions of the girls was mirroring what he was doing to the realm something fake that seems good but dont get me wrong i totally understand why some would find it off putting and distracting im just not one of them sooo happy jon is back i love that man sam is brilliant drogo was simply awesome you could see how much anger he felt and the almost hysteric sound of his voice it was just awesome wish theyd put episode 8 up early biggringif classbbcemoticon altd "
"Bronn Stone",2011-05-30,"gave it an 8 would have been a 9 if not for the awful lfporn scenethat scene took it from an 11 to a 10 in my book i thought it was otherwise just about perfect"
