"nick","date","comment"
"Ran",2013-04-21,"whatd you think"
"Tewks44",2013-04-21,"ever since i read the scene with dany taking astapor ive been waiting to see it i was not disappointed"
"Lord Godric",2013-04-21,"i dont give out tens very often but damn that was good it had many great scenes and then that final dany scene was fantastic"
"Stallion That Mounts Texas",2013-04-21,"i gave it a 9 this episode is all about the ladiesdany marg and the queen of thornes varys getting the wizard who cut himi dont know about that one scheming to marry sansa to loras many changes but i loved it"
"Tom son of Tom",2013-04-21,"810 dracarys was only half as epic as i expected but it was still pretty awesome"
"Lany Cassandra",2013-04-21,"that was a great episode the dany scene was everything i hoped it would be"
"libertine",2013-04-21,"ever since i read the scene with dany taking astapor ive been waiting to see it i was not disappointedholy fucking shit that was so awesome gave me geesebumps still does best moment of the season so farand of course not the only awesome moment in this episode varys  tyrion cersei and tywin ramsay that was a 1010 no doubt"
"Broken Fox",2013-04-21,"everything was a solid 8 dracarys bumped it up to a 10 though great episode"
"Trebla",2013-04-21,"definitely a 10"
"Ser Farbod",2013-04-21,"10 the last 20 minutes of the episode were amazing the rest was pretty good i normally would give it a 9 but the end was so amazing it would be criminal to give it anything but a ten"
"ReekLeek",2013-04-21,"danys going ham on slavers bay"
"Funkagenda",2013-04-21,"amazing episode danys part was absolutely amazing and what about the nw part wow such an amazing scene too and the parts with tywincersei and varysolenna were also gret 9510 "
"Blaer Dayle",2013-04-21,"95 out of 10 rounded up to 10 amazing dialogue loved the queen of thorns and varys in particular varys isnt used to being equaled in terms of cunning margaery is perfect so far sansa was great brans scene was weak in comparison to everything else but wasnt bad by any means finally got to see where ramsay was going with his deception pulling a confession out of theon through trust arya finally gets to charge the hound with the murder of micah he gets to defend his actions as merely being a loyal dog jaime and brienne was great as usual jaime wanting to die but not wanting to be weak like a woman was great betrayal of the nights watch was exactly how i imagined it in the book finally got varys explanation about being a eunuch loved the sack of astapor and reveal of dany knowing valyrian best episode this season so far loved every minute except for the implication of ros being smarter than varys seems like every time i see ros i dont like the scene edited by blair dale 21 april 2013  0911 pm"
"houseHB",2013-04-21,"best episode i think ever"
"House Martell",2013-04-21,"i dont have the balls to complain about anything that was amazing"
"Capt Banjo",2013-04-21,"that ending was epic the dragon the unsullied danys dialect and everyones reaction to her bossing the astapor slave masters was perfect"
"Mexal",2013-04-21,"that ending was epic the dragon the unsullied danys dialect and everyones reaction to her bossing the astapor slave masters was perfectagreegif classbbcemoticon altagree that scene was more or less done exactly as i imagined it incredible"
"boojam",2013-04-21,"whatd you thinkholy guacamoleandramin djawadi hit one out the park"
"Florina Laufeyson",2013-04-21,"danys going ham on slavers bayit was ham with a taste of cloves and a little honey nom nom nom i ate it up the nights watch and craster oh godsberic fucken dondarrionramsayugwehheresadasaso much awesomethis is probably the best of the season so far holy shitballs 10 heads of the ned"
"Ocean",2013-04-21,"everything was fantastic this episode every scene was just great really took 3 episodes but now this season is kicking"
"ServantOnIce",2013-04-21,"top 4 episode along with baelor blackwater and fire and blood"
"Kiss of Fire",2013-04-21,"blown awayloved from start to finish10"
"Nezzer",2013-04-21,"fucking 10 i have no words to say how awesome this episode was eekgif classbbcemoticon alteek "
"Elrond Hubbard",2013-04-21,"giving it a 9 only to leave room for the rains of castamere to top it a fantastic episode from start to finish"
"Darth Pipes",2013-04-21,"ill give it a 10 perfect in almost every way the end with dany was epic they gave you a great sense of scale with the unsullied as well i was impressed with diana riggs first appearance as the character but tonight they really let the queen of thorns cut and she was a blast the guy playing beric dondarrion was pretty awesome and the scene with clegane was great im glad varys got his cut story and the addition at the end was chilling i said last week that rod serling would have called theons storyline act one of the nightmare theon seems trapped in a recurring nightmare and thats exactly how it played out ramsay kind of looks like an evil version of peeta from the hunger games but i think it works the nights watch mutiny played out wellim only sorry we didnt get mormonts final words with sam that was the only downside in this episode jamie and brienne continues to play out well i liked the bit they added were jamie attempts to fight back apparently during the filming he took a real kick to the ribs tywin saying i knowhe didnt have to yell or evil glare at the scene but you just know he means what he said great job by charles dance im glad theyre finding way to allow bran to be with his family edited by darth pipes 21 april 2013  0911 pm"
"Zman1863",2013-04-21,"i gave it a 9 but thats mainly because the dany scenes were some of the best the show has put out she isnt generally my favorite character but that is probably a top 3 scene in all the books it was excellently done the rest of the episode was not really outstanding i wasnt happy with how the nw scene played out it seemed too chaotic there was also a lot of filler i think they put in the varystyrion scene because they wanted to reintroduce him for the subsequent two scenes which were more substantively important but i thought his cutting story was out of place and bringing in the revenge in a box thing didnt really work for me the other stuff was fine but its still a lot of set up"
