"author" "date" "body"
"1" "TinyFemaleWriter" 2011-05-23 " where is the e6 blog "
"2" "RobDee" 2011-05-23 " the opening sequence though rather nice now seems endless get on with it "
"3" "Joemanji" 2011-05-23 " hmm waiting for the episode 6 blog now how lame is that  "
"4" "suziebee" 2011-05-21 " i absolutely bloody love this and havent read the booksim tempted but books are always better so dont want to spoil the progcant see myself waiting 5 years or so though there are a lot of characters but like with the wire im using the hbo website to help me remember who they all i actually like the scenes across the narrow sea viserys is obviously a right nutter and the dothraki are great having said that i like all the scenes and characters although was v disturbed by lysa obv the kids are great too which is q unusual winter is coming love it "
"5" "SmartyMcFly" 2011-05-20 " pillowhead there are 10 epsiodes in this series "
"6" "Pillowhead" 2011-05-20 " can anyone confirm how many episodes there will be in this season "
"7" "bananaballs" 2011-05-20 " remember they guard the wall their upbringing constantly reminds them that there are more dangerous things in the world than dothraki screamers mad kings and scheming lannisters dangers that you can only survive by sticking together by helping each other they dont guard the wall directly that is the nights watch who are independent of the houses as the northernmost kingdom the stark lands would be the first in line if the wall was breached "
"8" "shakera1611" 2011-05-19 " my favourite episode by far although i havent read the books and all the backstories were good to know they were also painfully boring the general feel thus far had been a bit like a waiting game and even the exciting endings at each episode annoyed rather than thrilled me but finally everything seems to be unfolding  and quickly too i was genuinely gutted that i couldnt skip straight to the next episode and not lose the momentum the characters have all been brilliant but the one i find most intriguing seems to be jaime in the last few episodes he talked a lot trying to connect to the audience to show a different side to him but it didnt really work but that one look and punch he threw at the soldier who disrupted his fight with ned showed much more its safe to say im hooked im desperate to read the books to see if any of the wild theories i have could prove to be correct theory of the day being that robert and neds sister are actually jon snows parents but that will have to wait until after exams "
"9" "Werthead" 2011-05-19 " so the mad king was the tangerines father ok and the lannisters father is yet to make his entrance the mad king was the father of viserys and daenerys yes they were evacuated from kings landing during roberts rebellion so avoided being killed jaime cersei and tyrions father tywin hasnt appeared yet no though hes been mentioned a fair bit "
"10" "HN1C" 2011-05-19 " so the mad king was the tangerines father ok and the lannisters father is yet to make his entrance interesting i think neds shock at the orders werent necessarily at the order itself but that it was being given by someone he thought he knew inside out it was a sad i dont know you anymore sort of reaction from ned everything he thought he knew is being torn down "
"11" "Vestrit7" 2011-05-19 " i think this is central the thing that everyone in kings landing has forgotten that the starks never do winter is coming all else is unimportant in comparison that actually just sent a chill down my spine "
"12" "JohnDear" 2011-05-19 " perhaps his older brother brandon would have been more street smart maybe but i get the feeling the starks just arent that duplicitous remember they guard the wall their upbringing constantly reminds them that there are more dangerous things in the world than dothraki screamers mad kings and scheming lannisters dangers that you can only survive by sticking together by helping each other i think this is central the thing that everyone in kings landing has forgotten that the starks never do winter is coming all else is unimportant in comparison "
"13" "SirJimmy" 2011-05-19 " he’s spent his life running a ‘onefamily’ castle put like that i can understand why he could be naive despite being in power he has never had any competition also as cersei mentioned ned was groomed to follow perhaps his older brother brandon would have been more street smart "
"14" "Vestrit7" 2011-05-19 " sir jimmy i don’t think you’re necessarily wrong in stating that you see a discrepancy between ned’s disgust at killing dany and his other actions and words it’s a valid point i think to understand the discrepancy you need to look at ned’s views on life and honour and also his life experiences for a start he clearly believes killing is necessary sometimes but he has also been raised by the old ways which state that if you’re going to have someone killed do it yourself and do it facetoface and don’t hide behind an executioner that was his point to bran at the execution part of this is also about remembering what death is like up close that way you don’t become a tyrant who orders death easily the thought of sending an assassin or a poisoner to the job just comes across to him as utterly cowardly and dishonourable to ned while dany is a targaryean he doesn’t see her as a realistic threat so it’s not necessary to kill her why would you so utterly dishonour yourself to take her out unnecessarily it’s also about his disgust with robert they were best friends as teenagers and young men raised to be brothersinlaw until lyanna’s death and they went to war together to unseat a mad bloodthirsty tyrant in aerys now he sees robert as a drunken fat whoring shadow of his former self who would order the killing of a teenage girl out of paranoia that is the kind of thing aerys would and did do including having ned’s own father and brother killed horrifically remember jaime’s comments about the screaming… also and i promise not to do this again in the books dany is only 14 years old to ned she is a child and i have also wondered whether her proximity in age to sansa and arya also plays a part in his reaction as for his naivity – yes ned is very naive and you can see that he’s quite clearly overwhelmed by it all he’s spent his life running a ‘onefamily’ castle and has no experience in the convoluted politics spying backstabbing and gameplaying of king’s landing it’s utterly foreign and bewildering to him also remember he was raised to follow not lead and only heads the stark family because aerys killed his older brother so he wasn’t trained in diplomacy or politics as for trusting littlefinger cat told him to trust lf and ned would trust her word and takes people on face value that approach has always worked for him up until now and he is to put it unkindly a bit of a country bumpkin in the capital when lf and varys offer their bits of information i get the feeling ned’s just thankful for any assistance he can get "
"15" "SarahHughes" 2011-05-19 " sirjimmy  even more callous when you consider that the week before hed had a brief chat with jory about their time in battle together during which jory mentioned that he almost lost an eye "
