"author" "date" "body"
"1" "ID1612016" 2014-06-06 " if anyone could take down the mountain my top picks would be the houndkhal drogo if he were aliveqhorin halfhand ripgrey wormstyr the magnar of thennone of melissandres shadow children "
"2" "jimmy_mac" 2014-06-06 " ha but having lost his teeth oberyn wont be able to bite cleganes legs off "
"3" "Paul Manley" 2014-06-06 " thanks brandon "
"4" "Redable" 2014-06-06 " haha oh yes "
"5" "James Minglis" 2014-06-06 " obeyn being crushed to his chest there is a feeling of him being sort of enveloped repeatedly ramming your fist into their mouth eyes and head until it crunches so not what happened in the show youre the one calling people names and acting like a six year old about it sometimes six year olds call people the right name "
"6" "keef1980" 2014-06-06 " ive not minded littlefingers accent at all until this week  other weeks its been hmm where is he supposed to be from yes i know that theyre not in england but there are cockneys geordies mancs etc as he slipped between weird soundings of words this week though he seemed to suddenly switch to full on thick irish was the first time id laughed at the poor execution of something on the show "
"7" "Bluegoat" 2014-06-06 " yes one that smushes his head maybe more likely with an eight foot tall man the whole passage describes obeyn of being crushed to his chest there is a feeling of him being sort of enveloped having one arm wrapped around someone crushed to your chest with your other arm and repeatedly ramming your fist into their mouth eyes and head until it crunches when you are a near eight foot tall giant wad of muscle is going to reduce that persons head to a pulp like a walnut in a nutcracker ive been civil its just an different reading of the text youre the one calling people names and acting like a six year old about it "
"8" "James Minglis" 2014-06-06 " also as he drew back his huge fist this obviously means another punch next time you act like a douche try to at least be right "
"9" "James Minglis" 2014-06-06 " correct into his eyes which leaves a lot of ambiguity and of course these directors chose the most gruesome option possible smashed not crushed and broken like a watermelon thanks youre done "
"10" "Bluegoat" 2014-06-06 " so how is it you see this being different from the show first he smashed his teeth out  they did that then he pushed his fingers into his eyes they did that too then he smashed his head in with a gross sound which is also what happened "
"11" "jodaki" 2014-06-06 " i love game of thrones but have the same feeling that i had with sins of anarchy a while back its getting a touch formulaic the saving grace being its incredible surprise factor each week but once that is passed its sort of oh it doesnt surprise me that that happened of course ill continue to watch avidly each week "
