"author" "date" "body"
"1" "suziebee" 2013-06-10 " vegeta83  a phil mitchell with hair ideally on crack too "
"2" "IanShuttleworth" 2013-06-10 " ianshuttleworth  oh come on people unlike ygritte kiaoras too orangey for crows "
"3" "MoreTears" 2013-06-10 " davidlepage  yes the medieval period was noted for people with unorthodox opinions being told they are wrong and nothing else happening to them "
"4" "TrinityX" 2013-06-10 " deletethispost  so true "
"5" "TrinityX" 2013-06-10 " sunburst  quite a lot of classical mythology is full of this kind of thing makes me wonder about tolkiens theory about the relationship of mythology and society and how stories reflect the needs of the society in which theyre told paraphrase rather than a quote "
"6" "anonnyscouse" 2013-06-09 " ntofr1  comments were down for maintenance on all articles not just this earlier in the week was only for a few hours though "
"7" "ID958469" 2013-06-09 " ntofr1  i cant recall it in the show but certainly remember it in the book "
"8" "ntofr1" 2013-06-09 " sunnyone  was that in the show what episode "
"9" "ntofr1" 2013-06-09 " sinequanone  i like youre ideas hopefully well find out one way or another after the finale "
"10" "ntofr1" 2013-06-09 " tsavo  do it youre viewing experience will be greatly enriched by all the history and vastness of the world of asoiaf "
"11" "ntofr1" 2013-06-09 " ive been way too busy this week to have a proper look through the comments  bloody loads of em now also did the comments get deactivated for a bit i hope every one is ready for the finale "
"12" "ntofr1" 2013-06-09 " guardiansek  crazy eyes "
"13" "Dryhtscipe" 2013-06-09 " sinequanone  why are you posting this over and over again are you really that bored "
"14" "sunnyone" 2013-06-09 " id958469  didnt robb propose to make jon his de facto heir "
"15" "fluffyMike" 2013-06-09 " cardigansinbound  quite titus andronicus would have this twt frotting himself into a rash "
"16" "Squeeth" 2013-06-09 " sunnyone  leave it ahrt or stemroach will hear o "
"17" "tsavo" 2013-06-09 " that was one hell of an episode have watched it three times now and am still mesmerised by it i think i will now buy all the books i dont ever want to be surprised like that again "
