"author" "date" "body"
"1" "edinamikie" 2011-04-25 " it kept reminding me of the 80s robin hood drama with sean connerys sonthe intro music was also very much like zelda for the nintendo they should calm down with the mud too mud never looks good on the tv screen unless its two exotic naked ladies wrestling in it which judging by the first episode will happen soon enough "
"2" "godlikegenius" 2011-04-25 " i am not a big fan of epic fantasy and so have not read the books but i really enjoyed the opening of this series a great deal i will certainly be watching the next episode this evening "
"3" "EddieLarkin" 2011-04-25 " as always with fantasy i find it hard to grasp any sense of history to the world or characters any sense that it or they might have existed any time other than the present setting or any sense of future possibility if there is one thing these characters have in the books is very detailed histories this will hopefully be conveyed in the show as well but youll need to keep watching "
"4" "Sunburst" 2011-04-24 " so far the show seems fairly generic how funny so far you mean after only one episode my youre impatient stick with it as someone who has read the books i can promise you itll be worth it the books only got better more imaginative more absorbing more brilliant with every chapter and so too will the series with every new episode this was just the pilot the introduction of the main characters and the story the tamest part of the whole narrative its going to get deeper and darker and messier and far more spectacular you aint seen nothing yet "
"5" "elsmallo" 2011-04-24 " ive not read the books and was fairly unimpressed by my first viewing i watched it again and found more to like the fan has as much right as any to comment on these shows but not more than anyone else and i think forums like this end up dominated by them because to me at least so far the show seems fairly generic fantasy stuff and certainly not the mature and groundbreaking material the hype suggested as always with fantasy i find it hard to grasp any sense of history to the world or characters any sense that it or they might have existed any time other than the present setting or any sense of future possibility and it takes a bit more than tits and beheadings to make the thing mature were totally inundated with this stuff ill give it a chance though maybe ill get used to the tits and violence and stuff "
"6" "sharpeiboy" 2011-04-23 " and guardians fault for making this bold font not mine "
"7" "sharpeiboy" 2011-04-23 " smartymcflyb that is a good review you point out there do seem to be a lot of people out there who are really enthusiastic about both the books  the tv series so far cant remember so many positive remarks being made about any series ever regarding this point i think this is why the books are mentioned so much even though i know this blog is about the tv version "
"8" "SmartyMcFly" 2011-04-23 " moretears there are a lot of comments like that ive just spent 5 mins trying to locate the various threads in wicnet  but with the show just out it is difficult to dig them out again especially given their comment structure  which is not typically forum based there are quite a few knockers of the accents out there must admit it is my assumption that they are americans but that is not a bad assumption since i read them on monday morning and the show had only been broadcast in the us at that point a few of the previewreviews also raised concerns over the accents believe me the comments are there and a motivation seems to be a lack of us actors in the show do a google search  youll soon see the concerns 2 seconds pulled this one up httpwwwbadassdigestcom20110417tvreviewgameofthronesepisode11winteriscoming includes concerns over jaimes accent also the main one peter dinklage is an undoubtedly talented actor but the haughty english accent he gives tyrion is so overdone and the characters enunciation is so overthetop that it is at times distracting  by mo ryans review "
"9" "ellipsis10" 2011-04-22 " i think a lot of the negative criticism from the us stems from the fact that everybody has an english accent thank god one thing that would have ruined the tv series is the thought of everyone speaking as though theyd just auditioned for the wire what criticism such as it iswas which isntwasnt much ive read is more to do with the assumption that westeros is just code for britain ie the north bean being yorkshire and the south most everyone else being the home counties et al when in fact its a wholly fantastical place deliberately geographically vague youre more likely to hear criticsm of dialects when you have british or australian actors attempting to americanize their speech and of course the opposite is true in both tv and film the wire and the walking dead come to mind as well as almost the entire cast of cold mountain as much as i love the first two the speech patterns are off putting as for the latter they rendered the film treatment of an iconic american novel unwatchable "
"10" "sharpeiboy" 2011-04-22 " havent made a note of all the internet sites that ive trawled to looking for criticisms of the tv show perhaps you could since you seem to take such an exception to my throwaway commentin short i dont believe any americans object to british accents being used in game of thrones actually some do generalurko36 good point that somebody brought up earlier on this thread one problem is that that tv show comes with a lot of prior baggage unlike most adaptations for the small screen taken from books these volumes are some of the best prose  plotting in 200 years forgive my enthusiasm  the first thing that people who have read the books are going to write about is the fact that the production team seems to be happy to equal martins output in a visual way rather than a personal booktypeofway many of us watching have never  will never read the book was this meant to be dismissive the interesting virtue of democracy is that most people have minority opinions unless youre a tory troll in the pages of the guardian that minority opinion is just as valid as the current groupthink no "
"11" "MoreTears" 2011-04-22 " bertrigby thank you thats evidence of criticism from some americans but it still represents a minority opinion among all of the positive american reactions to the show and its actors that i have read "
"12" "bertrigby" 2011-04-22 " moretears httpasoiafwesterosorgindexphptopic46594allpurposetvnitpickextravaganzathreadpagest260 i really do hope the british accent is not terribly overdone i do not look forward to watching hogwarts transplanted in westeros isnt there such a thing as a standard neutral accent that all englishspeaking actors try to become proficient at "
"13" "MoreTears" 2011-04-22 " smartymcfly okay but i asked about evidence of americans criticizing the choice to go with british accents in the show  something rather different than viewers of unspecified nationality having various accentrelated complaints in short i dont believe any americans object to british accents being used in game of thrones "
"14" "generalurko36" 2011-04-22 " really enjoyed this but i hope this blog doesnt continually make comparisons between the book  the tv show many of us watching have never  will never read the book so do not care about inconsistencies  please refrain from spoilers you people who have already read the books remember this is a blog about the tv show only "
