"author" "date" "body"
"1" "ntofr1" 2012-06-03 " the lyrics to that song are very apt in many ways but that was accidental "
"2" "ntofr1" 2012-06-03 " httpwwwyoutubecomwatchvyrmhkwlhqg "
"3" "ntofr1" 2012-06-03 " i find it impossible to comment any more until the next episode "
"4" "ZodiacFirebroom" 2012-06-02 " charles dance saves the day his increased presence in this series has been my personal fave amongst more or less you know who you are across the board knock out acting "
"5" "miapatrick" 2012-06-01 " no me too does that make me really cool or rather sadjoeffry went for a drunken knight but i was not a drunken knight so i said nothingjoeffry went for a minstrel but i was not a minstrel so i did nothing littlefinger does a lot of sexposition and nothing much else yet he seems to get by "
"6" "Cariad007" 2012-06-01 " he already has one but i assume hell pick up another later this year lena headey has also been astonishing this season  her cersei is so much more rounded and complicated than the onedimensional evil bitch in the books "
"7" "Sinequanone" 2012-06-01 " i just watched it a second time too woooooo i was actually able to enjoy the cersei and sansa scenes much more as at the first watching i was desperate to get back to the battle to see what happened sophie turner has really matured this season and in this episode she really was amazing i thought i actually thought this episode was a great bronn one  there he is raising the morale of the soldiers in the early scene playing it cool with the idiot sandor but ready to take him out his joking with tyrion his archery to ignite the wildfire and taking out sandors attacker when by rights he could have put an arrow in sandors eye "
"8" "TAFKAJamie" 2012-06-01 " not to mention the whole scene with bronn  sandor which kind of takes on new significance in the light of the attempted murder of tyrion was clegane there to do away with bronn was he under the same orders from the same person as ser mandon moore ive absolutely no idea which is rather nice speaking as a book reader  "
"9" "TheNorthRemembers" 2012-06-01 " i watched it again last night  im still intrigued about who might have briefed the captain of the kingsguard to take a swordswipe at tyrion cersei joffrey i had thought that tyrion will be calling that person to account but i had forgotten that the attacker was killed with a spear through the head by tyrions pagesquire pod "
"10" "Redable" 2012-06-01 " only got around to watching it last night it was truly epic  the whole battlesiege had me on the edge of my seatmouth wide open when the fleet is destroyed by the wildfire even the clique ending when cersei was about to poison her son and the doors burst open was brilliant tyrion was awesome  please somebody give the magnificent peter dinklage a emmy bafta or whatever the award is now "
"11" "CavalierDisregard" 2012-06-01 " back on the football manager is character in game of thrones thread ian holloway  mad king aeryssam allardyce  robert baratheonmartin jol  roose boltonneil warnock  varys "
"12" "molari" 2012-06-01 " benjyuk well then joffrey is joey barton just a twatand oh my god they even have the same initials genius  i can imagine joff quoting and fundamentally misunderstanding nietzsche to appear cool and as we saw at the end of the season barton also likes to duck out of important battles early friggitynope dcharlie agreeswith you so theres that "
"13" "TheNorthRemembers" 2012-05-31 " good god dr feelgood the band i remember seeing them donkeys years ago at the old finsbury park astoria wilko has been playing with his own band for many years and not long ago he was featured in a tv documentary about the feelgoods and himself he still does the ostrich neck staring strut with geetar on stage  "
"14" "Friggity" 2012-05-31 " i think i might be alone in saying this episode was tosh the fight scenes were pure comedy "
"15" "Simgeo" 2012-05-31 " if it comes down to physical likeness ser ilyn payne and pierluigi collina must share the same genes somwhere along the line in terms of personality and characteristics id put stannis firmly in the david moyes bracket "
"16" "HuwLyanThomas" 2012-05-31 " martins editor for the last two books really should be taken outside and shot for the job they did both could easily and should have been combined into one book with all the guff taken out theres plenty of it hapless editor book 4 in this much anticipated bestselling series is a bit weak book 5 might be weak as well lets hold off and see if its worth combining them publishergrrm no  for 6 years as it turned out "
"17" "SpencertheHalfwit" 2012-05-31 " when tyrions men were chanting half man half man  was anybody else chanting half biscuit at the screen no just me then ill get my coat "
"18" "BenjyUK" 2012-05-31 " benjyuk31 may 2012 623pmwell then joffrey is joey barton just a twat and oh my god they even have the same initials "
"19" "BenjyUK" 2012-05-31 " well then joffrey is joey barton just a twat "
"20" "sunnyone" 2012-05-31 " hope this helps aw thanks not so cavalierly disregarding me then  "
"21" "CavalierDisregard" 2012-05-31 " ps i see my polite request for posters to please quote the comment theyre replying to has fallen on deaf ears in the main its such a little askand would make me very happy i come home from work tired and wrung out and try to catch up on the blog only to find i dont know what people are talking about and havent got the energy to keep clicking back to find out hope this helps "
"22" "sunnyone" 2012-05-31 " result my phone rang on the train this afternoon i downloaded the got ringtone and one head swivelled to see where the music was coming from i didnt get to chat with him though  not that i was bothered lets just say he was no jon snow lookalike "
"23" "sunnyone" 2012-05-31 " roberto martinez as robb stark "
"24" "CavalierDisregard" 2012-05-31 " harry redknapps a cockney littlefinger finger in every pie and cant stop telling people what he thinks even when they havent asked him not that im an occasionally bitter spurs fan in any way shape or form spurs fan and a lover of game of thrones shame youre married sarah "
"25" "sunnyone" 2012-05-31 " roy keane as stannis "
"26" "gareth69" 2012-05-31 " wilko johnson launched his biography last night heres the facebook page httpswwwfacebookcomwilkojohnsonbiography "
"27" "sunnyone" 2012-05-31 " the chartacter is played by wilko johnson once of dr feelgood many moons ago good god dr feelgood the band i remember seeing them donkeys years ago at the old finsbury park astoria how about that ps i see my polite request for posters to please quote the comment theyre replying to has fallen on deaf ears in the main its such a little askand would make me very happy i come home from work tired and wrung out and try to catch up on the blog only to find i dont know what people are talking about and havent got the energy to keep clicking back to find out "
"28" "Sinequanone" 2012-05-31 " id prefer to think of arsene wenger as more of a ned stark figure lacking in ambition but staying true to his values d "
"29" "UninventiveName" 2012-05-31 " ha spoton i wont be able to watch aiden gillen in got again without expecting him to draw back a carriage curtain and explain to some passing serf that he thinks sandor clegane is a triffic swordsman and hed love to have him defending kings landing but hes not sure how progress on hiring him is going because tywin normally deals with that sort of stuff by the way if anyone who has read the books i havent is interested there have been press releases giving a nonexhaustive list of book characters to be introduced next season includes a couple that some posters were prematurely assuming wouldnt be involved "
