"author" "date" "body"
"1" "SarahHughes" 2011-06-27 " moetcat8  it was indeed i didnt know theyd run it today "
"2" "Moetcat8" 2011-06-27 " sarah was that you moonlighting in i today about the reactions of people on entertainment weekly and digital spy about sean beans departure from the show "
"3" "Kellathan" 2011-06-25 " as a person that watches a hell of a lot of tv got stands out above the rest bar boardwalk empire as a series that is gritty stylish smart sexy and classy the environment and back drops add to the quality as does the acting where i have to say peter dinklage who plays tyrion lannister stands above everyone else no pun intended and steals the show with his calibre of actingi never knew that the series was from books until my good friend nedshead told me i was surprised at the fact that after the first series we have already seen two of the most popular characters killed off its satisfying that we have a fantasy series where it’s not predictable an in fact it’s very appealing to all let’s hope this breaks the mould and doesn’t get axed after the first couple of series looking forward to more fighting boobs and dragons "
"4" "Cariad007" 2011-06-24 " im crushing on sir jorah  iain glen and emilia clarke have such great chemistry and the buildup has been so subtle it was ambiguous at first but now you can see that hes slowly fallen in love with her although how she feels about him is still not so clear id love to see them together at some point but i dont know if this will happen note im not a book reader yet so i dont want to know whether that does or doesnt happen interesting that so many people think that the only way it can all end is for jon and dany to end up together and crowned as king and queen again ive not read the books so can only speculate  i have my suspicions that jon is not neds son but his nephew the son of his sister lyanna but who is his father is it robert or is it rhaegar targaryan im inclined to believe its the former as if it was the latter it would make him danys nephew and then im not sure they could end up together then again a little bit of incest doesnt stop cersei and jaime "
"5" "SarahHughes" 2011-06-24 " also at gregdc  deli sadly deli that or its a typo thanks though ab47690  you are almost certainly right there was a time when i went out a lot she sighs nostalgically shexmus  i agree although i will say i thought the viserys scene did add character development and was well done aly81  exactly i thought that was a lovely subtle touch "
"6" "SarahHughes" 2011-06-24 " kulterager  ah now that we can agree on its my husbands favourite film great choice "
"7" "shexmus" 2011-06-24 " al shawerengen from deadwood would regularly be shown getting a blowjob by one of his whores while he would whinge about things in general i never considered those sexposition scenes as gratuitous since they added tremendously to als character and the scenes were always hilarious i mean nothing can beat the moment when al lashes out at the woman between his legs with did i tell you to lick my balls no then why do you lick my balls in game of thrones many sex scenes dont really add to the plot and character rather it seems as if they were meant to be sexy interludes for naughty boys ready willing and able to milk the eel in less than 3 minutes before normal programming resumes "
"8" "numsi1981" 2011-06-24 " just a technicality but the scene with ros and pycelle is not a sex scene but i dont wanna join the sexual freedom league with kulturtrager for my part i hope they keep the nudity count high as long as they do not show varys naked hodor with a hardon or little robert sucking on the right breast on another point just finished the first book and i still cannot believe that benioff and weiss did not show the battle at riverrun this is such a cool part of the book and it wouldnt have been too difficult to put it in the show also when tywin tells tyrion to go to kings landing become the hand i totally missed the point in the show i thought oh do we see some kind of bonding between the two when tywin says you go because you are my son yet in the book tyrion completely freaks out about it and doesnt understand it in a positive way at all "
"9" "FramplerandhisBox" 2011-06-24 " really enjoyed this series so much so that ive read all four books in the last few weeks without making any reference to plot developments i do worry how well the remaining books will translate to the screen  theyre still very enjoyable but the writing isnt as good or as cinematic as the first book and as sarah hughes rightly said theyre not as characterbased the true strength of this series for me has been how the characters came to life  with good source material the actors have put in some exceptional performances that really resonate another concern is how long george rr martin takes to write these books  i see from wikipedia that hes no spring chicken and at a rate of one book every 5 years one rather morbidly worries whether hell ever finish the series fortunately i seem to have discovered the books just before the fifth one is released but im sure ill grow frustrated with the wait for book 6 "
"10" "Kulturtrager" 2011-06-24 " sarah hughes fair enough i disagree with your analysis of the scenes but ive just watched its a wonderful life for the umpteenth time with my girlfriend who was seeing it for the first time and so i am full of nothing but love for the world tonight i bow out  "
