"author" "date" "body"
"1" "Moreisless" 2013-05-20 " thenorthremembers  i want to comment on the choices stannis made regarding the leeches but dont want to be spoilerish all i can say is in the words of skinner and baddiel 3 lionswith regards to the role of the tyrells in the war of 5 kingsthey remained loyal to the mad king during roberts rebellion it seems that they just really hate stannis and any claimant is better than himeven if renlys claim is really flimsy and his marriage to margaery is a sham "
"2" "Dakard" 2013-05-20 " ntofr1  great taking a shit scene in the new davincis demons show a few days ago "
"3" "Malkatrinho" 2013-05-20 " nzerdan  but not the books "
"4" "Humbugg" 2013-05-19 " edinamikie  when robb asks his wife who are you writing  thats an americanism you do know that westerosi isnt britain right and the author is an american so its natural that americanisms slip in "
"5" "ntofr1" 2013-05-19 " same thought here those girls looked too comfortable being in a place like that "
"6" "ntofr1" 2013-05-19 " i hope this is a spoiler for how it ends "
"7" "TheNorthRemembers" 2013-05-19 " ideologue  full blow dragon transmogrification sorry had to laugh at that as a cat person i always associate them rather than dragons with transmogrification "
"8" "TheNorthRemembers" 2013-05-19 " moreisless  declaring a king in the north was always a strategic mistake and they would have been better served aligning with renly that would have left the lannisters with no allies and there for the taking  but surely with ned declaring for stannis how could robb and the north then declare for his younger brother renly did had a lot to answer for but of course his wife margaery said at the time that she wanted to be the queen so i guess she was behind renlys commitment to oppose stannis and go for the throne himself after roberts death its a superb irony that if melisandre had not brought about renlys death by shadow creature then the tyrrell forces would not currently be aligned to tywins so paradoxically it was stannis that lost out by the actions of his red priestess i see that key predictions that she made in the books with a leech have not been featured in the tv series  maybe its felt that she is just too unreliable "
"9" "sunnyone" 2013-05-19 " charliebronze  i thought that too presumably hes got the girls well trained and well subjugated but even so they were way too enthusiastic for my liking although maybe they thought you know who was watching their performances "
"10" "CharlieBronze" 2013-05-19 " heres a lovely photo from carice van houtens instagram account of herself davos  arya sat on the  well an  iron throne httpsolutdcomcaricevhoutenviewb7dec007 "
"11" "CharlieBronze" 2013-05-19 " the theon dismemberment heh scene was alarmingly discordant unless martin is rewriting the deranged psychopathic sexual sadism of ramsey boltons character then how the hell could the two wenches be so gleefully complicit any woman within 50 miles of the dreadfort would be a screaming pantsshitting wreck let alone two sexually attractive girls actually in the same castle as him it was bollocks the two henchmen looked suitably threatening though "
"12" "CharlieBronze" 2013-05-19 " agentscully2006  doctor smith from lost in space any character ever played by catherine tate and especially when she appears as herself "
"13" "sunnyone" 2013-05-19 " anonnyscouse  okeydokey gotcha "
"14" "sunnyone" 2013-05-19 " singist  wtf are snarks and grumpkins anyway theyre the westerosi equivalent of ghoulies and ghosties and long leggedy beasties and things that go bump in the night "
"15" "seeknsanity" 2013-05-19 " clearici  yes very good post "
"16" "seeknsanity" 2013-05-19 " bastardo1  it was put to theknife "
"17" "seeknsanity" 2013-05-19 " shackalack  hes a north man through and through no matter what ygritte thinks they may join forces "
"18" "seeknsanity" 2013-05-19 " angelamarica  could be "
"19" "David Mordaunt" 2013-05-18 " mirthin  or with my wife who would have suspicions as to why i like the show rather the case that i am put off by the gratuitous imho nudity "
"20" "anonnyscouse" 2013-05-18 " moreisless  thats why the belief is talisa isnt pregnant its a distraction to try and divert robbs attentions there could be another reason but saying it will be far too spoilerish "
"21" "anonnyscouse" 2013-05-18 " sunnyone  if you know what rw is then the w in pw means the same "
"22" "zombiedeadhead" 2013-05-18 " deletethispost  while the camera lingered on that arse i was thinking that this was directors revenge on an actress who refused to show breasts ok you say no full frontal only bum shots so how do you like thiswhile it was a mesmerisingly beautiful bum i really did feel uncomfortable and something like embarrassed for the actress "
"23" "NZerDan" 2013-05-18 " this blog now has more characters than the series "
"24" "NZerDan" 2013-05-18 " sinequanone  avoid the forum too as austin powers says nerd alert i registered and had an opinion but got the whole we have already done this thing already thrown back at me the books have been out ages and so has the forum but still they have to accept new guys with different povs just like the characters they read about funnily enough was quite funny actually but gave up after an hour or two this one is much better "
"25" "Sinequanone" 2013-05-18 " jimmymac 17 may 2013 250pm get ciffix for firefox just because she suggested it as a possibility doesnt mean she is herself  "
"26" "Aelfwine" 2013-05-18 " sinequanone  renly might have accepted an alliance but robb being king made it absolutely impossible for him to ally with stannis though he might not have been too keen on it anyway what with the starks having sought an alliance with his traitor brother in the first place "
"27" "sunnyone" 2013-05-17 " moreisless  i thought sansa is the key to the north according to the charecters in kings landing it all depends if westeros  or rather the north  follows the law of primogeniture "
"28" "sunnyone" 2013-05-17 " clariana  yes i realise now what you mean by exchange of salutations "
"29" "sunnyone" 2013-05-17 " anonnyscouse  now youve got me puzzling what pw stands for and i am a book reader "
"30" "nickc909" 2013-05-17 " jimmymac margaery may have her own romantic attraction to sansa cue another wide eyed terrified look from sansa "
"31" "Moreisless" 2013-05-17 " anonnyscouse  ok if talisa is a spy she is being very creative with her brief tywin wants to know what robb planning with regards to the war not help create another of generation of starks who hate the lannistersi do not think any reconciliation between the crownlannisters and the starks is possible while joffrey and robb are on the scene "
"32" "anonnyscouse" 2013-05-17 " sunnyone  i wish you luck the plan was supposed to be 2 series for book 3 but looking at current situations i think we might only get to pw only book readers will know what that means by the end of series 4 with this series climax probably episode 9 being rw "
"33" "SarahHughes" 2013-05-17 " deletethispost  seriously im in a state of shock youre all crazy but i love you anyway "
"34" "anonnyscouse" 2013-05-17 " moreisless  people in kings landing dont know that talisa is pregnant if she is they do know that robb has lost the support of the karstarks and a large portion of his army so right now looks like losing the war which would result in his death as they also believe bran and rickon ahead of sansa in inheritance rules have been killed by theon a defeat for robb would leave sansa as the inheritor of winterfell as she is older than arya noone knows if she is dead or alive anyway "
"35" "jimmy_mac" 2013-05-17 " malacara  i enjoyed that moment as well i also think that margaery may have her own romantic attraction to sansa maergery in stating that some women like fat men handsome men bald men etc also mentioned that some women like pretty girls or pretty women or something like that suggesting a possible bisexual orientation on her part im sure it went right over sansas head the point is that margaery seems to actually enjoy sansas company and seems to really want to be close to her and clearly margaery knows a thing or two about sex that sansa does not "
"36" "Sinequanone" 2013-05-17 " moreisless 17 may 2013 1045am get ciffix for firefox they did ally themselves with renly or were trying to but then renly got assassinated "
"37" "singist" 2013-05-17 " moreisless  yeah idiots "
"38" "suziebee" 2013-05-17 " clariana  this comment is increasingly irritating were obviously going to keep watching your ive read the book so i know whats going to happen refrain is smug in the extreme i read books 1  2 after each series and decided to forego future reads as the series is better written id say just stop reading is a better line "
"39" "malacara" 2013-05-17 " or rather mischieviously  "
"40" "malacara" 2013-05-17 " my favorite moment sansa where did you learn that from your mothermargaery smiling mischiviously and after a loaded silence yes from my mother and then they walk away sansa insecure proper and stiff and margaery making the most of those lovely hips of hers "
"41" "crehane" 2013-05-17 " thenorthremembers  always interesting to get some of the background info and history of essos and westeros it is amazing how rich and detailed a history grrm has created beyond the story that is the main focus of his epic i also like to pick out the parallels between got history and real world history grrm tends to use a mishmash of real historical events to frame his history and as were all aware the current antics in westeros are largely inspired by european medieval history and the english war of the roses with regards to the olderancient history of essoswesteros though the following is of relevance old valyria and the influencepower which it once wielded is a bit like the roman empire except that rather than declining and being picked apart by barbarian hordes the dothraki horse lords are very similar to the hun btw and if drogo had survived to unite them he would have been akin to attila with regards to the valyrian empire was destroyed in a mysterious cataclysmic event the doom which is akin to the thera eruption in the mediterranean thought to be the real world event that inspired the legend of atlantis also with mention of its imperial status and legions the ghiscari empire also bears a resemblance to rome however the details of its longterm rivalry with valyria played out over numerous five wars and culminating in its eventual defeat and annihilation is far more reminiscent of carthage and its eventual fate at the hands of rome what is great about grrms world is that he has extrapolated these historical layers lying beneath the current an upshot of doing so and as you have pointed out is that we see the old worn and weathered cities with the harpy as their symbol this suggests that the harpy was either a religious or cultural emblem of the ghiscari empire and it identifies these cities as having once belonged to that now dead civilization "
"42" "TheNorthRemembers" 2013-05-17 " there was a previous discussion on the blog about castration and eunuchs  there is a profusion of references to these aspects in grrms work heres some nonspoiler wiki explanatory map and historical information taken from a point that we have already passed in the tv series  in yunkai  the city that dany and her army of unsullied now stands before and that apparently has 200000 slaves  the eunuchs are made by only cutting the testicles off yunkai is also known for training bed slaves not warriors  a slave in yunkai learns the way of the seven sighs and the sixteen seats of pleasure also mentioned is the ghiscari empire which dominated most of the eastern continent dany has lived almost her entire life initially in pentos but within this eastern continent not westeros the eastern continent is huge with pentos at the western edge and qarth at the southeastern edge dany spent much of her time in series 1 and 2 travelling east across the dothraki desertgrasslands sea and the red waste to qarth she then travelled partly back westwards to get to slavers bay astapor where she bought her unsullied army is a ghiscari coastal colony  bricks and blood built astapor and bricks and blood her people astapori women veil their faces to keep the brick dust from their eyes as it stings worse than sand some of the history here may be of interest to nonbook readers in the context of ghiscari culture and its traditional opposition to those like dany of valyrian culture  the city of ghis was brought to ruin following a series of wars with young valyria where once there were dragons 5000 years ago valyria having long sunk beneath the waves like atlantis hence the sinking sea it is known that five times old ghis contended with valyria when the world was young and five times went down to bleak defeat for the latter had dragons and the empire had none finally the old ghis legions were shattered its brick walls were pulled down its streets and buildings turned to ash and cinder by dragonflame its fields sown with salt sulphur and skulls today it is called old ghis due south of astapor and its emblem is a harpy a womans torso wings of a bat instead of arms legs of an eagle and a scorpions tail in its claws rest a thunderbolt this explains why we see a harpy above astapor and at yunkai its part of the ghiscari tradition and these are ghiscari cities dany has now travelled north up the slavers bay coast from astapor to get to yunkai "
"43" "JohnDear" 2013-05-17 " kifill  put it like this most people believe shes the last member of the targaryen royal family that might not actually be the case "
"44" "Moreisless" 2013-05-17 " singist  whether she is pregnant or not the rebellion in the north looks doomeddeclaring a king in the north was always a strategic mistake and they would have been better served aligning with renly that would have left the lannisters with no allies and there for the taking "
"45" "singist" 2013-05-17 " ideologue  as a couple of others have already said it seems that the lannisters are blind when it comes to anything to do with magic they are so embroiled in politics and playing the game of thrones that they are unable to see the potentially more dangerous supernatural threats of ice and fire tyrion was the same scoffing at tales of snarks and grumpkins until he visited the wall cersei is almost contemptuous of the nights watch protecting the realm from snarks and grumpkins wtf are snarks and grumpkins anyway and mocks tyrion on his return and changed views it leaves them pretty unfortified not only from ice and fire but from any shadow babies or worse that melissandre and co might throw their way "
"46" "singist" 2013-05-17 " moreisless  she doesnt look very pregnant does she and as far as i know westeros hasnt yet developed a ye olde pregnancy test surely back then you didnt know for sure if you were up the duff until youd missed a fair few periods and were starting to show telling him she is pregnant when she isnt really pregnant might be a way of lulling him in to a false sense of security thus taking his mind even more off the game but she might be pregnant tooi am certain that she is a spy for tywin but i am uncertain about what her true feelings for robb are these days its totally possible that she has fallen for him like jorah fell for dany while he was spying on her maybe her single objective was to set the honey trap which she has successfully done  everything beyond that has been improvisation perhaps "
"47" "Sojournernz" 2013-05-17 " i think the torture scene with theon which was revealed in a very different way in the books is attempting to say  there are things worse than death that can happen to you when you play and lose the game of thrones i 2xfwd through it with the sound off poor little shit "
"48" "ACertainBang" 2013-05-17 " diamonddag  i thought it might be to do with the return of magic into the world the previous dragons getting smaller and more stunted as the magic wanes and now that it is back so is the possibility for larger dragons and both of these things are being ignored by the myopic schemers of kings landing i cant think of an advantage tywin would gain from lying to joffrey about his perception of the dragon threat and joffrey is probably curious more from jealousy than fear or maybe its both "
"49" "ACertainBang" 2013-05-17 " bishoplenbrennan  maesters tournament brilliant "
"50" "sunnyone" 2013-05-16 " deletethispost  now youve made me laugh but i didnt see any puckered holes ah well i was going to watch again anyway sigh "
"51" "sunnyone" 2013-05-16 " sinequanone  nah if shes an agent its for varys "
"52" "TheNorthRemembers" 2013-05-16 " kifill  who succeeds her she believes the nearest she will get to having children are her dragons i think theres a theory about the dynastic possibilities and a possible future royal marriage  dany grew up believing she would one day wed her brother but that became ruled out after his golden crown then she had dragons rather than her stillborn baby rhaego by khal drogo but do keep watching "
"53" "Kifill" 2013-05-16 " thenorthremembers  should she conquer westeros and shortly afterwards die who succeeds her she believes the nearest she will get to having children are her dragons "
"54" "Sinequanone" 2013-05-16 " ntofr1 16 may 2013 638pm get ciffix for firefox this one httpgameofthroneswikiacomwikir27hllor "
"55" "Sinequanone" 2013-05-16 " thenorthremembers 16 may 2013 732pm get ciffix for firefox ya ive told you shes an agent for the lord of light  "
"56" "thecoordinator" 2013-05-16 " oldhama 16 may 2013 305pm get ciffix for firefox i still dont understand why people north of the wall dont have scottish accents very disappointing "
"57" "thecoordinator" 2013-05-16 " vonsparron 16 may 2013 1212pm get ciffix for firefox tywin might not have committed the deed but surely he ordered it to be done im pretty sure thats what the pinkhaired youtube woman said i got the impression from her that tywin thought it had to be done  because the throne wouldnt be completely safe from targaryen claims unless they were all dead  but that he knew robert would be too honourable to order it himself "
"58" "The_Wanderer" 2013-05-16 " there was a lot of relationship checkups in this episode but they really hadnt checked up on the state of the various romantic relationships in quite some time the way the jaimebrienne situation played out seemed like a parody of the damsel in distress situation which was clever i wrote a blog article that goes more into detail about all of the relationships that were explored in this game of thrones episode its linked below if youre interested in reading it httpwwwallthatisgolddoesnotglitterblogspotcom201305gameofthronesseason3thebearandthemaidenfairanalysishtml i liked the extra added history and other minor details that could have only come in from grrm i ended up appreciating the episode a lot more when i watched it a second time "
"59" "TheNorthRemembers" 2013-05-16 " lola465  they were books in search of an editor thats a good phrase but because of the waffle and seemingly labyrinthine detail i have found a less skimming reread is not a bore it brings up fresh elements and connections as with the tv series a rewatch is also enjoyable "
"60" "TheNorthRemembers" 2013-05-16 " jimmymac  thats why i myself said my own hypothetical was completely stupid but the question lingers is she a spy i think we posted at the same minute imo she is a spy for reasons given earlier by others on here really i will be very surprised if she isnt i think she may also not be pregnant is it known if so is it robbs "
"61" "TheNorthRemembers" 2013-05-16 " jimmymac  they introduced her something like this daenerys stormborn of the house targaryan khaleesi of the dothraki true queen of the first men and mother of dragons also queen of the andals she gets more titles added as time goes on i expect "
"62" "TheNorthRemembers" 2013-05-16 " sunnyone  it doesnt rhyme for me  oh you traditionalist you  "
"63" "Kirjava13" 2013-05-16 " moreisless  very much so shes eeeevil robb eeeeevillll "
"64" "Mrsbluesky" 2013-05-16 " friggity  i agree about the bear scene it could have been so much more nailbiting than it ended up being i know im going against my own rules of not comparing the book to the show but the bear scene in the book actually made me nervous id rather they had extended it and cut a few minutes from the theon story well the tyrells seem quite liberal about all things sexual so it wouldnt surprise me "
"65" "ntofr1" 2013-05-16 " ntofr1  sorry bad spellinggrammar day "
"66" "ntofr1" 2013-05-16 " vonsparron  especially danys and the scenes in the north which seem very detached and sometimes inconsequential to the events at kings landing thats probably how people in kings landing feel about about people on the wallacross the sea too inconsequential but is it well i think you know the answer to that "
"67" "ntofr1" 2013-05-16 " sinequanone  thats a shame theres one wiki which only covers what has been in show up till now but i cant remember its name otherwise take idealogues advice "
"68" "ntofr1" 2013-05-16 " edinamikie  i wasnt too keen on jaime saying that roose bolton was watching him fail at dinner "
"69" "ntofr1" 2013-05-16 " damn on my phone it said 999 comments but im actually too late "
"70" "Acidfairyy" 2013-05-16 " oldhama  shes actually really posh sounding in real life as someone who has never been further north than birmingham the accent sounds fine to me "
"71" "Acidfairyy" 2013-05-16 " agentscully2006  nooo i really like her "
"72" "ntofr1" 2013-05-16 " 1000 "
"73" "DeleteThisPost" 2013-05-16 " sunnyone 16 may 2013 453pm well to be fair i did write darnnear pornographic and im not even sure about my use of the word pornographic but i couldnt figure another way to express my thoughts about that particular shot part of what made it almost pornorgraphic or almost obscene or whatever is actually how oona is built shes very pretty but rather thin and as it turns out she has quite an impressive gap i felt that if robb had held a candle over her butt we wouldve been able to see what talisa had for lunch yes it is natural and we do all have one of those puckered holesbut we arent usually used to seeing them on tv "
"74" "sunnyone" 2013-05-16 " deletethispost  i have to disagree naked bottoms per se are not what i consider pornographic we all have one some are nicer to look at than others however long the camera lingers you really cant call it pornography "
"75" "DiddleyDum" 2013-05-16 " diamonddag  the senior lannisters  with the exception of tyrion who visited the wall in season 1  are wholly concerned with westerosi high politics and view the world through that prism joffrey has glimpsed a danger as did robert barratheon before him with danaeris but none of them are paying attention to the wall and the wildlings except to mock childrens stories and old wives tales by contrast the nights watch is concerned with the realm as interestingly is varys all of this comment is within the confines of the tv series to date "
"76" "Superelastic" 2013-05-16 " edgarallanpwned  the general opinion of slavery is pretty low in westeros as jorah well knows and supporting the right to individual freedom is not the sole province of neoliberals id think more kindly of them if it was obviously she not being entirely altruistic and should she free them will happily take advantage of their gratitude to lead them to horrific deaths over the course of the rest of the series "
"77" "Ideologue" 2013-05-16 " jimmymac  good effortindeed epic title yeah that would be a pretty epic ending to it all full blow dragon transmogrification ive been waiting about 4 years to wrangle that word into a sentence jurassic park "
"78" "jimmy_mac" 2013-05-16 " ideologue  i havent rewatched the episode and my memory is that they introduced her something like this daenerys stormborn of the house targaryan khaleesi of the dothraki true queen of the first men and mother of dragons it was quite the impressive title and unlike some others who post that daenerys is a wooden or stilted character with a bland boring personality i find her absolutely captivating and im hoping she gets to sit on the throne my one curious thought is that as the mother of dragons perhaps she will actually turn into a dragon herself not figuratively but literally i can envision in some episode down the line she morphs into a dragon she sprouts wings and red eyes and a snout with wicked teeth and blows a blast of fire onto somebody maybe tywin or joffrey crazy "
"79" "crehane" 2013-05-16 " thenorthremembers  these dragons are indeed growing and growing rapidly were tending to see them this season every other episode and each time we do see them they are bigger than before also this episode was the first time this season that we have seen the other two dragons viserion and rhaegal to any significant degree my arent they getting big by my reckoning drogons head was of a similar size to danys head this episode methinks tywin is seriously underestimating the threat they pose "
"80" "OldhamA" 2013-05-16 " edinamikie  yes she would have a scottish accent i assume either way its clearly fake and quite frankly rather grating "
"81" "Moreisless" 2013-05-16 " sunnyone  i thought sansa is the key to the north according to the charecters in kings landing "
"82" "jimmy_mac" 2013-05-16 " thenorthremembers  yes of course thats why i myself said my own hypothetical was completely stupid but the question lingers is she a spy "
"83" "Ideologue" 2013-05-16 " diamonddag  interestingi think you may be right and this could be the start of tywins downfall probably very slow downfall thoughon another sidenotetrivia does anyone remember the really long title dany was introduced to the city representative in the episode it was a pretty epic title and made me laugh as they even managed to shoehorn in mother of dragons as wellbonus points for not cheating and just rewatching that bit of the episode "
"84" "sunnyone" 2013-05-16 " thenorthremembers  maybe because jaime pronounced jaimie rhymies with stymie how do you work that one out it doesnt rhyme for me "
"85" "BishopLenBrennan" 2013-05-16 " ive written quarth when it should be qarth ive gone and done a dani targaryen "
"86" "TheNorthRemembers" 2013-05-16 " bishoplenbrennan  the term stymie was used in the scene where kingslayers stump was being dressed maybe because jaime pronounced jaimie rhymies with stymie "
"87" "DiamondDag" 2013-05-16 " ideologue  yeah as mroneill says its not about breeds but how the dragons are raised and looked after that determines how big they grow they basically continue to grow their entire life its only taming and captivity that can stunt them worryingly for the rest of the world danys dragons seem to have a lot of open space it remains to be seen how shes going to raise them as for tywin i cant tell if hes underplaying danys threat on purpose or if hes actually clueless given that dragons are a new thing to everyone i could certainly believe that even someone like tywin would be dismissive remember the way tyrion spoke about the white walkers in series 1 most people view these things as distant history or even myth "
"88" "edinamikie" 2013-05-16 " two gripes  when robb asks his wife who are you writing  thats an americanism pubic hair  the ladies all have brazilians unless perhaps its called a westerosi "
