"author" "date" "body"
"1" "Joe Brookes" 2014-06-27 " my only hint was that it was ls and rt blue flower "
"2" "Jez Holland" 2014-06-26 " if it follows the same as the last 3 seasons it will be out around feb 15 with a ton of extras "
"3" "Buntyroo" 2014-06-25 " say what you like about stannis hes got his priorities right going to fight the killer zombie things in the snow rather than pissing about arguing and jousting down south "
"4" "TrinityX" 2014-06-25 " to stop shae raising the alarm but i think it’s made quite clear that tyrion does what he does because of a combination of love hatred selfloathing and despair that and the fact she grabbed a knife and tried to kill him after returning to kings landing for the sole purpose of giving damning evidence entirely made up to make sure he died all for sending her away from a dangerous place i loved shae but i was disappointed at how blinkered she could be and well never find out what happened to her when she was 13 at one point that seemed to be really leading up to something "
"5" "Bluegoat" 2014-06-24 " it sounds to me like it is ambiguous  they might just change the order of what happens which actually seems quite reasonable to me what i found more disturbing was what he said about how he understands sandors story it seems less significant than possibly leaving out the other thing since it isnt what you might call a plot point but thematically a big mistake i think "
"6" "Bluegoat" 2014-06-24 " so are their offspring just clones of the parents then "
"7" "malevoisine" 2014-06-24 " well done ser "
"8" "NeitherYankNorBrit" 2014-06-24 " aka bloodraven "
"9" "NeitherYankNorBrit" 2014-06-24 " dragons are asexual "
"10" "Bluegoat" 2014-06-23 " in the scene jaime told him to knock on the door to alert and varys will come tyrion raises his hand to knock but then hesitates as if something has occurred to him and he goes the other way next thing we see him enter a room with an ironwork screen with an image f a lion on it and the badge of the hand lying next to the bed so presumably now that he is out and he decides to head to his dads room before going to varys to have a conversation or kill him who knows maybe he doesnt know when he gets there shae is totally unexpectedly in his bed and that really determines most of what happens after that it seems that many people missed the lion symbol and its significance "
"11" "Simon Thomson" 2014-06-23 " but i agree with the op i really dont get why tyrion went awandering through the castle presumably he was looking for his father  but why a few scenes here left a gap which we had to fill by imagining oh she must have thought  done  said such and such thats why theyre now in that place  doing that thing i dont mind working hard as a viewer but it felt to me as if there may have been a lot of deleted scenes lying around because they had to fit it into the time they had "
"12" "Johneeo" 2014-06-23 " could the hound live on loved him and aryan great duo "
"13" "keef1980" 2014-06-23 " dont know how possible it is but do you reckon theres any chance of having a sofai guardian book club where we can read or reread the books and discuss wouldnt even need an article though itd be good to have one just cos i really enjoyed this blog seems a shame to not be able to discuss the books as i read them "
"14" "Zurdo34" 2014-06-23 " that melisandre and jon snow scenestop making the eyes at me ill stop making the eyes at you "
"15" "aj2014" 2014-06-23 " any news on when the got season 4 blueray box set is coming out will it have deleted scenes extras "
"16" "randombloke" 2014-06-23 " i hope comments on this article are open for the next 41 weeks "
"17" "JBGrenouille" 2014-06-23 " nobody puts hound in the corner that man isnt dead "
"18" "chriskilby" 2014-06-23 " potential spoilers jaysus "
"19" "MJ1972" 2014-06-22 " yep or someone with maesterlike healing skills anyway "
"20" "aj2014" 2014-06-22 " btw did anybody notice the bob marley reference ce in the last episodethree eyed crow to bran i cant make you walk again but i can make you i flyi hes going to give him some real good shit to smoke of the holy herb ya man ras tafari stands aloneme flying now  "
"21" "aj2014" 2014-06-22 " how do you edit your post afterwards to get rid of potential spoilers "
"22" "aj2014" 2014-06-22 " this comment was removed by a moderator because it didnt abide by our community standards replies may also be deleted for more detail see our faqs "
"23" "aj2014" 2014-06-22 " this comment was removed by a moderator because it didnt abide by our community standards replies may also be deleted for more detail see our faqs "
"24" "MrWednesday" 2014-06-22 " yes indeed "
"25" "Steven Roche" 2014-06-22 " maisie williams really needs more credit what a stunning performance she gave this season a baftaemmy nom is required "
"26" "Steven Roche" 2014-06-22 " well done sir or rather ser "
"27" "Bluegoat" 2014-06-22 " they ignored this in the show however it was one of the main reasons for sacking the various cities in the book and issues of army camp life in general were more in the forefront tv wars in general dont seem terribly interested in logistics "
"28" "MrMsyvc" 2014-06-21 " ditto on the great acting from dinklage i hope they dont kill him off "
"29" "Anopheles" 2014-06-21 " its the guys mance sent up the wall in his explanation to john i feel sorry for theyre in for a big surprise "
"30" "chriskilby" 2014-06-21 " time is notoriously relative in got the white walkers undead army and danerys living one have to move at a snails pace because the mechanics of the plot demand it the final climactic battle between the living and the dead cant very well take place until danys dragons are fully grown hence all the faffing about not least the increasingly irrelevant bickering over whose arse sits on the iron throne which was always a distraction and just so much padding before the main event things happen in stories because they have to not necessarily because they make sense and all stories have inconsistencies or plot holes if you want to pick holes in them  from shakespeare to dickens star wars to  yes  game of thrones the craft of storytelling lies in how well such plot mechanics are disguised or plot holes hidden i dont have a problem with this in got  it is quality padding after all but it depends on how patient you are or just how willing you are to suspend your disbelief i suppose some fans doctor who fans especially arent prepared to willingly suspend their disbelief so much as an inch off the floor it seems to me which is bizarre frankly under the circumstances "
"31" "Empedokles" 2014-06-21 " timescales in got are whacky sure enough even weirder however is the wonderfully cavalier way in which logistics are ignored what for example did that vast army of unsullied do for food and water while traipsing merrily through the desert wastes "
"32" "Bluegoat" 2014-06-21 " sure  but it does have to maintain a certain level of credibility or it becomes impossible to suspend disbelief which is kind of what i am saying  the difference in timescales is not so out of whack that it should be a problem in that way it isnt something that needs to be nailed down to the minute "
"33" "sonmi" 2014-06-21 " agreed there are plenty of individual elements from books 4 and 5 i really like but all of that i found excruciating "
"34" "sezame" 2014-06-21 " yes because he slowly strangled her with the necklace of the hand after a brief interesting conversation and then went off to kill daddy dearest and had an more interesting conversation before zap "
"35" "sezame" 2014-06-21 " perhaps the dragons can vanquish the white walkers "
"36" "chriskilby" 2014-06-21 " uh guys youre arguing plausibility practicality and logistics about a show with dragons and zombies in it let it go it is just a tv show "
"37" "GJSmith" 2014-06-21 " i think varys intended to return after helping tyrion escape but after tyrion had murdered the kings hand and the alarm bells rang he realised that the consequences would be much harder to escape "
"38" "GJSmith" 2014-06-21 " dire wolves they are hardly ever shown "
"39" "chriskilby" 2014-06-20 " i suspect bran is the most important character in it the professor x of westeros his emerging powers are potentially limitless if he could warg dragons and white walkers at the same time gots final battle could be very short indeed "
"40" "Bluegoat" 2014-06-20 " it is farther to braavos but travel by ship is really just significantly faster the troops stannis brought arent his own they are a mercenary company on salladors ships all likely found in braavos itself and the food again bought in braavos so some time to assemble but not as much as one might think especially compared to assembling wildlings and foraging on the march the distance between castle black and eastwatch was covered by horse likely on a forced march and could be done i think fairly quickly as far as mance goes we arent even all that clear on when he actually sets out from the mountains he was waiting there for all the disparate parts of his army to arrive the men he sent jon with could have been sent ahead well before he got the main body of the army moving and an army that size is very slow to get moved out and to get stopped and reorganized for battle as well i just dont think its all that unbelievable  the action is slow for tv but not i think unrealistic stannis movement is probably unusually efficient or at least it seems that way as theyve presented it but not so far out that id say it ruins things "
"41" "Pepa01" 2014-06-20 " braavos not davos sorry "
"42" "Pepa01" 2014-06-20 " also there is distance between the sea and castle black "
"43" "Pepa01" 2014-06-20 " yes but have you seen the map davos is like 70 times further away than mance was and assemble an army takes time think only of the time it takes to load the ships with food and drink for such a long trip plus i dont think stanis travel to davos to ask for a loan with his full army he didnt have boats so probably he would have to stop in dragonstone in his way back to pick up the troops no way he could do it so fast "
"44" "Bluegoat" 2014-06-20 " i think hed have been worse off if theyd left him but in any case i dot think that really reflects how people understood the role of a servant or liegeman for that matter and i dont mean that in a negative way at all it was a different kind of bond where they were all in it together in a sense in some ways more like a family relationship "
"45" "Bluegoat" 2014-06-20 " remember that at the beginning the wildlings were still being mustered together so they were waiting  that is what mance was doing in the mountains but an army like the wildling army would be lucky to make 10 miles a day and half that would be more likely even if they carried food for people an army like that has to spend significant amounts of time gathering fodder or allowing animals to graze depending on the winds a ship could potentially go much faster maybe 150 nautical miles in a day and moving around a professional army of mercenaries ready to travel would be quicker once they were on land an army with a logistics train supplied mainly by ship might travel at something like 20 miles a day on foot and apparently stannis men were on horseback "
"46" "Bluegoat" 2014-06-20 " as far as being an adaptation i think got is actually sticks to the source far more than is common and as you say there always have to be adaptations for a different medium errors to me are changes or presentations that in some way undermine the story itself or which just dont get the story across my feeling is that the producers really get the story and what it is supposed to be about and so when there are less than perfect decisions it is usually a matter of misjudging what the effect will be or just a point that is very difficult to adapt "
"47" "Bluegoat" 2014-06-20 " tyrion i dont think appears in book 4 the way martin wrote books four and five is that they are divided geographically so book four gives all the action inn several locations and book five what is happening at the same time in other parts of the world although i think there are a few online versions that put the two books together according to a standard narrative and thats what the television version will do so you could try one of those a lot of people felt that the geographical division wasnt terribly successful and its a frustration for people whose favorite characters arent in book four if you are a relatively quick reader it isnt so bad though ive actually wondered if brans story on the show might not have benefited from a bit more foreshadowing  people seem to be a bit at sea about what the point of it is and so have lost some interest "
"48" "Dustin James" 2014-06-20 " i never read the books but i know that its a probability she will likely rule westeroos now with her father dead she has shown before that she has little regard for the people she will now rule remember when she wanted to give the leftover food from jofferys wedding to the dogs instead of the poor she doesnt have the guile to hold and wield power like her father the people will turn on her and her downfall is inevitable "
"49" "pavanne" 2014-06-20 " absolutely in the book she was killed for basically doing what he told her to pretending to love him and for quite rationally jumping ship to save her skin ok bookshae should have taken the danger more seriously and taken his offer to get out but she was pretty much an innocent victim "
"50" "Sunburst" 2014-06-20 " theres going to be a season 5 omg sorry for this horrific spoiler "
"51" "randombloke" 2014-06-20 " 2 when the 3 eyed crow said to bran you will fly surely he means on or as a dragon possibly drogon its either that or the moon door "
"52" "randombloke" 2014-06-20 " a word about hodor i understand that its a violation to warg into him but on the show at least its been absolutely necessary to save his own life and that of bran on each and every occasion what more morally dubious in my opinion is bringing hodor along on this quest in the first place all of the other members of the party can understand the dangers inherent in their voyage and can consent to facing them but hodor has had his life put in danger without understanding what he is doing "
"53" "Sinequanone" 2014-06-20 " because ships are quick and moving an army of 100000 with women children livestock etc is very slow "
"54" "Sinequanone" 2014-06-20 " that was my impression of the books too  i may try them after tv series has finished tho "
"55" "Sinequanone" 2014-06-20 " also if jon snow is descended from who everyone thinks he is  shouldnt he be able to tame one "
"56" "Sinequanone" 2014-06-20 " also not a br book reader thinking same thing  "
"57" "Sinequanone" 2014-06-20 " madness  "
