"author" "date" "body"
"1" "edinamikie" 2012-05-07 " its probably down to the fact that ive read all the books which i hadnt done when i watched series 1 so dramatically its not as exciting i also think theres too many characters in series two so we get lots of shorter scenes when i want a bit more i have no idea how theyll film the next book because theres even more characters in that "
"2" "Sinequanone" 2012-05-06 " just discovered these httpwwwyoutubecomwatchvcnbbzmmwd00featurerelmfu "
"3" "5432Hun" 2012-05-05 " it seems im the only one who finds season two nowhere near as good as season 1 its down to personal opinions of course but viewing figures suggest you are in a minority us first airing viewing figures for the last episode were the highest yet and this series figures have been 5075 up on series 1 to be fair i do think that the story in the second seriesbook is less coherent than seriesbook 1 the main characters have dispersed and there is no more ned who is the most recongnisably heroic character in bookseries 1 and provides a strong narratve at the heart of the story this is of course why the ned payoff is so shockingsatisfying "
"4" "Sinequanone" 2012-05-04 " i found season one to have me hooked immediately and then i found it dragged a bit in the middle but that might have been my fault for trying to watch all 10 episodes in one sitting as far as jon snows mother is concerned i have only watched the tv series so i dont think anything i say can be a spoiler but just in case i will say possibly spoiler theory for it to be important his mother perhaps has to be another noble woman perhaps to some extent that makes him heir to a southern housecrown and perhaps even the northern and southern kingdoms "
"5" "TheNorthRemembers" 2012-05-04 " it seems im the only one who finds season two nowhere near as good as season 1 youre right you may well be on your own i think series 2 is outstanding what are the far better aspects from season 1 "
"6" "badger1969" 2012-05-04 " if you made your assumption while reading the first book id say youre probably on the right track many of the more significant clues are in the first book i myself guessed the identity in the very first episode of the tv show spoilerish talk about question of jon snows mum i must admit i didnt really give it much of a thought the first time i watched the tv series then i read the first book  i was a fair way through it before the obvious answer hit me then i wanted to go back  reread the first part of the book to see if my theory made sense havent really done that yet but watching s1 again probably backed up my theory its funny in a way it was a spoiler to have it confirmed in a guardian article that grrm considered the question to be a crucial part of his story otherwise i might have just assumed id been thinking about the answer to a question that didnt really matter this makes me even more certain that i must be right end spoiler "
"7" "badger1969" 2012-05-04 " yes i think you are being picky that one liner is no less cryptic than the rest of the discussion  including your own contributions perhaps we shouldnt be having cryptic plot discussions at all on this blog  ill leave that to sarah to rule on and abide by her decision but i think your objections to that one post in particular are a bit over the top fair enough i thought it was a point worth raising no offence intended if noone else had the same thought as i did then we can just happily move on "
"8" "edinamikie" 2012-05-04 " it seems im the only one who finds season two nowhere near as good as season 1 "
"9" "MJ1972" 2012-05-04 " fair enough do read book 1 when your brother returns it as i recall some of the more useful clues are in that book  "
"10" "MJ1972" 2012-05-04 " three blimey  ive been convinced all along that there was only one possible answer it would be quite amusing somehow if the assumption id made at some point during the first book turned out to be totally wrong after all if you made your assumption while reading the first book id say youre probably on the right track many of the more significant clues are in the first book spoiler do not read the rest of this post if you do not wish to hear any theories whatsoever on the identity of jons mother i myself guessed the identity of jons mother in the very first episode of the tv show the hints werent very subtle in my opinion in saying this im assuming that the most popular theory currently doing the rounds is in fact correct which has yet to be proven end of spoiler "
"11" "5432Hun" 2012-05-04 " im assuming it was this theory benioff and weiss were referring to when george rr martin asked them who they thought jons mother was and they gave him the correct answer perhaps because i have wingedit for so much of my own career but i have this mental image of beinoff  weiss googling the answer on their smartphone under the table then being incredibly relieved when they got it right and grrm gave them the go ahead to make goft "
"12" "5432Hun" 2012-05-04 " yes i think you are being picky that one liner is no less cryptic than the rest of the discussion  including your own contributions perhaps we shouldnt be having cryptic plot discussions at all on this blog  ill leave that to sarah to rule on and abide by her decision but i think your objections to that one post in particular are a bit over the top "
"13" "PeachMcGee" 2012-05-04 " i figured there must be several very strong theories so i have been avoiding all soiaf book forums in a bid to see if i can track her down without any help once ive got a clear picture ill do the obligatory googling i have to say reading the books back just once has given me a very strong inkling from quite early on in book 2 i leant book 1 to my brother many moons ago and shows how much you miss when youre reading for the first time using all ones literary powers to avoid getting bogged down in the houses and heraldry "
"14" "TheNorthRemembers" 2012-05-04 " he rickon was just 4 at the time he was found with his direwolf in the crypt at the time ned died so he may be 5 years old now did you get that from the books im pretty sure he was 6 at the start of the tv series vs 3 at the start of the books so id guess hes 7 now youre right of course the book ages are two years or so behind those in the tv production it was just that i had read up to the crypt part at the time the scene in series 2 was shown of him acting out at the hall table so i just put the two together i was tring to finish book one at the election count last night but duties intervened  "
"15" "badger1969" 2012-05-04 " it may just be me being picky  given my heavy involvement in all the cryptic talk  but i was tempted to report your previous one line post ive avoided replying to that one directly so as not to draw attention back to it no idea how all that stuff will be depicted on tv but if its done in a certain way ill leave it to you to decide if it might be wise to censure yourself presumably selfreporting is possible hope most of our talk is cryptic enough not to piss off nonbook readers  rather than all of them having run for the hills long ago "
"16" "badger1969" 2012-05-04 " i think youre missing the joke somewhere along the line  look how woof73 has signed off his post   other posts hes made this week  last "
"17" "badger1969" 2012-05-04 " i think they are referring to the first reek not the second or the second not the third  "
"18" "NietzscheanChe" 2012-05-04 " youre an idiot he was a smuggler he is now a naval commander not a criminal during robert baratheons rebellion he smuggled food to stannis and saved his men from seige long enough for reinforcements to arrive stannis then cut off his fingers and made him an honorable knight davos seaworth is a major character in all the books and is one of the only honorable men even though if those he is allied to are not he owes them his debt as they allowed his honour stannis is also described as being as stubborn and steadfast as a tory bigot so i wouldnt take his word into account think for yourself "
"19" "badger1969" 2012-05-04 " sarah referred to rickons silent fury and im wondering what age he is being depicted as in the stark hall at wintergfell when he was behaving angrilymischievously he was just 4 at the time he was found with his direwolf in the crypt at the time ned died so he may be 5 years old now did you get that from the books im pretty sure he was 6 at the start of the tv series vs 3 at the start of the books so id guess hes 7 now that doesnt change a thing about the rest of your post though not many 7 years old would sit for long either i guess brans relatively grownup attitude does highlight that westeros is a very different world to ours in terms of how quickly kids are expected to grow up too though thats even in the tv version with the ages lifted a few years from the books "
"20" "badger1969" 2012-05-04 " all it takes is a quick google search something along the lines of who is jon snows mother if you do that youll find that there are three theories one of which seems very plausible three blimey  ive been convinced all along that there was only one possible answer it would be quite amusing somehow if the assumption id made at some point during the first book turned out to be totally wrong after all "
"21" "TheNorthRemembers" 2012-05-04 " sarah referred to rickons silent fury and im wondering what age he is being depicted as in the stark hall at wintergfell when he was behaving angrilymischievously he was just 4 at the time he was found with his direwolf in the crypt at the time ned died so he may be 5 years old now hes clearly lacked parental input for a while  other than from family retainers  hence his misery but not many five year olds would want to sit at a table for long "
"22" "JohnDear" 2012-05-04 " i think they are referring to the first reek not the second hah on a thread as cryptic as this i love that line "
"23" "malacara" 2012-05-04 " when i read the books for some reason i always visioned brienne a bit like a more masculine version og kristen schaal which admittedly is probably a bit weird "
"24" "ACertainBang" 2012-05-04 " aha thanks sounds like they have a fair way to go then jon wants to be careful not to lose his doggie in all that whiteout "
