"author" "date" "body"
"1" "hamblemary" 2011-06-11 " hummdrumm i was glad to see you mention jack vance because so far the epic nature of this saga with its rival fiefdoms and competing interests very much reminds me of his lyonesse trilogy i loved lyonesse for the sheer vastness of its scope and story arc im pleased to discover that westeros certainly rivals the elder isles for intrigue and intricacy of interwoven plots ive not read got and ive been avoiding this blog like the plague for weeks for fear of accidental spoilers there is always someone who get sover excited or some berk desperate to show off i let all the episodes so far pile up on the pvr and then watched them all this weekend loving it cant wait for the next two rewatching stuff is great because you pick up on some much nuance and detail but nothing beats the suspense of first time watching "
"2" "Sunburst" 2011-06-11 " purpleheart cant we leave this blog spoiler free this blog is spoiler free not a single thing has been spoiled on this blog in all eight weeks of its existence not a single thing seriously people there are two choices here  either stop seeing imaginary spoilers in every harmless little bit of information or  if you truly have a hysterical phobia of even the tiniest possibility of a spoiler dont read comment threads where you think you might see them those are the two most reasonable choices the other option  having a panic attack every time someone writes the word book is really annoying stupid and damaging to any form of interesting discussion "
"3" "KarolusAfricanus" 2011-06-10 " vestrit7 yes lotr was a bit of a disappointment because of what you state earnestness no humour trying too hard and possibly also because of too much cgi for my taste im seeing all three lotr movies directors cut extended version  directors intro in oneaweek shows starting next tuesday at my local cinema i am not sure it wasnt a mistake and that ill be able to endure it as much i did when i first saw them  i so wanted to see lotr on film that i was ready to go over my misgivings i hope hbogot wont overdo cgi i already feel winterfell and the eyrie are overdone in terms of cgi i really do hope they dont screw up the battles with zillions of troops on the horizon in a any case a fine episode would agree with most that the aryastable boy kill and the wight attack scenes could have been better especially the latter werent there 2 ranger corpses in that wagon what happened to the other one why was he not attacking lord commander mormont but overall good "
"4" "bananaballs" 2011-06-10 " i am loving this series so far i have read  and love  the books and fearful of what the adaptation would do to them could they screw up a badly as sword of truth  legend of the seeker another cycle of books i enjoyed well no they havent i have refrained from commenting as watching the debate and conjecture around subjects that i already know the answer to is almost as much fun as watching the programme itself i end up having to watch each episode twice at least once with the my wife and son as i have to spend time explaining connections and answering questions and then a second time uninterrupted to enjoy seeing characters that i have invested time in reading about come to life i am glad it has succeeded and we will get a 2nd series presumably following the story of a clash of kings cant wait to see who is cast as some of the new characters that join the merry band in bookseries 2 "
"5" "Silgen" 2011-06-10 " was mr martin aware of this unfortunate choice of name as people say he populates his books with references to other things no he wasnt nor had he heard of the band when he called his bard marillion lets hope he doesnt suffer for it like poor jack vance every con he attended he ran into a sniggering british adolecent telling him what wanhk meant nudge nudge wink wink etc "
"6" "Vestrit7" 2011-06-10 " i mean the same for television and films seriously when every other message board on the internet has an edit function why cant this one "
"7" "Vestrit7" 2011-06-10 " im partly plagiarising a discussion elsewhere on the internet here about some of the little things in this episode  did anybody else love the brilliant acting by the kid playing bran i absolutely loved the scene with the greatjon and his fingers brans in the middle looking back and forth trying really hard to keep up with things and trying really hard to show that hes not terrified and then when everybodys laughing you can see that he knows he should laugh as well but has absolutely no idea what just happened and his delivery of well your friend did put a knife to my throat made me laugh out loud with the sole exception of the stableboy the child actors in this series have been amazing slightly more negative comment lord of the rings the return of the king was on telly on saturday night and i had nothing better to do so i watched it now i wasnt much of a fan of the lotr films at the time they came out i found them overly earnest humourless and just trying far too hard watching the return of the king again having read asoiaf and been watching this series since i last saw it i veered between serious cringing and laughing out loud at it after i read asoiaf i feared it would ruin me for other fantasy books and i wonder if this series will do the same or more positively i wonder if it will force everybody who follows to significantly raise their game the advent of joe abercrombie and scott lynch would suggest this is already happening on the book front "
"8" "HummDrumm" 2011-06-10 " i think youll find that its shagga still not as amusing as jack vance with servants of the wankh was mr martin aware of this unfortunate choice of name as people say he populates his books with references to other things "
"9" "bobbleoff" 2011-06-09 " i laughed out loud when we were introduced to shagger son of dolph "
"10" "glitterfairy11" 2011-06-09 " i cant help wondering how significant the loss of lady will be for sansa the boys still have their dire wolves and are doing relatively well arya is without hers and is currently in peril but has the potential for escape and perhaps i hope being reunited with her wolf sansa on the other hand seems to trapped in the vipers nest with no chance of escape and no wolf to look out for her "
"11" "pintooo" 2011-06-09 " drstaunch  fully agree with all you say walkerboyuk  you seem to lay blame at the innocents feet bran was doing what he always does as established in the first show he climbs he happened upon cersei and jaime they were in the wrong  he was the victim joffrey was repellent before he was embarrassed by arya and her direwolf as seen by the smacking he got from tyrion when he refused to offer sympathy to the starks for brans accident and when he chose to use a real sword on the butchers boy who only had a stick and wouldnt attack a royal anyway cowardly little brat drunk on power and wine sansa is a wet blanket but she has been tutored to act the right way it is her strength and her weakness she is so headoverheels with joffrey and so keen not to embarrass him she lies for him and even when her direwolf is killed for that mistake she doesnt know what the right course of action would have been the closing scene of this episode showed sansa facing a huge job  to get ned to swear fealty to joffrey she doesnt have all the facts but she is desperately trying to save her fathers life i really hope this is a turning point for her because while all the other stark and bastard stark children have grown with the burden of responsibility sansa so far has crumbled under it and she is the only one left unprotected by her direwolf "
"12" "SmartyMcFly" 2011-06-09 " walkerboyuk ive often wondered the same thing about the kids but upon reflection i think the major events were developing regardless of their involvement jon arryns death had already occured ned had been aasked to become the hand of the king both those events really triggered his investigation fed by clues given my littlefinger brans fall didnt really change anything other than to ultimately spur catelyn into visiting kings landing to warn ned joffrey i think is an infuriating prk full stop  i dont think sansas response to mycha the butchers son changed much she was left having to pick sides really between arya  joffrey  and went with duty over family i think the event itself did however bring events into focus and brought a stark vs lannister confrontation closer in the last episode sansa has been left in a postion where it looks as though her reaction to the situation her father is in and the accusation of treachery is likely to be critical will she try and get a confession from her father or not  and what effect will her actions have  "
"13" "WalkerboyUK" 2011-06-09 " formicaatomica  the whole situation can be entirely blamed on children if bran hadnt gone climbing up the tower walls he wouldnt have witnessed anything and then there wouldnt have been 2 counts of attempted murder on him if sansa hadnt got involved and blamed the butchers boy for attacking arya then joffrey wouldnt have also got involved been attacked by the diowolf and subsequently been the infuriating little prk that he is those two situations have pretty much brought around the situation that everyone is now caught up in with the exception of dany and the dothraki thoroughly enjoying the series it doesnt strike me as really being a fantasy show in the same way that a lot of film are eg lotr its almost got a historic reality feel to it because everyones playing it nice and straight rather than camp have been very tempted to buy the books but am going to wait until the series has finished maybe ill hint to the mrs that theyll be a suitable birthday present especially as theyre 5 each at play or 3 for 2 in most bookshops theres only one thing im waiting for seeing as jerome flynn is present at any moment i anticipate robson green taking a break from extreme fishing and turning up and breaking into some cheesy cover "
"14" "macster" 2011-06-09 " candylilacs several servants  also theyre in a massive castle hundreds of miles from any threat with thousands of loyal men as well as teachers nursemaids and everything they could need in the meantime her husband and daughters are in huge danger in kl  she didnt leave winterfell on a quest for vengeance she went to warn ned "
"15" "candylilacs" 2011-06-09 " melissa2807 thanks i thought it was a little heavyhanded foreshadowing as i said earlier though cant stand catelyn yeah she has several servants at home but a child recently crippled and another about five years old she just seems like she completely lost perspective while seeking vengeance as for tywin  the perfect distant hypercritical and cold father figure "
"16" "DrStaunch" 2011-06-09 " pintoooi agree re littlefingeri think the series has been more enjoyable than the book my one gripe is how they handled that character they made it clear in the series early on that littlefinger would betray ned when they had him reveal the dogs story to sansa as well as the threat if she said anything also in the book it was important that the dog did reveal that himself also the scene last week preempted the major twist with nedalso rethat scene i think it was needless tasteless and immature it was like some schoolboys were allowed to write a scene and went for that lesbian porn it undermines everything "
"17" "pintooo" 2011-06-08 " boring bookreference coming up last week littlefinger was involved in the controversial lesbianexposition scene for me this added nothing to the show this week the show shied away from the raping of the sheep people even though that has some significance strange choice but the difference is not a storydriver as much as a decency one "
"18" "anderton76" 2011-06-08 " i wanted ser barristan selmy to appear and fight side by the side with the dancing master in defence of neds daughter romantic and sentimental i know but there is truly noble glorious even about making a stand against overwelming odds to protect a childthe old maid was irritating throughout the series but again she knew she was going to die yet she did not falter there are some fine character actors in this series the great james cosmo for oneanyone worried about the battle scenes dont worry hbo staged a great recreation of the battle of philipi in rome "
